datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,4.0,4,3,9,5be37d5dfb1666002310e138,5,4.0,3,5.3,4,12,4.333
2018-11-08T00:00:00.000+00:00,3.0,3,2,8,5be4cec2fb166600220fe0c5,4,3.0,2,4.8,2,10,2.8
2018-11-09T00:00:00.000+00:00,5.0,5,2,8,5be6200dfb1666002313a573,5,5.0,5,4.5,5,2,5.0
2018-11-10T00:00:00.000+00:00,4.5,4,2,6,5be771bdfb16660023152881,6,4.0,3,4.5,5,23,4.348
2018-11-11T00:00:00.000+00:00,3.5,4,2,6,5be8c331fb16660023168e10,5,4.0,2,4.0,2,18,3.778
2018-11-12T00:00:00.000+00:00,4.0,5,2,6,5bea1518fb1666002317fdb1,5,4.0,3,4.0,3,9,4.333
2018-11-13T00:00:00.000+00:00,4.0,5,2,6,5beb661dfb166600221682e7,5,5.0,3,4.2,3,13,4.231
2018-11-14T00:00:00.000+00:00,4.0,5,2,5,5becb80ffb1666002217f1a8,5,4.0,3,4.0,5,9,4.333
2018-11-15T00:00:00.000+00:00,4.0,4,3,5,5bee0989fb166600231c2cc2,5,4.0,3,3.9,5,18,4.167
2018-11-16T00:00:00.000+00:00,4.5,3,3,6,5bef5b19fb166600231d9bbb,6,4.0,3,4.1,5,32,4.188
2018-11-17T00:00:00.000+00:00,4.0,5,3,6,5bf0ac9dfb166600231f1036,5,4.0,3,4.1,5,30,4.167
2018-11-18T00:00:00.000+00:00,5.0,4,3,7,5bf1fe08fb16660023208410,7,5.0,3,4.3,4,17,4.647
2018-11-19T00:00:00.000+00:00,4.5,5,3,7,5bf34f88fb166600221f07eb,5,5.0,4,4.4,4,24,4.542
2018-11-20T00:00:00.000+00:00,4.0,3,2,7,5bf4a0defb16660023235aa3,6,4.0,2,4.4,4,21,4.476
2018-11-21T00:00:00.000+00:00,4.5,5,2,7,5bf5f260fb1666002324cdcb,6,5.0,3,4.4,5,17,4.647
2018-11-22T00:00:00.000+00:00,3.5,5,2,6,5bf74375fb16660022232ee4,5,5.0,2,4.3,5,11,4.455
2018-11-23T00:00:00.000+00:00,3.5,5,2,6,5bf8955bfb1666002224a20e,5,4.0,2,4.0,3,13,3.846
2018-11-24T00:00:00.000+00:00,4.0,4,2,6,5bf9e6c4fb16660023292180,6,4.0,2,3.9,4,17,3.824
2018-11-25T00:00:00.000+00:00,3.5,5,2,6,5bfb3860fb16660022276bc3,5,5.0,2,3.8,5,19,4.316
2018-11-26T00:00:00.000+00:00,4.0,4,2,6,5bfc89d0fb1666002228cc13,5,5.0,3,3.7,4,20,4.4
2018-11-27T00:00:00.000+00:00,4.0,4,2,6,5bfddae3fb166600222a173f,5,4.0,3,3.8,4,11,4.273
2018-11-28T00:00:00.000+00:00,4.0,4,2,5,5bff2c9dfb166600232f02ea,5,4.0,3,3.9,4,10,4.2
2018-11-29T00:00:00.000+00:00,4.5,4,3,5,5c007e49fb166600222cce1b,5,4.0,4,4.0,5,5,4.4
2018-11-30T00:00:00.000+00:00,4.0,5,3,5,5c01cfbbfb1666002331f9c7,5,5.0,3,4.1,3,10,4.5
2018-12-01T00:00:00.000+00:00,4.5,3,3,6,5c032151fb16660023337737,6,5.0,3,4.2,3,21,4.571
2018-12-02T00:00:00.000+00:00,5.5,5,3,8,5c0472d3fb1666002230fbe3,8,5.0,3,4.5,6,22,4.773
2018-12-03T00:00:00.000+00:00,4.0,3,3,8,5c05c44bfb1666002336542b,5,4.5,3,4.5,5,7,4.286
2018-12-04T00:00:00.000+00:00,4.0,3,3,8,5c07156efb1666002233a126,5,4.0,3,4.4,5,10,4.4
2018-12-05T00:00:00.000+00:00,5.0,4,3,8,5c086714fb16660023390710,6,5.0,4,4.6,5,16,4.875
2018-12-06T00:00:00.000+00:00,4.0,5,3,6,5c09b8da3ae3e800234e4299,5,5.0,3,4.5,5,20,4.3
2018-12-07T00:00:00.000+00:00,3.5,5,2,6,5c0b0a3e3ae3e800244fb57c,5,5.0,2,4.1,4,12,4.417
2018-12-08T00:00:00.000+00:00,4.0,5,2,6,5c0c5b7a3ae3e80024512fb6,5,5.0,3,4.1,5,17,4.471
2018-12-09T00:00:00.000+00:00,5.0,5,2,6,5c0dad183ae3e8002452bb2b,6,5.0,4,4.3,5,26,4.846
2018-12-10T00:00:00.000+00:00,4.0,5,2,6,5c0efe6f3ae3e80024543f9b,5,4.0,3,4.1,5,15,4.2
2018-12-11T00:00:00.000+00:00,4.0,3,3,6,5c1050403ae3e80023555082,5,4.0,3,4.1,3,13,3.923
2018-12-12T00:00:00.000+00:00,4.5,5,3,6,5c11a1973ae3e80024575c99,5,5.0,4,4.3,4,7,4.714
2018-12-13T00:00:00.000+00:00,4.0,5,3,5,5c12f3383ae3e800235833d2,5,5.0,3,4.3,4,9,4.444
2018-12-14T00:00:00.000+00:00,4.0,4,3,5,5c14451d3ae3e8002359c01d,5,4.0,3,4.1,5,18,4.111
