datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,3.5,4,2,6,5be37d63fb1666002310e237,5,4.0,2,4.1,4,30,4.067
2018-11-08T00:00:00.000+00:00,3.5,2,2,6,5be4cec7fb166600220fe1b8,5,4.0,2,3.9,4,20,4.1
2018-11-09T00:00:00.000+00:00,4.0,4,2,5,5be62016fb1666002313a66c,5,4.0,3,3.8,4,26,4.0
2018-11-10T00:00:00.000+00:00,3.5,5,2,5,5be771c4fb16660023152970,5,4.0,2,3.6,4,29,3.828
2018-11-11T00:00:00.000+00:00,3.0,5,1,5,5be8c338fb16660023168f11,5,3.0,1,3.5,4,37,3.351
2018-11-12T00:00:00.000+00:00,4.0,4,1,6,5bea151ffb1666002317fe96,6,4.0,2,3.6,3,38,3.974
2018-11-13T00:00:00.000+00:00,3.5,4,1,6,5beb6628fb166600221683ca,4,4.0,3,3.6,4,19,3.579
2018-11-14T00:00:00.000+00:00,3.5,4,1,6,5becb817fb1666002217f29b,5,4.0,2,3.5,4,26,3.692
2018-11-15T00:00:00.000+00:00,3.5,3,2,6,5bee0991fb166600231c2dbe,5,4.0,2,3.5,3,36,3.667
2018-11-16T00:00:00.000+00:00,3.5,3,2,5,5bef5b23fb166600231d9cbf,5,4.0,2,3.6,5,79,3.949
2018-11-17T00:00:00.000+00:00,4.0,6,2,6,5bf0aca6fb166600231f1133,6,4.0,2,3.6,5,61,4.066
2018-11-18T00:00:00.000+00:00,6.0,4,2,9,5bf1fe10fb1666002320850a,9,5.0,3,4.1,6,50,5.22
2018-11-19T00:00:00.000+00:00,4.0,5,2,9,5bf34f90fb166600221f08ec,5,4.0,3,4.2,4,24,4.208
2018-11-20T00:00:00.000+00:00,4.0,6,2,9,5bf4a0e5fb16660023235bab,6,4.0,2,4.3,4,29,4.103
2018-11-21T00:00:00.000+00:00,3.5,4,2,9,5bf5f268fb1666002324cec3,5,4.0,2,4.3,4,30,3.5
2018-11-22T00:00:00.000+00:00,3.5,4,2,6,5bf7437cfb16660022232fe2,4,3.0,3,4.2,4,13,3.462
