datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,97.5,85,70,140,5be37d66fb1666002310e29c,125,105.0,70,105.8,85,17,100.588
2018-11-08T00:00:00.000+00:00,95.0,95,70,125,5be4cecafb166600220fe224,100,96.0,90,104.3,100,12,96.833
2018-11-09T00:00:00.000+00:00,105.0,110,70,125,5be62019fb1666002313a6ce,120,110.0,90,103.3,105,11,108.909
2018-11-10T00:00:00.000+00:00,97.5,85,70,125,5be771c6fb166600231529d9,120,100.0,75,101.5,110,21,96.095
2018-11-11T00:00:00.000+00:00,99.5,109,75,120,5be8c33cfb16660023168f72,109,100.0,90,98.9,95,17,99.824
2018-11-12T00:00:00.000+00:00,95.0,90,75,120,5bea1522fb1666002317fef3,110,100.0,80,98.4,100,17,98.471
2018-11-13T00:00:00.000+00:00,104.5,100,75,120,5beb662cfb16660022168429,119,100.0,90,100.3,109,15,99.333
2018-11-14T00:00:00.000+00:00,92.5,95,75,119,5becb81afb1666002217f2f6,110,104.5,75,97.8,95,12,101.167
2018-11-15T00:00:00.000+00:00,97.5,95,75,119,5bee0995fb166600231c2e28,100,98.0,95,97.8,100,9,97.778
2018-11-16T00:00:00.000+00:00,107.0,120,75,125,5bef5b27fb166600231d9d26,125,105.0,89,99.3,90,17,105.706
2018-11-17T00:00:00.000+00:00,100.0,100,75,125,5bf0acaafb166600231f1199,120,99.0,80,100.3,80,22,95.545
2018-11-18T00:00:00.000+00:00,100.0,98,80,125,5bf1fe13fb16660023208574,120,99.0,80,99.4,80,17,99.294
2018-11-19T00:00:00.000+00:00,99.0,90,80,125,5bf34f94fb166600221f0958,118,99.0,80,100.7,100,17,96.235
2018-11-20T00:00:00.000+00:00,101.5,90,78,125,5bf4a0e8fb16660023235c11,125,100.0,78,101.5,110,13,98.769
2018-11-21T00:00:00.000+00:00,95.0,98,78,125,5bf5f26bfb1666002324cf2b,100,98.0,90,99.1,90,11,94.909
2018-11-22T00:00:00.000+00:00,92.5,70,70,125,5bf7437ffb16660022233044,115,97.5,70,97.6,100,8,95.625
2018-11-23T00:00:00.000+00:00,97.5,95,70,125,5bf89564fb1666002224a373,120,100.0,75,97.1,90,17,95.588
2018-11-24T00:00:00.000+00:00,100.0,80,70,120,5bf9e6cefb166600232922e7,120,104.5,80,97.3,99,8,101.125
2018-11-25T00:00:00.000+00:00,87.5,75,70,120,5bfb386afb16660022276d28,100,85.0,75,94.5,100,17,85.412
2018-11-26T00:00:00.000+00:00,99.0,100,75,120,5bfc89d9fb1666002228cd74,108,100.0,90,95.3,108,5,99.6
2018-11-27T00:00:00.000+00:00,99.0,100,75,120,5bfddaecfb166600222a1894,100,99.0,98,96.6,98,6,99.0
2018-11-28T00:00:00.000+00:00,90.0,90,70,110,5bff2ca7fb166600232f0441,110,90.0,70,95.1,70,14,91.071
2018-11-29T00:00:00.000+00:00,94.5,100,70,119,5c007e51fb166600222ccf80,119,100.0,70,94.0,110,9,98.222
2018-11-30T00:00:00.000+00:00,85.0,100,70,119,5c01cfc5fb1666002331fb2d,100,85.0,70,93.5,90,10,87.3
2018-12-01T00:00:00.000+00:00,89.0,89,70,119,5c032159fb166600233378a0,90,90.0,88,91.5,88,7,89.571
2018-12-02T00:00:00.000+00:00,100.0,100,70,119,5c0472dcfb1666002230fd46,110,99.0,90,91.7,99,16,97.875
2018-12-03T00:00:00.000+00:00,90.5,99,70,111,5c05c454fb1666002336557a,111,90.0,70,91.8,70,17,89.824
2018-12-04T00:00:00.000+00:00,85.5,90,70,111,5c071576fb1666002233a285,100,90.0,71,90.0,95,11,90.818
2018-12-05T00:00:00.000+00:00,98.0,85,70,120,5c086720fb16660023390864,120,100.0,76,92.6,110,11,100.0
2018-12-06T00:00:00.000+00:00,97.5,95,70,120,5c09b8e43ae3e800234e43f4,100,100.0,95,94.3,100,7,99.143
2018-12-07T00:00:00.000+00:00,87.5,97,71,120,5c0b0a4b3ae3e800244fb6e8,100,89.5,75,91.8,85,8,88.25
2018-12-08T00:00:00.000+00:00,102.5,90,75,120,5c0c5b873ae3e80024513134,115,105.0,90,94.2,115,6,103.333
2018-12-09T00:00:00.000+00:00,100.0,80,75,120,5c0dad223ae3e8002452bc96,120,102.5,80,97.1,100,13,100.154
2018-12-10T00:00:00.000+00:00,100.0,105,75,120,5c0efe793ae3e80024544112,115,105.0,85,97.5,97,9,102.778
2018-12-11T00:00:00.000+00:00,97.5,99,80,120,5c10504c3ae3e800235551fc,100,99.0,95,97.5,100,12,98.583
2018-12-12T00:00:00.000+00:00,95.0,95,80,120,5c11a1a23ae3e80024575e09,100,95.0,90,99.0,95,8,94.5
2018-12-13T00:00:00.000+00:00,95.0,70,70,120,5c12f3473ae3e8002358354b,120,94.0,70,97.5,80,11,89.455
2018-12-14T00:00:00.000+00:00,87.5,55,55,120,5c1445283ae3e8002359c197,120,85.0,55,95.0,98,10,87.3
2018-12-15T00:00:00.000+00:00,90.0,85,55,120,5c1596143ae3e800245c1543,110,90.0,70,93.0,100,20,90.15
2018-12-16T00:00:00.000+00:00,95.0,100,55,120,5c16e78e3ae3e800245da11d,115,99.0,75,92.5,115,16,98.062
2018-12-17T00:00:00.000+00:00,110.0,130,55,130,5c18398d3ae3e800235e7c39,130,100.0,90,95.5,100,8,102.5
2018-12-18T00:00:00.000+00:00,91.0,82,70,130,5c198b473ae3e8002460dd10,100,91.0,82,94.7,100,2,91.0
2018-12-19T00:00:00.000+00:00,92.5,90,75,130,5c1adc073ae3e800246267ff,95,90.0,90,95.7,90,6,90.833
2018-12-20T00:00:00.000+00:00,94.5,100,82,130,5c1c2e153ae3e8002363138a,105,100.0,84,96.6,105,11,97.455
2018-12-21T00:00:00.000+00:00,89.5,70,70,109,5c1d7fa43ae3e8002465b60a,109,95.0,70,95.5,109,11,89.545
2018-12-22T00:00:00.000+00:00,92.5,90,70,109,5c1ed0fa3ae3e80024675ee4,100,95.0,85,92.0,100,11,93.818
