datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,65.0,65,50,80,5be37d65fb1666002310e28f,75,66.0,55,67.7,70,17,66.176
2018-11-08T00:00:00.000+00:00,75.0,75,55,85,5be4cecafb166600220fe217,85,74.5,65,69.2,85,20,72.65
2018-11-09T00:00:00.000+00:00,64.5,65,55,85,5be62018fb1666002313a6c4,74,65.0,55,69.1,55,11,64.455
2018-11-10T00:00:00.000+00:00,53.5,50,32,85,5be771c6fb166600231529ce,75,62.0,32,66.1,65,18,56.778
2018-11-11T00:00:00.000+00:00,51.5,65,32,85,5be8c33cfb16660023168f67,70,60.0,33,61.9,40,20,58.35
2018-11-12T00:00:00.000+00:00,65.0,65,32,75,5bea1522fb1666002317fee9,75,65.0,55,61.9,70,15,65.667
2018-11-13T00:00:00.000+00:00,69.0,70,32,75,5beb662bfb1666002216841f,70,70.0,68,60.7,70,7,69.286
2018-11-14T00:00:00.000+00:00,67.5,70,33,80,5becb81afb1666002217f2ec,80,69.5,55,61.3,70,12,68.5
2018-11-15T00:00:00.000+00:00,60.0,79,41,80,5bee0994fb166600231c2e1a,79,56.5,41,62.6,60,14,56.857
2018-11-16T00:00:00.000+00:00,61.0,55,41,80,5bef5b26fb166600231d9d19,72,60.0,50,64.5,70,16,59.312
2018-11-17T00:00:00.000+00:00,65.0,65,41,80,5bf0acaafb166600231f118d,75,65.0,55,64.5,65,23,64.043
2018-11-18T00:00:00.000+00:00,65.0,70,41,79,5bf1fe13fb16660023208568,70,65.0,60,63.7,68,16,65.5
2018-11-19T00:00:00.000+00:00,60.0,55,50,75,5bf34f94fb166600221f094b,70,60.0,50,62.2,60,22,59.727
2018-11-20T00:00:00.000+00:00,69.5,69,50,75,5bf4a0e8fb16660023235c07,70,70.0,69,64.1,69,6,69.667
2018-11-21T00:00:00.000+00:00,69.5,69,50,70,5bf5f26bfb1666002324cf20,70,70.0,69,65.8,70,6,69.667
2018-11-22T00:00:00.000+00:00,62.5,75,50,75,5bf7437ffb16660022233039,75,67.0,50,65.3,70,12,63.75
2018-11-23T00:00:00.000+00:00,64.0,68,50,75,5bf89564fb1666002224a369,75,69.0,53,65.1,75,10,68.2
2018-11-24T00:00:00.000+00:00,67.5,74,50,75,5bf9e6cefb166600232922dc,75,70.0,60,66.6,65,15,70.533
2018-11-25T00:00:00.000+00:00,65.0,60,50,80,5bfb3869fb16660022276d1e,80,70.0,50,65.7,80,9,67.111
2018-11-26T00:00:00.000+00:00,62.5,62,50,80,5bfc89d9fb1666002228cd6a,75,62.0,50,64.3,50,11,64.364
2018-11-27T00:00:00.000+00:00,67.0,69,50,80,5bfddaecfb166600222a1889,80,70.0,54,65.2,62,17,69.176
2018-11-28T00:00:00.000+00:00,70.0,75,50,90,5bff2ca7fb166600232f0438,90,72.5,50,66.4,60,14,70.357
2018-11-29T00:00:00.000+00:00,75.0,70,50,90,5c007e51fb166600222ccf76,80,75.0,70,67.9,80,7,74.571
2018-11-30T00:00:00.000+00:00,74.0,74,50,90,5c01cfc5fb1666002331fb24,80,74.0,68,69.7,70,11,73.0
2018-12-01T00:00:00.000+00:00,74.5,70,50,90,5c032159fb16660023337897,80,75.0,69,72.1,80,17,75.176
2018-12-02T00:00:00.000+00:00,75.0,77,65,85,5c0472dcfb1666002230fd3d,85,75.0,65,73.7,70,13,75.0
2018-12-03T00:00:00.000+00:00,77.5,80,65,85,5c05c454fb16660023365571,85,78.5,70,75.2,80,12,77.167
2018-12-04T00:00:00.000+00:00,81.5,89,65,98,5c071576fb1666002233a279,98,80.0,65,76.5,90,13,78.462
2018-12-05T00:00:00.000+00:00,70.0,75,50,98,5c08671ffb16660023390859,90,61.0,50,75.7,50,12,67.0
2018-12-06T00:00:00.000+00:00,67.5,70,50,98,5c09b8e43ae3e800234e43e8,75,67.5,60,74.3,75,8,68.0
2018-12-07T00:00:00.000+00:00,67.5,70,50,98,5c0b0a4a3ae3e800244fb6dd,75,70.0,60,72.8,60,8,68.5
2018-12-08T00:00:00.000+00:00,72.5,69,50,90,5c0c5b873ae3e80024513129,85,70.0,60,71.8,60,9,70.889
2018-12-09T00:00:00.000+00:00,63.5,56,42,85,5c0dad223ae3e8002452bc8c,85,62.5,42,68.2,50,10,63.7
2018-12-10T00:00:00.000+00:00,62.5,70,42,85,5c0efe783ae3e80024544107,70,65.0,55,66.7,70,16,64.75
2018-12-11T00:00:00.000+00:00,69.0,60,42,96,5c10504c3ae3e800235551f3,96,67.5,42,67.0,64,17,69.882
2018-12-12T00:00:00.000+00:00,71.5,75,42,96,5c11a1a23ae3e80024575e00,88,72.5,55,67.8,55,10,72.0
2018-12-13T00:00:00.000+00:00,58.0,45,41,96,5c12f3473ae3e8002358353f,75,60.0,41,64.9,55,13,58.846
2018-12-14T00:00:00.000+00:00,70.0,70,41,96,5c1445283ae3e8002359c18e,80,72.5,60,66.2,65,8,70.625
2018-12-15T00:00:00.000+00:00,67.5,70,41,88,5c1596143ae3e800245c1538,75,70.0,60,67.2,75,8,69.875
2018-12-16T00:00:00.000+00:00,70.0,70,41,80,5c16e78d3ae3e800245da113,75,70.0,65,67.4,70,19,71.0
2018-12-17T00:00:00.000+00:00,82.5,85,60,100,5c18398c3ae3e800235e7c2f,100,80.0,65,69.6,75,14,79.929
2018-12-18T00:00:00.000+00:00,70.5,80,60,100,5c198b473ae3e8002460dd05,80,65.0,61,72.1,65,7,66.571
2018-12-19T00:00:00.000+00:00,67.5,70,60,100,5c1adc073ae3e800246267f2,75,65.0,60,71.6,60,11,65.909
