datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,192.5,200,150,235,5be37d65fb1666002310e284,235,200.0,150,202.5,230,10,197.0
2018-11-08T00:00:00.000+00:00,207.5,230,150,240,5be4cec9fb166600220fe20b,240,200.0,175,202.5,219,14,204.214
2018-11-09T00:00:00.000+00:00,182.5,220,145,240,5be62018fb1666002313a6b8,220,220.0,145,198.0,185,7,198.571
2018-11-10T00:00:00.000+00:00,202.5,185,145,240,5be771c6fb166600231529c3,220,200.0,185,197.0,215,9,204.444
2018-11-11T00:00:00.000+00:00,197.5,210,145,240,5be8c33bfb16660023168f5d,215,199.0,180,196.5,200,18,195.167
2018-11-12T00:00:00.000+00:00,199.0,200,145,220,5bea1522fb1666002317fee0,200,200.0,198,197.8,199,5,199.4
2018-11-13T00:00:00.000+00:00,219.5,200,180,240,5beb662bfb16660022168414,240,205.0,199,200.2,200,8,211.75
2018-11-14T00:00:00.000+00:00,204.5,200,180,240,5becb81afb1666002217f2e0,214,210.0,195,204.6,214,5,206.6
2018-11-15T00:00:00.000+00:00,204.5,210,195,240,5bee0994fb166600231c2e0d,210,200.0,199,205.0,205,9,203.222
2018-11-16T00:00:00.000+00:00,205.0,200,180,240,5bef5b26fb166600231d9d0c,230,200.0,180,206.5,199,9,208.222
2018-11-17T00:00:00.000+00:00,202.5,200,180,230,5bf0acaafb166600231f1183,215,200.0,190,207.2,200,8,202.75
2018-11-18T00:00:00.000+00:00,197.5,185,180,230,5bf1fe12fb1666002320855d,215,195.0,180,202.8,190,12,195.583
2018-11-19T00:00:00.000+00:00,203.0,200,180,230,5bf34f93fb166600221f093e,219,209.0,187,202.5,187,7,205.0
2018-11-20T00:00:00.000+00:00,185.0,215,150,220,5bf4a0e8fb16660023235bfa,220,195.0,150,198.6,190,18,181.611
2018-11-21T00:00:00.000+00:00,192.5,190,150,220,5bf5f26afb1666002324cf14,195,193.0,190,196.1,193,9,192.111
2018-11-22T00:00:00.000+00:00,195.0,200,150,220,5bf7437ffb1666002223302f,210,200.0,180,194.6,204,7,200.429
2018-11-23T00:00:00.000+00:00,200.0,190,150,220,5bf89564fb1666002224a35f,210,200.0,190,195.1,200,8,201.0
2018-11-24T00:00:00.000+00:00,199.5,200,180,210,5bf9e6cdfb166600232922d1,200,200.0,199,194.4,200,9,199.778
2018-11-25T00:00:00.000+00:00,192.5,199,180,210,5bfb3869fb16660022276d14,200,193.0,185,195.9,200,10,193.7
2018-11-26T00:00:00.000+00:00,194.5,200,185,210,5bfc89d8fb1666002228cd60,200,197.5,189,196.3,190,8,195.5
