datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,45.0,40,35,60,5be37d02fb166600220e8e7f,55,45.0,35,49.9,50,6,45.0
2018-11-08T00:00:00.000+00:00,47.5,55,35,55,5be4ce29fb16660023122f83,55,50.0,40,48.0,50,7,49.143
2018-11-09T00:00:00.000+00:00,45.0,45,35,55,5be61f9afb16660022110ecc,50,45.0,40,47.0,42,5,44.4
2018-11-10T00:00:00.000+00:00,37.5,40,30,55,5be77138fb16660022126bfb,45,40.0,30,44.4,44,17,38.647
2018-11-11T00:00:00.000+00:00,40.0,40,30,55,5be8c293fb166600231677ec,45,40.0,35,43.0,45,9,41.111
2018-11-12T00:00:00.000+00:00,40.0,39,30,50,5bea1417fb1666002317e35e,45,40.0,35,42.0,42,8,40.625
2018-11-13T00:00:00.000+00:00,45.0,45,30,50,5beb659cfb16660023194bcb,50,45.0,40,41.5,45,7,45.429
2018-11-14T00:00:00.000+00:00,47.5,45,35,55,5becb796fb166600231ab682,55,49.0,40,42.0,49,5,47.8
2018-11-15T00:00:00.000+00:00,42.5,43,35,55,5bee08e2fb166600231c193c,45,40.0,40,43.0,40,7,41.714
2018-11-16T00:00:00.000+00:00,37.5,40,35,55,5bef5aa8fb166600221aa365,40,40.0,35,42.5,40,6,39.167
2018-11-17T00:00:00.000+00:00,39.0,40,35,55,5bf0ac2afb166600221c1a86,43,40.0,35,42.3,40,7,38.286
2018-11-18T00:00:00.000+00:00,42.0,50,34,50,5bf1fd1afb16660023206c80,50,43.0,34,41.7,50,14,43.643
2018-11-19T00:00:00.000+00:00,43.0,45,34,50,5bf34f1efb1666002321e31a,46,43.5,40,40.8,45,18,42.833
2018-11-20T00:00:00.000+00:00,45.0,45,34,50,5bf4a085fb16660022206552,50,45.0,40,41.3,45,8,45.0
2018-11-21T00:00:00.000+00:00,42.5,49,30,55,5bf5f1abfb1666002324b4a6,55,45.0,30,42.3,30,7,44.143
2018-11-22T00:00:00.000+00:00,49.5,60,30,60,5bf74313fb16660022232136,60,50.0,39,44.4,45,6,49.833
2018-11-23T00:00:00.000+00:00,49.5,50,30,60,5bf89490fb166600222484af,50,50.0,49,45.9,50,4,49.75
2018-11-24T00:00:00.000+00:00,45.0,45,30,60,5bf9e613fb1666002225ed10,50,45.0,40,46.3,45,7,46.286
2018-11-25T00:00:00.000+00:00,49.0,50,39,60,5bfb37d6fb166600232a92bc,50,49.0,48,47.1,48,7,49.143
2018-11-26T00:00:00.000+00:00,49.5,49,40,50,5bfc890ffb1666002228b075,50,49.0,49,48.5,49,9,49.333
2018-11-27T00:00:00.000+00:00,40.5,50,31,50,5bfdda91fb166600222a09ef,50,45.0,31,46.7,45,6,44.333
2018-11-28T00:00:00.000+00:00,49.5,50,31,50,5bff2c11fb166600232eeed3,50,50.0,49,46.7,49,4,49.75
2018-11-29T00:00:00.000+00:00,44.5,49,31,50,5c007decfb166600222cbfe0,50,44.0,39,46.6,39,7,43.857
