datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,22.0,27,14,35,5be37d61fb166600220e9cab,30,25.0,14,23.2,22,75,24.333
2018-11-08T00:00:00.000+00:00,24.0,20,14,35,5be4cec8fb166600231246db,34,25.0,14,23.4,15,77,24.286
2018-11-09T00:00:00.000+00:00,25.0,20,14,35,5be62019fb16660022111d11,35,25.0,15,23.7,25,66,24.227
2018-11-10T00:00:00.000+00:00,25.0,20,14,35,5be771c5fb16660022128148,35,25.0,15,24.2,22,105,25.486
2018-11-11T00:00:00.000+00:00,20.0,19,12,35,5be8c338fb1666002213e121,28,20.0,12,23.2,19,114,21.158
2018-11-12T00:00:00.000+00:00,27.0,19,12,35,5bea151cfb16660022153b90,35,28.0,19,24.2,19,81,26.753
2018-11-13T00:00:00.000+00:00,26.0,30,12,35,5beb6630fb16660023195a0c,34,27.0,18,24.6,28,76,26.618
2018-11-14T00:00:00.000+00:00,27.5,28,12,35,5becb812fb166600231ac5f3,35,28.0,20,25.1,27,85,27.565
2018-11-15T00:00:00.000+00:00,29.5,33,18,40,5bee0991fb16660022194b49,40,29.0,19,26.0,30,84,28.262
2018-11-16T00:00:00.000+00:00,26.0,29,18,40,5bef5b27fb166600221ab24a,30,28.0,22,27.2,27,95,27.474
2018-11-17T00:00:00.000+00:00,28.0,25,19,40,5bf0aca7fb166600221c298b,33,28.0,23,27.4,26,101,27.683
2018-11-18T00:00:00.000+00:00,27.5,25,19,40,5bf1fe18fb1666002320863e,35,28.0,20,27.7,30,135,26.963
2018-11-19T00:00:00.000+00:00,27.5,28,20,35,5bf34f93fb1666002321f1dd,35,29.0,20,27.7,27,87,27.713
2018-11-20T00:00:00.000+00:00,30.0,30,20,35,5bf4a0e9fb166600222073d1,35,30.0,25,27.8,30,102,30.098
2018-11-21T00:00:00.000+00:00,30.0,30,20,40,5bf5f26cfb1666002221dd13,40,30.0,20,28.6,30,97,29.763
2018-11-22T00:00:00.000+00:00,29.5,25,19,40,5bf74381fb1666002326353e,40,29.0,19,28.9,20,85,28.024
2018-11-23T00:00:00.000+00:00,28.5,30,19,40,5bf89561fb1666002327a8b9,30,30.0,27,29.1,30,58,29.293
2018-11-24T00:00:00.000+00:00,30.0,30,19,40,5bf9e6d4fb166600232923a6,40,30.0,20,29.6,29,91,31.121
2018-11-25T00:00:00.000+00:00,30.0,25,17,43,5bfb3867fb166600232aa8be,43,30.0,17,29.6,30,117,29.658
2018-11-26T00:00:00.000+00:00,29.0,27,17,43,5bfc89d8fb166600232c18c8,35,30.0,23,29.4,29,61,29.918
2018-11-27T00:00:00.000+00:00,27.0,35,17,43,5bfddaecfb166600232d8371,35,28.0,19,28.9,19,59,27.237
2018-11-28T00:00:00.000+00:00,27.0,28,17,43,5bff2cb7fb166600232f0656,30,28.0,24,28.6,28,63,27.746
2018-11-29T00:00:00.000+00:00,27.5,29,19,35,5c007e53fb166600233081b8,35,28.0,20,28.1,28,63,27.365
2018-11-30T00:00:00.000+00:00,25.0,29,15,35,5c01cfcafb1666002331fbe4,35,24.0,15,27.1,25,120,23.567
2018-12-01T00:00:00.000+00:00,23.0,25,15,35,5c03215dfb166600222f8d65,28,23.5,18,25.9,23,107,22.841
2018-12-02T00:00:00.000+00:00,20.0,23,15,35,5c0472dafb1666002334ea00,25,20.0,15,24.5,20,105,20.79
2018-12-03T00:00:00.000+00:00,22.0,19,15,35,5c05c44ffb16660022324e78,27,22.0,17,23.5,23,66,22.121
2018-12-04T00:00:00.000+00:00,21.5,25,13,30,5c071578fb1666002337aa8d,30,24.0,13,22.3,20,78,23.526
2018-12-05T00:00:00.000+00:00,24.0,15,13,34,5c086727fb166600223515f7,34,25.0,14,22.1,18,73,24.219
2018-12-06T00:00:00.000+00:00,22.0,17,13,34,5c09b8e53ae3e800244e47d1,30,22.0,14,21.9,20,61,22.525
2018-12-07T00:00:00.000+00:00,23.0,20,13,34,5c0b0a4c3ae3e800234fa0db,27,23.0,19,22.5,24,51,22.686
2018-12-08T00:00:00.000+00:00,22.0,14,14,34,5c0c5b883ae3e800235100e1,30,25.0,14,22.5,20,82,25.146
2018-12-09T00:00:00.000+00:00,24.5,22,14,31,5c0dad273ae3e8002452bd5f,31,25.0,18,23.1,29,88,24.136
2018-12-10T00:00:00.000+00:00,23.5,25,12,35,5c0efe793ae3e8002353dcac,35,25.0,12,23.0,32,92,26.152
2018-12-11T00:00:00.000+00:00,28.5,30,12,35,5c10506a3ae3e8002355552e,32,29.0,25,24.3,27,49,27.959
2018-12-12T00:00:00.000+00:00,27.5,27,12,35,5c11a1ba3ae3e8002356ca55,35,28.0,20,25.2,27,58,27.414
2018-12-13T00:00:00.000+00:00,24.5,25,12,35,5c12f34c3ae3e80023583618,31,25.0,18,25.7,24,66,25.227
2018-12-14T00:00:00.000+00:00,20.5,25,13,35,5c14452a3ae3e800245a9742,28,20.0,13,24.9,20,96,20.656
2018-12-15T00:00:00.000+00:00,20.0,17,13,35,5c15961a3ae3e800245c1619,25,20.0,15,24.2,20,142,20.782
2018-12-16T00:00:00.000+00:00,21.0,17,13,31,5c16e78f3ae3e800235cec34,27,20.0,15,22.7,23,94,20.936
2018-12-17T00:00:00.000+00:00,20.0,23,10,30,5c18398d3ae3e800245f46a7,30,20.0,10,21.2,13,93,20.366
2018-12-18T00:00:00.000+00:00,20.0,20,10,30,5c198b433ae3e800235ff987,25,20.0,15,20.3,18,59,20.356
2018-12-19T00:00:00.000+00:00,20.0,20,10,30,5c1adc083ae3e80023617ef6,25,20.0,15,20.2,20,101,20.416
2018-12-20T00:00:00.000+00:00,20.0,20,10,30,5c1c2e143ae3e8002464207b,30,20.0,10,20.2,27,105,20.648
2018-12-21T00:00:00.000+00:00,22.0,20,10,30,5c1d7f9d3ae3e8002364afcd,30,22.0,14,20.4,23,125,22.232
2018-12-22T00:00:00.000+00:00,24.0,23,10,35,5c1ed1053ae3e80023663bd3,35,24.0,13,21.2,18,131,23.595
2018-12-23T00:00:00.000+00:00,22.0,20,10,35,5c2022183ae3e8002367d3f0,30,24.0,14,21.6,24,159,23.082
2018-12-24T00:00:00.000+00:00,25.0,25,13,35,5c2173883ae3e80023697581,35,25.0,15,22.6,25,112,24.732
2018-12-25T00:00:00.000+00:00,21.5,22,13,35,5c22c5773ae3e800236b0c33,26,22.0,17,22.9,24,93,22.333
2018-12-26T00:00:00.000+00:00,25.0,29,14,35,5c2416a63ae3e800246dd207,35,24.0,15,23.5,25,140,23.3
2018-12-27T00:00:00.000+00:00,23.0,25,15,35,5c2568a03ae3e800246f8482,30,24.0,16,23.3,22,106,23.943
