datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,10,9,10,5be37d27fb166600220e93c8,10,10.0,10,,10,1,10.0
2018-11-09T00:00:00.000+00:00,10.0,10,9,10,5be61fcbfb1666002211141a,10,10.0,10,,10,7,10.0
2018-11-14T00:00:00.000+00:00,10.0,10,9,10,5becb7cbfb166600231abc6e,10,10.0,10,,10,5,10.0
2018-11-16T00:00:00.000+00:00,10.0,10,10,10,5bef5ad4fb166600221aa8fc,10,10.0,10,9.8,10,5,10.0
2018-11-23T00:00:00.000+00:00,5.0,5,5,10,5bf894d3fb16660022248eff,5,5.0,5,9.0,5,20,5.0
2018-11-26T00:00:00.000+00:00,9.0,8,5,10,5bfc894efb1666002228ba92,10,9.0,8,8.8,10,6,8.667
2018-11-29T00:00:00.000+00:00,9.5,9,5,10,5c007e1afb16660023307890,10,9.5,9,8.7,10,19,9.105
2018-12-02T00:00:00.000+00:00,10.0,10,5,10,5c04729afb1666002230f279,10,10.0,10,8.7,10,5,10.0
2018-12-03T00:00:00.000+00:00,8.0,8,8,10,5c05c414fb16660023364adc,8,8.0,8,8.3,8,5,8.0
2018-12-09T00:00:00.000+00:00,10.0,10,8,10,5c0dacc33ae3e8002452aee0,10,10.0,10,9.3,10,1,10.0
2018-12-14T00:00:00.000+00:00,5.0,5,5,10,5c1444ea3ae3e8002359b791,5,5.0,5,8.5,5,10,5.0
2018-12-16T00:00:00.000+00:00,8.0,8,5,10,5c16e7463ae3e800235ce21b,8,8.0,8,8.2,8,2,8.0
2018-12-21T00:00:00.000+00:00,8.0,8,5,10,5c1d7f513ae3e8002364a495,8,8.0,8,7.8,8,10,8.0
2018-12-31T00:00:00.000+00:00,20.0,20,5,20,5c2aadc03ae3e80024762a5e,20,20.0,20,10.2,20,43,20.0
2019-01-02T00:00:00.000+00:00,15.0,15,8,20,5c2d50e93ae3e8002377f22d,15,15.0,15,11.2,15,25,15.0
2019-01-10T00:00:00.000+00:00,7.5,10,5,20,5c37dcdd3ae3e80023855137,10,7.5,5,11.7,5,17,5.588
2019-01-13T00:00:00.000+00:00,6.0,6,5,20,5c3bd1443ae3e800248c7a6a,6,6.0,6,11.3,6,11,6.0
2019-01-19T00:00:00.000+00:00,6.0,6,5,15,5c43ba6b3ae3e8002394ae4e,6,6.0,6,10.9,6,4,6.0
2019-01-24T00:00:00.000+00:00,10.0,10,5,10,5c4a51c63ae3e800249ff722,10,10.0,10,8.9,10,10,10.0
2019-01-25T00:00:00.000+00:00,10.0,10,6,10,5c4ba35b3ae3e80024a1bc61,10,10.0,10,7.9,10,4,10.0
2019-01-28T00:00:00.000+00:00,10.0,10,6,10,5c4f98463ae3e80023a44b4b,10,10.0,10,8.4,10,5,10.0
