datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-21T00:00:00.000+00:00,25.0,15,15,35,5c1d7fb93ae3e8002465b886,35,22.0,15,,19,5,21.8
2018-12-22T00:00:00.000+00:00,16.5,15,15,35,5c1ed1233ae3e80023663ff9,18,16.0,15,,18,7,16.0
2018-12-23T00:00:00.000+00:00,14.0,17,10,35,5c20222a3ae3e8002468f475,18,13.5,10,,10,15,11.0
2018-12-24T00:00:00.000+00:00,10.5,15,6,35,5c2173983ae3e800246a98e6,15,15.0,6,,15,6,12.667
2018-12-25T00:00:00.000+00:00,12.5,15,6,18,5c22c58c3ae3e800246c3cbe,15,12.5,10,15.7,10,4,11.25
2018-12-27T00:00:00.000+00:00,13.5,17,6,18,5c2568b33ae3e800236e42de,17,12.0,10,13.4,14,15,12.133
2018-12-28T00:00:00.000+00:00,14.0,15,6,17,5c26b9a23ae3e80024712433,15,14.0,13,12.9,14,9,14.222
2018-12-29T00:00:00.000+00:00,14.0,14,10,17,5c280bbd3ae3e80023718a89,14,14.0,14,12.9,14,1,14.0
2018-12-30T00:00:00.000+00:00,12.0,14,10,17,5c295cc53ae3e800237327b2,14,10.0,10,13.2,10,3,11.333
2018-12-31T00:00:00.000+00:00,10.0,10,10,15,5c2aae123ae3e8002476383b,10,10.0,10,12.7,10,5,10.0
2019-01-01T00:00:00.000+00:00,17.0,20,10,20,5c2c00163ae3e8002477e1fe,20,17.0,14,13.4,14,7,16.571
2019-01-03T00:00:00.000+00:00,14.0,14,10,20,5c2ea33f3ae3e800247b4604,14,14.0,14,13.4,14,4,14.0
2019-01-05T00:00:00.000+00:00,12.5,10,10,20,5c3145a73ae3e800237d022c,15,14.0,10,13.1,14,7,12.714
2019-01-06T00:00:00.000+00:00,10.5,10,7,20,5c3297ab3ae3e800237eca16,14,10.0,7,12.8,7,6,11.0
2019-01-08T00:00:00.000+00:00,20.0,20,7,20,5c353a323ae3e8002483c9ae,20,20.0,20,14.8,20,1,20.0
2019-01-09T00:00:00.000+00:00,13.0,13,7,20,5c368c303ae3e80024857e84,13,13.0,13,14.0,13,3,13.0
2019-01-13T00:00:00.000+00:00,15.0,15,7,20,5c3bd2053ae3e800238a8d0f,15,15.0,15,14.2,15,1,15.0
2019-01-14T00:00:00.000+00:00,12.5,10,10,20,5c3d238d3ae3e800238c3245,15,12.5,10,14.2,15,8,11.25
2019-01-18T00:00:00.000+00:00,7.5,10,5,15,5c4269b03ae3e800249562be,10,7.5,5,13.6,5,19,7.105
2019-01-20T00:00:00.000+00:00,10.0,10,5,15,5c450ca13ae3e80024990b03,10,10.0,10,11.6,10,1,10.0
2019-01-25T00:00:00.000+00:00,5.0,5,5,15,5c4ba3eb3ae3e800239f1f1d,5,5.0,5,10.0,5,7,5.0
2019-01-29T00:00:00.000+00:00,5.0,5,5,10,5c50ea0b3ae3e80024a8fd6f,5,5.0,5,8.0,5,4,5.0
2019-01-30T00:00:00.000+00:00,10.0,10,5,10,5c523b753ae3e80023a7b220,10,10.0,10,7.5,10,1,10.0
