datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,8.0,8,8,8,5be77184fb16660023151f17,8,8.0,8,,8,10,8.0
2018-11-15T00:00:00.000+00:00,15.0,15,8,15,5bee0912fb166600231c1ee0,15,15.0,15,,15,1,15.0
2018-11-27T00:00:00.000+00:00,10.0,10,8,15,5bfddab4fb166600232d7a7f,10,10.0,10,,10,2,10.0
2018-12-01T00:00:00.000+00:00,10.0,10,8,15,5c0320eafb166600222f7d38,10,10.0,10,,10,4,10.0
2018-12-02T00:00:00.000+00:00,4.0,4,4,15,5c04729bfb1666002230f2b4,4,4.0,4,9.4,4,3,4.0
2018-12-09T00:00:00.000+00:00,10.0,10,4,10,5c0dacc43ae3e800235267a8,10,10.0,10,9.8,10,1,10.0
2018-12-10T00:00:00.000+00:00,14.0,14,4,14,5c0efe3a3ae3e8002353d36a,14,14.0,14,9.6,14,4,14.0
2018-12-15T00:00:00.000+00:00,15.0,15,4,15,5c1595c53ae3e800245c0a23,15,15.0,15,10.6,15,2,15.0
2018-12-22T00:00:00.000+00:00,8.0,8,8,15,5c1ed08b3ae3e800246750c2,8,8.0,8,10.2,8,9,8.0
2018-12-31T00:00:00.000+00:00,5.0,5,5,15,5c2aadc13ae3e8002374b1d8,5,5.0,5,10.4,5,5,5.0
2019-01-31T00:00:00.000+00:00,1.0,1,1,15,5c538c543ae3e80023a94617,1,1.0,1,8.6,1,1,1.0
