datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,7.0,5,5,10,5be37d1bfb1666002310d667,9,5.0,5,,9,22,5.727
2018-11-09T00:00:00.000+00:00,10.0,10,5,10,5be61fadfb16660023139ad6,10,10.0,10,,10,1,10.0
2018-11-11T00:00:00.000+00:00,2.0,2,2,10,5be8c2b5fb1666002213ce48,2,2.0,2,7.8,2,4,2.0
2018-11-14T00:00:00.000+00:00,5.0,5,2,10,5becb7c1fb1666002217e782,5,5.0,5,6.8,5,5,5.0
2018-11-15T00:00:00.000+00:00,7.0,7,2,10,5bee08f8fb16660022193b80,7,7.0,7,6.2,7,2,7.0
2018-11-18T00:00:00.000+00:00,5.0,5,2,7,5bf1fd54fb166600221d884c,5,5.0,5,5.8,5,5,5.0
2018-11-20T00:00:00.000+00:00,4.0,4,4,7,5bf4a098fb16660023234fca,4,4.0,4,4.6,4,10,4.0
2018-11-24T00:00:00.000+00:00,4.0,4,4,7,5bf9e653fb16660023291087,4,4.0,4,5.0,4,2,4.0
2018-11-25T00:00:00.000+00:00,6.0,6,4,6,5bfb3821fb166600232a9e05,6,6.0,6,5.2,6,3,6.0
2018-11-26T00:00:00.000+00:00,5.0,5,4,6,5bfc8996fb166600232c0e30,5,5.0,5,4.8,5,10,5.0
2018-11-27T00:00:00.000+00:00,7.0,7,4,7,5bfddaa1fb166600232d7750,7,7.0,7,5.2,7,8,7.0
2018-12-03T00:00:00.000+00:00,7.0,7,5,7,5c05c40ffb166600223243f4,7,7.0,7,5.8,7,5,7.0
2018-12-11T00:00:00.000+00:00,6.0,5,5,7,5c104fba3ae3e80023553edf,7,6.0,5,6.2,7,6,5.667
2018-12-12T00:00:00.000+00:00,8.0,8,5,8,5c11a1323ae3e80024574d2c,8,8.0,8,6.6,8,5,8.0
2018-12-14T00:00:00.000+00:00,6.0,7,5,8,5c1444d33ae3e800245a8a45,7,6.0,5,6.8,5,2,6.0
2018-12-15T00:00:00.000+00:00,5.0,5,5,8,5c1595ad3ae3e800235b4862,5,5.0,5,6.4,5,8,5.0
2018-12-16T00:00:00.000+00:00,5.0,5,5,8,5c16e72d3ae3e800245d9328,5,5.0,5,6.0,5,1,5.0
2018-12-17T00:00:00.000+00:00,9.0,9,5,9,5c18391c3ae3e800245f34ea,9,9.0,9,6.6,9,2,9.0
2018-12-20T00:00:00.000+00:00,9.0,9,5,9,5c1c2d7e3ae3e8002362fec3,9,9.0,9,6.8,9,21,9.0
2018-12-21T00:00:00.000+00:00,5.0,5,5,9,5c1d7f483ae3e8002465a853,5,5.0,5,6.6,5,1,5.0
2018-12-25T00:00:00.000+00:00,5.0,5,5,9,5c22c4cd3ae3e800236af613,5,5.0,5,6.6,5,3,5.0
2018-12-29T00:00:00.000+00:00,8.0,8,5,9,5c280b413ae3e8002472d128,8,8.0,8,7.2,8,4,8.0
2018-12-30T00:00:00.000+00:00,7.0,7,5,8,5c295c2c3ae3e800247478d1,7,7.0,7,6.8,7,1,7.0
2018-12-31T00:00:00.000+00:00,3.0,3,3,8,5c2aadaa3ae3e8002374ae08,3,3.0,3,5.6,3,5,3.0
2019-01-02T00:00:00.000+00:00,5.0,5,3,8,5c2d50eb3ae3e80024797efe,5,5.0,5,5.6,5,20,5.0
2019-01-04T00:00:00.000+00:00,5.0,5,3,7,5c2ff43b3ae3e800247ce879,5,5.0,5,5.6,5,20,5.0
2019-01-07T00:00:00.000+00:00,5.0,5,3,5,5c33e8af3ae3e80024820fbb,5,5.0,5,5.0,5,20,5.0
2019-01-08T00:00:00.000+00:00,5.0,5,5,5,5c3539ac3ae3e8002381f345,5,5.0,5,4.6,5,20,5.0
2019-01-09T00:00:00.000+00:00,5.0,5,5,5,5c368b8e3ae3e8002383b2e4,5,5.0,5,5.0,5,30,5.0
2019-01-11T00:00:00.000+00:00,11.5,10,5,13,5c392ec93ae3e80023870ec1,13,11.5,10,6.3,13,21,12.714
2019-01-12T00:00:00.000+00:00,8.0,7,5,13,5c3a80393ae3e8002388c729,9,8.0,7,6.9,9,8,8.0
2019-01-19T00:00:00.000+00:00,4.0,4,4,13,5c43ba6b3ae3e80024970e76,4,4.0,4,6.7,4,2,4.0
2019-01-24T00:00:00.000+00:00,10.0,10,4,13,5c4a51ae3ae3e800239d5554,10,10.0,10,7.7,10,3,10.0
2019-01-25T00:00:00.000+00:00,10.0,10,4,10,5c4ba33b3ae3e800239f0c51,10,10.0,10,8.7,10,4,10.0
2019-01-28T00:00:00.000+00:00,10.0,10,4,10,5c4f983a3ae3e80024a725de,10,10.0,10,8.4,10,5,10.0
2019-01-30T00:00:00.000+00:00,8.0,8,8,10,5c523aad3ae3e80023a7974c,8,8.0,8,8.4,8,7,8.0
2019-01-31T00:00:00.000+00:00,6.5,10,3,10,5c538c3c3ae3e80023a9420e,10,6.5,3,8.9,3,21,3.333
