datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,8.0,3,3,13,5be37d13fb166600220e90a6,13,10.0,3,8.6,10,20,9.6
2018-11-08T00:00:00.000+00:00,7.5,5,3,13,5be4ce64fb166600220fd1ab,11,8.0,4,8.3,6,20,7.1
2018-11-09T00:00:00.000+00:00,9.5,9,3,14,5be61facfb166600221110ee,14,10.0,5,8.6,13,20,8.4
2018-11-10T00:00:00.000+00:00,9.5,9,3,14,5be77160fb16660023151914,10,10.0,9,9.0,9,19,9.421
2018-11-11T00:00:00.000+00:00,8.5,9,4,14,5be8c2a2fb16660023167a27,10,8.0,7,8.6,9,26,8.154
2018-11-12T00:00:00.000+00:00,8.5,8,5,14,5bea146cfb1666002317ebf0,10,9.0,7,8.7,10,23,9.261
2018-11-13T00:00:00.000+00:00,7.5,9,6,10,5beb65b3fb16660023194de5,9,9.0,6,8.7,6,10,8.6
2018-11-14T00:00:00.000+00:00,8.0,9,6,10,5becb7affb166600231ab92a,9,8.0,7,8.4,9,5,7.8
2018-11-15T00:00:00.000+00:00,7.5,9,6,10,5bee08f3fb166600231c1b70,9,8.0,6,8.0,8,18,8.444
2018-11-16T00:00:00.000+00:00,7.0,7,4,10,5bef5abefb166600221aa5b3,10,7.0,4,7.7,4,28,6.25
2018-11-17T00:00:00.000+00:00,8.5,7,4,10,5bf0ac3efb166600221c1cc8,10,9.0,7,7.7,9,9,8.222
2018-11-18T00:00:00.000+00:00,8.5,8,4,10,5bf1fd34fb166600221d8495,9,9.0,8,7.9,8,12,8.667
2018-11-19T00:00:00.000+00:00,7.0,9,4,10,5bf34f30fb1666002321e550,9,7.5,5,7.7,8,13,7.154
2018-11-20T00:00:00.000+00:00,8.0,9,5,10,5bf4a094fb16660022206791,9,9.0,7,7.8,9,10,8.5
2018-11-21T00:00:00.000+00:00,7.5,8,5,9,5bf5f1d4fb1666002324ba37,9,8.0,6,7.9,9,19,8.211
2018-11-22T00:00:00.000+00:00,8.5,8,5,9,5bf74326fb16660022232379,9,8.0,8,7.9,8,16,8.625
2018-11-23T00:00:00.000+00:00,7.5,6,6,9,5bf894befb16660022248ba0,9,8.0,6,7.7,7,26,7.654
2018-11-24T00:00:00.000+00:00,7.5,8,6,9,5bf9e63bfb1666002225f2b2,9,7.0,6,7.8,6,18,6.944
2018-11-25T00:00:00.000+00:00,7.5,8,5,10,5bfb3802fb166600232a99a4,10,7.5,5,7.7,5,15,6.333
2018-11-26T00:00:00.000+00:00,8.5,9,5,10,5bfc893afb1666002228b743,10,8.0,7,7.9,8,19,8.579
2018-11-27T00:00:00.000+00:00,5.5,7,2,10,5bfddaa1fb166600222a0c1f,9,7.0,2,7.3,5,55,5.909
2018-11-28T00:00:00.000+00:00,5.5,7,2,10,5bff2c20fb166600232ef0fd,7,5.0,4,6.9,7,28,5.429
2018-11-29T00:00:00.000+00:00,7.0,8,2,10,5c007e07fb16660023307553,9,6.5,5,6.8,5,16,6.438
2018-11-30T00:00:00.000+00:00,9.0,8,2,10,5c01cf53fb1666002331ebf0,10,9.0,8,7.1,8,11,8.727
2018-12-01T00:00:00.000+00:00,9.0,8,4,10,5c0320d2fb166600222f799e,10,9.0,8,7.2,8,15,9.0
2018-12-02T00:00:00.000+00:00,9.0,8,5,10,5c047287fb1666002230ef30,10,9.0,8,7.9,8,26,8.885
2018-12-03T00:00:00.000+00:00,9.0,10,8,10,5c05c3fffb166600233647ad,10,9.0,8,8.6,9,14,9.143
2018-12-04T00:00:00.000+00:00,6.5,8,5,10,5c071522fb1666002233963b,8,6.0,5,8.5,6,17,6.059
2018-12-05T00:00:00.000+00:00,8.5,7,5,10,5c0866a0fb1666002338f673,10,9.0,7,8.4,9,11,8.636
2018-12-06T00:00:00.000+00:00,7.5,9,5,10,5c09b8913ae3e800244e3b3b,10,8.0,5,8.1,6,19,7.526
2018-12-07T00:00:00.000+00:00,7.5,5,5,10,5c0b09c43ae3e800244fa40a,10,6.5,5,7.8,9,16,6.75
2018-12-08T00:00:00.000+00:00,8.5,10,5,12,5c0c5b2c3ae3e8002350f3f8,12,9.0,5,7.7,7,17,7.941
2018-12-09T00:00:00.000+00:00,7.5,10,5,12,5c0dacad3ae3e8002452ab5b,10,8.5,5,7.9,7,38,8.579
2018-12-10T00:00:00.000+00:00,7.0,10,4,12,5c0efe223ae3e8002353cf8d,10,6.5,4,7.6,9,18,5.944
2018-12-11T00:00:00.000+00:00,9.5,9,4,12,5c104fa43ae3e80023553aed,10,10.0,9,8.0,10,9,9.889
2018-12-12T00:00:00.000+00:00,9.5,9,4,10,5c11a1303ae3e8002356b7a5,10,10.0,9,8.4,10,12,9.917
2018-12-13T00:00:00.000+00:00,4.5,5,3,10,5c12f2a33ae3e8002458f442,6,5.0,3,7.6,5,26,4.192
2018-12-14T00:00:00.000+00:00,5.5,5,3,10,5c1444d03ae3e8002359b3f6,7,5.0,4,7.2,4,16,5.812
2018-12-15T00:00:00.000+00:00,8.5,9,3,12,5c1595aa3ae3e800245c062d,12,9.0,5,7.5,10,18,8.167
2018-12-16T00:00:00.000+00:00,7.5,10,3,12,5c16e72b3ae3e800235cde67,10,9.0,5,7.1,10,21,8.952
2018-12-17T00:00:00.000+00:00,7.5,6,4,12,5c1839013ae3e800245f30db,9,9.0,6,6.7,9,21,8.429
2018-12-18T00:00:00.000+00:00,9.0,9,5,12,5c198a573ae3e800235fe24e,12,8.0,6,7.6,10,18,8.111
2018-12-19T00:00:00.000+00:00,8.5,10,5,12,5c1adba73ae3e800236170c0,10,9.0,7,8.2,9,18,8.722
2018-12-20T00:00:00.000+00:00,9.5,9,6,12,5c1c2d623ae3e8002362fa84,10,10.0,9,8.4,10,23,9.652
2018-12-21T00:00:00.000+00:00,8.5,9,6,12,5c1d7f373ae3e8002364a0cb,10,9.0,7,8.6,9,20,8.2
2018-12-22T00:00:00.000+00:00,7.5,10,4,11,5c1ed0533ae3e800246748d4,11,9.5,4,8.6,10,41,7.951
2018-12-23T00:00:00.000+00:00,9.0,10,4,11,5c2021b23ae3e8002468e2ff,10,10.0,8,8.6,10,9,8.889
2018-12-24T00:00:00.000+00:00,8.5,12,4,12,5c21732f3ae3e800246a87a7,12,7.0,5,8.6,8,15,7.0
2018-12-25T00:00:00.000+00:00,7.5,10,4,12,5c22c4c33ae3e800246c2231,10,6.5,5,8.2,5,38,6.263
2018-12-26T00:00:00.000+00:00,11.0,12,5,12,5c24162d3ae3e800236c857e,12,10.0,10,8.7,10,13,10.462
2018-12-27T00:00:00.000+00:00,10.0,10,5,12,5c2568373ae3e800246f7625,12,10.0,8,9.2,12,23,9.826
2018-12-28T00:00:00.000+00:00,9.0,9,5,12,5c26b9253ae3e8002471127c,10,9.0,8,9.2,8,16,9.125
2018-12-29T00:00:00.000+00:00,6.0,5,5,12,5c280b3f3ae3e800237178be,7,5.0,5,8.7,5,8,6.25
2018-12-30T00:00:00.000+00:00,9.0,10,5,12,5c295c293ae3e800237311b5,10,9.5,8,9.0,10,13,9.538
2018-12-31T00:00:00.000+00:00,9.5,9,5,10,5c2aada93ae3e8002476268a,10,10.0,9,8.7,9,16,9.5
2019-01-01T00:00:00.000+00:00,9.5,9,5,10,5c2bff7e3ae3e80023765fc6,10,10.0,9,8.6,9,21,9.714
2019-01-02T00:00:00.000+00:00,8.5,9,8,10,5c2d50d03ae3e8002377ee28,9,9.0,8,8.5,9,21,8.714
2019-01-03T00:00:00.000+00:00,7.5,8,5,10,5c2ea26b3ae3e800247b2d83,10,10.0,5,8.8,10,32,8.188
2019-01-04T00:00:00.000+00:00,9.5,9,5,10,5c2ff4293ae3e800237b44c1,10,10.0,9,8.9,10,10,9.4
2019-01-05T00:00:00.000+00:00,10.0,10,5,12,5c31452d3ae3e800247e8cc0,12,10.0,8,9.0,9,9,9.889
2019-01-06T00:00:00.000+00:00,8.5,7,5,12,5c3296ce3ae3e800248048e9,10,9.0,7,8.8,8,19,8.684
2019-01-07T00:00:00.000+00:00,9.0,9,7,12,5c33e8ac3ae3e80023805893,10,9.0,8,8.9,8,18,9.444
2019-01-08T00:00:00.000+00:00,8.5,10,7,12,5c3539aa3ae3e8002483b492,10,10.0,7,9.1,10,4,9.25
2019-01-09T00:00:00.000+00:00,6.5,5,3,10,5c368b7c3ae3e80024856642,10,8.0,3,8.5,10,35,8.029
2019-01-10T00:00:00.000+00:00,9.5,10,3,10,5c37dcc73ae3e80023854d24,10,10.0,9,8.4,10,7,9.857
2019-01-11T00:00:00.000+00:00,9.0,10,3,10,5c392ec73ae3e8002488eced,10,9.5,8,8.5,9,15,9.467
2019-01-12T00:00:00.000+00:00,9.0,10,3,10,5c3a80333ae3e800248abafc,10,10.0,8,8.5,9,13,9.615
2019-01-13T00:00:00.000+00:00,9.5,9,5,14,5c3bd12d3ae3e800248c7637,14,9.0,5,8.7,6,29,8.655
2019-01-14T00:00:00.000+00:00,8.5,5,4,14,5c3d22c23ae3e800248e4483,13,9.0,4,9.1,13,39,7.41
2019-01-15T00:00:00.000+00:00,9.0,8,4,14,5c3e742c3ae3e800238dbf91,10,9.5,8,9.0,9,11,9.545
2019-01-16T00:00:00.000+00:00,8.0,6,4,14,5c3fc5aa3ae3e8002491ba9d,10,10.0,6,8.8,10,21,9.143
2019-01-17T00:00:00.000+00:00,9.0,10,4,13,5c41172b3ae3e800249382b8,10,10.0,8,8.8,10,7,9.714
2019-01-18T00:00:00.000+00:00,8.5,9,5,12,5c4268b23ae3e800249543d6,12,8.5,5,8.6,12,23,8.696
2019-01-19T00:00:00.000+00:00,9.0,10,5,12,5c43ba513ae3e8002394aa0b,10,9.0,8,8.7,10,25,9.24
2019-01-20T00:00:00.000+00:00,8.5,9,5,12,5c450bd03ae3e80023965a2d,10,10.0,7,8.6,7,44,9.682
2019-01-21T00:00:00.000+00:00,8.5,12,5,12,5c465d333ae3e800249ab752,12,8.0,5,8.7,5,29,8.241
2019-01-22T00:00:00.000+00:00,8.5,5,5,12,5c47aec73ae3e800249c7259,12,9.0,5,8.6,9,11,7.818
2019-01-23T00:00:00.000+00:00,7.0,8,4,12,5c4900b83ae3e800239baadd,10,8.0,4,8.3,9,10,6.1
2019-01-24T00:00:00.000+00:00,9.5,11,4,12,5c4a51ac3ae3e800249ff2f5,11,10.0,8,8.4,8,23,9.739
2019-01-25T00:00:00.000+00:00,7.5,10,4,12,5c4ba3383ae3e80024a1b821,10,10.0,5,8.2,10,26,9.269
2019-01-26T00:00:00.000+00:00,6.0,9,2,11,5c4cf4cb3ae3e80023a0d1d8,10,10.0,2,7.7,6,27,8.0
2019-01-27T00:00:00.000+00:00,10.5,10,2,12,5c4e46303ae3e80024a550d1,12,10.0,9,8.1,10,9,10.333
2019-01-28T00:00:00.000+00:00,10.0,9,2,15,5c4f98273ae3e80023a4472f,15,10.0,5,8.7,10,21,9.714
2019-01-29T00:00:00.000+00:00,10.0,15,2,15,5c50e9403ae3e80023a5f1dc,15,9.0,5,8.8,10,10,9.8
2019-01-30T00:00:00.000+00:00,8.5,9,5,15,5c523aac3ae3e80024aaa5fe,10,9.0,7,9.0,10,21,8.619
