datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,230.0,250,190,260,5be37d16fb166600220e912c,250,236.0,210,229.9,232,24,232.792
2018-11-08T00:00:00.000+00:00,230.0,233,210,250,5be4ce67fb166600220fd22c,250,231.5,210,229.0,230,25,231.64
2018-11-09T00:00:00.000+00:00,205.0,235,110,300,5be61fb0fb16660022111170,300,200.0,110,225.0,120,42,181.81
2018-11-10T00:00:00.000+00:00,142.0,130,110,300,5be77163fb16660023151997,169,140.0,115,207.4,150,44,140.182
2018-11-11T00:00:00.000+00:00,137.5,129,100,300,5be8c2a5fb16660023167aa9,175,139.0,100,188.9,135,52,136.981
2018-11-12T00:00:00.000+00:00,135.0,130,100,300,5bea1470fb1666002317ec70,150,130.0,120,169.9,135,29,134.276
2018-11-13T00:00:00.000+00:00,152.5,150,100,175,5beb65b8fb16660023194e67,175,149.0,130,154.4,150,51,147.529
2018-11-14T00:00:00.000+00:00,160.0,174,100,200,5becb7b3fb166600231ab9b1,200,160.0,120,145.4,145,96,160.26
2018-11-15T00:00:00.000+00:00,140.0,150,115,200,5bee08f7fb166600231c1bf7,165,140.0,115,145.0,145,69,140.0
2018-11-16T00:00:00.000+00:00,132.5,135,100,200,5bef5ac1fb166600221aa636,165,135.0,100,144.0,120,99,135.202
2018-11-17T00:00:00.000+00:00,137.5,120,100,200,5bf0ac42fb166600221c1d4f,170,139.0,105,144.5,120,103,138.039
2018-11-18T00:00:00.000+00:00,125.0,120,100,170,5bf1fd38fb166600221d851b,150,125.0,100,139.0,135,89,124.067
2018-11-19T00:00:00.000+00:00,110.0,125,90,170,5bf34f34fb1666002321e5d6,130,113.0,90,129.0,110,91,112.275
2018-11-20T00:00:00.000+00:00,115.0,100,90,170,5bf4a098fb16660022206813,130,114.0,100,124.0,119,69,113.928
2018-11-21T00:00:00.000+00:00,108.5,125,87,150,5bf5f1d8fb1666002324babf,130,110.0,87,119.2,110,101,110.614
2018-11-22T00:00:00.000+00:00,107.0,100,87,130,5bf7432afb16660022232404,119,105.5,95,113.1,100,87,105.839
2018-11-23T00:00:00.000+00:00,104.0,105,87,130,5bf894c1fb16660022248c27,109,100.0,99,108.9,102,62,102.903
2018-11-24T00:00:00.000+00:00,99.5,98,87,130,5bf9e640fb1666002225f339,110,100.0,89,106.8,100,95,101.663
2018-11-25T00:00:00.000+00:00,100.0,98,89,119,5bfb3805fb166600232a9a2d,110,100.0,90,103.8,90,76,98.697
2018-11-26T00:00:00.000+00:00,96.0,98,89,110,5bfc893efb1666002228b7c8,100,97.0,92,101.3,95,67,96.94
2018-11-27T00:00:00.000+00:00,97.5,98,89,110,5bfddaa4fb166600222a0ca9,105,98.0,90,99.4,90,72,96.681
2018-11-28T00:00:00.000+00:00,94.5,100,82,110,5bff2c23fb166600232ef184,107,95.0,82,97.5,84,90,94.367
2018-11-29T00:00:00.000+00:00,91.0,88,75,107,5c007e0afb166600233075da,107,91.0,75,95.8,75,69,91.913
2018-11-30T00:00:00.000+00:00,88.5,90,75,107,5c01cf57fb1666002331ec74,101,90.0,76,93.5,90,99,89.162
2018-12-01T00:00:00.000+00:00,88.5,77,75,107,5c0320d6fb166600222f7a27,100,90.0,77,92.0,95,115,91.157
