datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,2.0,2,2,5,5be77170fb16660023151c50,2,2.0,2,0,,2,2,2.0
2018-11-11T00:00:00.000+00:00,2.0,2,2,5,5be8c2b6fb16660023167d6b,2,2.0,2,0,,2,1,2.0
2018-11-17T00:00:00.000+00:00,2.0,2,2,4,5bf0ac58fb166600221c203c,2,2.0,2,0,2.7,2,1,2.0
2018-11-18T00:00:00.000+00:00,3.0,3,2,3,5bf1fd51fb166600221d87fd,3,3.0,3,0,2.6,3,1,3.0
2018-11-19T00:00:00.000+00:00,4.0,5,2,5,5bf34f49fb1666002321e8a7,5,4.0,3,0,2.6,3,2,4.0
2018-11-23T00:00:00.000+00:00,3.0,3,2,5,5bf894d4fb16660022248f09,3,3.0,3,0,2.8,3,1,3.0
2018-11-25T00:00:00.000+00:00,4.0,4,3,5,5bfb3819fb166600232a9d0a,4,4.0,4,0,3.2,4,1,4.0
2018-11-26T00:00:00.000+00:00,4.0,4,3,5,5bfc894efb1666002228ba9b,4,4.0,4,0,3.6,4,1,4.0
2018-11-30T00:00:00.000+00:00,3.5,3,3,4,5c01cf69fb1666002331ef31,4,3.5,3,0,3.7,4,2,3.5
2018-12-01T00:00:00.000+00:00,3.0,3,3,4,5c0320e9fb166600222f7d06,3,3.0,3,0,3.5,3,1,3.0
2018-12-02T00:00:00.000+00:00,3.0,3,3,4,5c04729afb1666002230f283,3,3.0,3,0,3.5,3,1,3.0
2018-12-07T00:00:00.000+00:00,1.0,1,1,4,5c0b09d93ae3e800244fa78d,1,1.0,1,0,2.9,1,1,1.0
2018-12-08T00:00:00.000+00:00,4.0,4,1,4,5c0c5b453ae3e8002350f774,4,4.0,4,0,2.9,4,1,4.0
2018-12-12T00:00:00.000+00:00,3.0,4,1,4,5c11a14b3ae3e8002356bb41,4,3.0,2,0,2.8,2,2,3.0
2018-12-13T00:00:00.000+00:00,3.5,5,1,5,5c12f2b93ae3e8002458f7ed,5,3.5,2,0,2.9,2,2,3.5
2018-12-14T00:00:00.000+00:00,2.0,2,2,5,5c1444ea3ae3e8002359b79c,2,2.0,2,0,2.7,2,1,2.0
2018-12-15T00:00:00.000+00:00,2.0,2,2,5,5c1595c43ae3e800245c09e4,2,2.0,2,0,2.9,2,1,2.0
2018-12-17T00:00:00.000+00:00,3.0,4,2,5,5c18391a3ae3e800245f3490,4,3.0,2,0,2.7,2,3,3.333
2018-12-25T00:00:00.000+00:00,2.0,2,2,4,5c22c4dd3ae3e800246c2600,2,2.0,2,0,2.5,2,1,2.0
2018-12-26T00:00:00.000+00:00,3.5,3,2,4,5c2416463ae3e800236c895d,4,3.5,3,0,2.5,4,4,3.25
2018-12-27T00:00:00.000+00:00,10.0,10,10,10,5c2568533ae3e800246f79ff,10,10.0,10,5,,10,1,10.0
2018-12-28T00:00:00.000+00:00,2.0,2,2,4,5c26b9493ae3e8002471166d,2,2.0,2,0,2.5,2,1,2.0
2018-12-30T00:00:00.000+00:00,4.5,7,2,7,5c295c463ae3e800237315b3,7,4.5,2,0,3.0,2,2,4.5
2018-12-31T00:00:00.000+00:00,9.0,9,9,10,5c2aadc03ae3e80024762a68,9,9.0,9,5,,9,1,9.0
2019-01-01T00:00:00.000+00:00,2.0,2,2,7,5c2bff973ae3e800237663c3,2,2.0,2,0,2.8,2,1,2.0
2019-01-02T00:00:00.000+00:00,3.0,3,2,7,5c2d50e93ae3e8002377f235,3,3.0,3,0,3.0,3,1,3.0
2019-01-03T00:00:00.000+00:00,3.0,3,2,7,5c2ea2863ae3e800247b318b,3,3.0,3,0,2.9,3,1,3.0
2019-01-04T00:00:00.000+00:00,2.5,3,2,3,5c2ff4443ae3e800237b48d6,3,3.0,2,0,3.0,3,4,2.75
