datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-12T00:00:00.000+00:00,4.0,4,4,4,5bea1526fb1666002317ff70,4,4.0,4,,4,4,4.0
2018-11-14T00:00:00.000+00:00,4.5,5,4,5,5becb81efb1666002217f37c,5,4.0,4,,4,17,4.588
2018-11-18T00:00:00.000+00:00,5.0,5,4,5,5bf1fe20fb166600221da09d,5,5.0,5,,5,11,5.0
2018-11-22T00:00:00.000+00:00,4.0,4,4,5,5bf7438efb16660023263732,4,4.0,4,,4,5,4.0
2018-11-23T00:00:00.000+00:00,4.0,4,4,5,5bf89567fb1666002224a3ff,4,4.0,4,4.3,4,5,4.0
2018-11-25T00:00:00.000+00:00,5.0,5,4,5,5bfb386efb16660022276dad,5,5.0,5,4.5,5,5,5.0
2018-11-28T00:00:00.000+00:00,3.0,3,3,5,5bff2ccbfb166600222b77f4,3,3.0,3,4.2,3,5,3.0
2018-11-29T00:00:00.000+00:00,3.0,3,3,5,5c007e54fb166600222cd007,3,3.0,3,3.8,3,5,3.0
2018-12-03T00:00:00.000+00:00,3.0,3,3,5,5c05c457fb1666002336560a,3,3.0,3,3.6,3,7,3.0
2018-12-13T00:00:00.000+00:00,3.0,3,3,3,5c12f3683ae3e800235839c8,3,3.0,3,3.4,3,5,3.0
2018-12-14T00:00:00.000+00:00,5.0,5,3,5,5c14452c3ae3e8002359c237,5,5.0,5,3.4,5,2,5.0
2018-12-21T00:00:00.000+00:00,3.0,3,3,5,5c1d7fa93ae3e8002465b6b2,3,3.0,3,3.4,3,9,3.0
2018-12-22T00:00:00.000+00:00,4.0,4,3,5,5c1ed1153ae3e80023663e0f,4,4.0,4,3.6,4,8,4.0
2018-12-23T00:00:00.000+00:00,4.0,4,3,5,5c20221b3ae3e8002468f26e,4,4.0,4,3.8,4,2,4.0
2018-12-27T00:00:00.000+00:00,3.0,3,3,4,5c2568a23ae3e800236e40c9,3,3.0,3,3.8,3,4,3.0
2018-12-28T00:00:00.000+00:00,4.0,4,3,4,5c26b9933ae3e800247121fc,4,4.0,4,3.6,4,10,4.0
2018-12-29T00:00:00.000+00:00,4.0,4,3,4,5c280ba83ae3e8002371885c,4,4.0,4,3.8,4,1,4.0
2018-12-31T00:00:00.000+00:00,5.0,5,3,5,5c2aae063ae3e8002476361a,5,5.0,5,4.0,5,10,5.0
2019-01-02T00:00:00.000+00:00,4.0,4,4,5,5c2d51a33ae3e800247996be,4,4.0,4,4.0,4,7,4.0
2019-01-05T00:00:00.000+00:00,4.0,3,3,5,5c3145973ae3e800237cffd6,5,4.0,3,4.2,5,6,4.667
2019-01-10T00:00:00.000+00:00,2.0,2,2,5,5c37dd933ae3e80023856a87,2,2.0,2,3.8,2,4,2.0
2019-01-12T00:00:00.000+00:00,4.0,4,2,5,5c3a80b73ae3e8002388d896,4,4.0,4,3.8,4,10,4.0
2019-01-14T00:00:00.000+00:00,3.0,3,2,5,5c3d23803ae3e800238c300d,3,3.0,3,3.4,3,8,3.0
2019-01-17T00:00:00.000+00:00,4.0,4,2,4,5c41180d3ae3e8002493a388,4,4.0,4,3.4,4,19,4.0
2019-01-19T00:00:00.000+00:00,4.0,4,3,4,5c43bafb3ae3e8002497227d,4,4.0,4,3.4,4,7,4.0
2019-01-20T00:00:00.000+00:00,4.0,4,3,4,5c450c923ae3e80024990893,4,4.0,4,3.8,4,10,4.0
2019-01-23T00:00:00.000+00:00,4.0,4,4,4,5c49011b3ae3e800249e55c1,4,4.0,4,3.8,4,5,4.0
2019-02-01T00:00:00.000+00:00,3.0,3,3,4,5c54de9b3ae3e80024ae5b27,3,3.0,3,3.8,3,1,3.0
2019-02-03T00:00:00.000+00:00,4.0,4,3,4,5c57813d3ae3e80023aeb77c,4,4.0,4,3.8,4,2,4.0
