datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-12-31T00:00:00.000+00:00,40.0,40,40,40,5c2aae123ae3e8002476383f,40,40,40,0,,40,1,40.0
2019-01-07T00:00:00.000+00:00,50.0,50,40,50,5c33e9183ae3e80024822163,50,50,50,0,,50,1,50.0
2019-01-08T00:00:00.000+00:00,300.0,300,300,300,5c353a323ae3e8002483c9b2,300,300,300,3,,300,1,300.0
2019-01-11T00:00:00.000+00:00,300.0,300,300,300,5c392f483ae3e8002387210b,300,300,300,3,,300,1,300.0
2019-01-14T00:00:00.000+00:00,50.0,50,40,50,5c3d238d3ae3e800238c3249,50,50,50,0,,50,1,50.0
2019-01-15T00:00:00.000+00:00,200.0,200,200,300,5c3e74a03ae3e800249010d5,200,200,200,3,,200,1,200.0
2019-01-15T00:00:00.000+00:00,50.0,50,40,50,5c3e74a03ae3e800249010d4,50,50,50,0,,50,1,50.0
2019-01-18T00:00:00.000+00:00,275.0,275,200,300,5c4269b13ae3e800249562c2,275,275,275,3,,275,1,275.0
2019-01-22T00:00:00.000+00:00,300.0,300,200,300,5c47afa73ae3e8002399fa75,300,300,300,3,275.0,300,1,300.0
2019-01-25T00:00:00.000+00:00,175.0,150,150,300,5c4ba3eb3ae3e800239f1f20,200,150,150,3,250.0,200,3,166.667
2019-01-26T00:00:00.000+00:00,200.0,200,150,300,5c4cf5963ae3e80023a0ed5d,200,200,200,3,230.0,200,1,200.0
2019-01-27T00:00:00.000+00:00,25.0,25,25,50,5c4e471c3ae3e80024a5734e,25,25,25,0,43.0,25,1,25.0
2019-02-01T00:00:00.000+00:00,100.0,100,100,300,5c54deab3ae3e80024ae5d8f,100,100,100,3,210.0,100,1,100.0
2019-02-02T00:00:00.000+00:00,23.0,23,23,50,5c5630343ae3e80023aced14,23,23,23,0,39.6,23,9,23.0
2019-02-03T00:00:00.000+00:00,100.0,100,100,200,5c57814c3ae3e80023aeba11,100,100,100,3,175.0,100,1,100.0
