datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-12-25T00:00:00.000+00:00,30.0,30,30,30,5c22c58d3ae3e800246c3cd1,30,30.0,30,0,,30,1,30.0
2018-12-26T00:00:00.000+00:00,99.0,99,30,99,5c2416c83ae3e800246dd686,99,99.0,99,0,,99,1,99.0
2018-12-27T00:00:00.000+00:00,180.0,180,30,180,5c2568b43ae3e800236e42f1,180,180.0,180,0,,180,1,180.0
2018-12-28T00:00:00.000+00:00,100.0,100,30,180,5c26b9a33ae3e80024712445,100,100.0,100,0,,100,1,100.0
2018-12-30T00:00:00.000+00:00,140.0,140,99,180,5c295cc53ae3e800237327c7,140,140.0,140,0,109.8,140,3,140.0
2018-12-31T00:00:00.000+00:00,600.0,600,600,600,5c2aae133ae3e80024763852,600,600.0,600,3,,600,1,600.0
2018-12-31T00:00:00.000+00:00,40.0,40,40,180,5c2aae133ae3e80024763851,40,40.0,40,0,111.8,40,2,40.0
2019-01-01T00:00:00.000+00:00,400.0,400,400,600,5c2c00163ae3e8002477e210,400,400.0,400,3,,400,2,400.0
2019-01-02T00:00:00.000+00:00,375.0,400,350,600,5c2d51b33ae3e80024799915,400,375.0,350,3,,350,2,375.0
2019-01-02T00:00:00.000+00:00,85.0,120,40,140,5c2d51b33ae3e80024799914,120,70.0,50,0,109.0,50,4,90.0
2019-01-03T00:00:00.000+00:00,49.5,50,40,140,5c2ea3403ae3e800247b4617,50,50.0,49,0,82.9,49,10,49.6
2019-01-04T00:00:00.000+00:00,574.5,699,350,699,5c2ff4bb3ae3e800237b5922,699,574.5,450,3,,450,2,574.5
2019-01-04T00:00:00.000+00:00,80.0,90,40,120,5c2ff4bb3ae3e800237b5921,90,80.0,70,0,78.9,70,6,73.333
2019-01-05T00:00:00.000+00:00,445.0,440,350,699,5c3145a73ae3e800237d0247,450,445.0,440,3,478.9,450,4,445.0
2019-01-05T00:00:00.000+00:00,60.0,70,49,120,5c3145a73ae3e800237d0246,70,50.0,50,0,62.9,50,4,55.0
2019-01-06T00:00:00.000+00:00,424.5,350,350,699,5c3297ac3ae3e800237eca30,499,480.0,350,3,443.8,480,3,443.0
2019-01-06T00:00:00.000+00:00,48.0,48,48,90,5c3297ac3ae3e800237eca2f,48,48.0,48,0,64.5,48,3,48.0
2019-01-07T00:00:00.000+00:00,400.0,400,350,699,5c33e9193ae3e8002482217a,400,400.0,400,3,443.8,400,1,400.0
2019-01-07T00:00:00.000+00:00,60.0,60,48,90,5c33e9193ae3e80024822179,60,60.0,60,0,59.5,60,1,60.0
2019-01-08T00:00:00.000+00:00,310.0,320,300,499,5c353a323ae3e8002483c9c6,320,319.0,300,3,430.8,319,3,313.0
2019-01-08T00:00:00.000+00:00,20.0,20,20,70,5c353a323ae3e8002483c9c5,20,20.0,20,0,53.6,20,10,20.0
2019-01-09T00:00:00.000+00:00,40.0,40,20,60,5c368c313ae3e80024857e9b,40,40.0,40,0,45.6,40,1,40.0
2019-01-10T00:00:00.000+00:00,215.0,230,200,499,5c37dda13ae3e80023856cde,230,228.0,200,3,358.9,228,4,214.5
2019-01-11T00:00:00.000+00:00,225.0,200,200,400,5c392f493ae3e8002387211d,250,249.0,200,3,314.9,250,3,233.0
2019-01-12T00:00:00.000+00:00,249.5,200,200,320,5c3a80c93ae3e8002388daeb,299,285.0,200,3,279.9,285,3,261.333
2019-01-13T00:00:00.000+00:00,192.5,185,185,299,5c3bd2063ae3e800238a8d26,200,189.0,185,3,238.4,189,3,191.333
2019-01-13T00:00:00.000+00:00,35.0,35,20,60,5c3bd2063ae3e800238a8d25,35,35.0,35,0,40.6,35,1,35.0
2019-01-14T00:00:00.000+00:00,35.0,30,20,40,5c3d238e3ae3e800238c325a,40,35.0,30,0,38.0,40,2,35.0
2019-01-15T00:00:00.000+00:00,224.5,249,185,299,5c3e74a03ae3e800249010ea,249,244.0,200,3,221.3,244,3,231.0
2019-01-15T00:00:00.000+00:00,40.0,40,30,40,5c3e74a03ae3e800249010e9,40,40.0,40,0,34.0,40,1,40.0
2019-01-17T00:00:00.000+00:00,190.0,190,185,299,5c41181b3ae3e8002493a5ea,190,190.0,190,3,216.3,190,1,190.0
2019-01-18T00:00:00.000+00:00,212.5,200,185,249,5c4269b13ae3e800249562d5,225,212.5,200,3,213.8,225,2,212.5
2019-01-18T00:00:00.000+00:00,30.5,31,30,40,5c4269b13ae3e800249562d4,31,30.5,30,0,36.1,30,4,30.75
2019-01-19T00:00:00.000+00:00,30.0,30,30,40,5c43bb093ae3e8002497250f,30,30.0,30,0,34.1,30,1,30.0
2019-01-20T00:00:00.000+00:00,199.5,200,190,249,5c450ca23ae3e80024990b1b,200,200.0,199,3,203.8,199,3,199.667
2019-01-20T00:00:00.000+00:00,22.5,25,20,40,5c450ca23ae3e80024990b1a,25,22.5,20,0,31.6,20,2,22.5
2019-01-21T00:00:00.000+00:00,165.0,180,150,225,5c465de93ae3e800249ad14b,180,170.0,150,3,198.3,170,3,166.667
2019-01-22T00:00:00.000+00:00,187.5,200,150,225,5c47afa73ae3e8002399fa8a,200,200.0,175,3,190.9,200,3,191.667
2019-01-22T00:00:00.000+00:00,20.0,20,20,31,5c47afa73ae3e8002399fa89,20,20.0,20,0,28.6,20,3,20.0
2019-01-23T00:00:00.000+00:00,199.0,199,150,200,5c49012b3ae3e800249e585b,199,199.0,199,3,192.7,199,1,199.0
2019-01-24T00:00:00.000+00:00,224.5,199,150,250,5c4a52763ae3e800239d7265,250,199.0,199,3,195.1,250,3,216.0
2019-01-25T00:00:00.000+00:00,150.0,150,150,250,5c4ba3ec3ae3e800239f1f35,150,150.0,150,3,185.2,150,1,150.0
2019-01-25T00:00:00.000+00:00,20.0,20,20,30,5c4ba3ec3ae3e800239f1f34,20,20.0,20,0,24.6,20,1,20.0
2019-01-26T00:00:00.000+00:00,175.0,200,100,250,5c4cf5963ae3e80023a0ed71,250,200.0,100,3,187.2,150,6,186.5
2019-01-27T00:00:00.000+00:00,135.0,170,100,250,5c4e471d3ae3e80024a57365,170,150.0,100,3,176.7,100,5,139.0
2019-01-27T00:00:00.000+00:00,24.0,24,20,25,5c4e471d3ae3e80024a57364,24,24.0,24,0,23.3,24,10,24.0
2019-01-28T00:00:00.000+00:00,187.5,200,100,250,5c4f98b63ae3e80023a45d58,200,200.0,175,3,174.4,200,3,191.667
2019-01-29T00:00:00.000+00:00,170.0,170,100,250,5c50ea0c3ae3e80024a8fd87,170,170.0,170,3,163.5,170,1,170.0
2019-01-30T00:00:00.000+00:00,200.0,200,100,200,5c523b753ae3e80023a7b238,200,200.0,200,3,173.5,200,1,200.0
2019-01-31T00:00:00.000+00:00,177.0,179,170,200,5c538d0b3ae3e80023a96283,180,179.0,174,3,173.9,174,3,177.667
2019-02-01T00:00:00.000+00:00,173.0,173,170,200,5c54deab3ae3e80024ae5da5,173,173.0,173,3,181.5,173,1,173.0
2019-02-02T00:00:00.000+00:00,167.0,190,144,200,5c5630353ae3e80023aced29,190,167.0,144,3,177.4,144,2,167.0
2019-02-03T00:00:00.000+00:00,130.0,130,130,190,5c57814d3ae3e80023aeba2a,130,130.0,130,3,169.4,130,1,130.0
