datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-09T00:00:00.000+00:00,200.0,200,200,250,5be61f87fb16660023139663,200,200.0,200,3,,200,1,200.0
2018-11-11T00:00:00.000+00:00,190.0,190,190,250,5be8c285fb1666002213c783,190,190.0,190,3,,190,1,190.0
2018-11-14T00:00:00.000+00:00,15.0,15,15,15,5becb7a1fb1666002217e335,15,15.0,15,0,,15,1,15.0
2018-11-15T00:00:00.000+00:00,294.0,294,190,294,5bee08dafb16660022193720,294,294.0,294,3,,294,1,294.0
2018-11-16T00:00:00.000+00:00,380.0,380,190,380,5bef5a9ffb166600231d8c13,380,380.0,380,3,262.8,380,1,380.0
2018-11-17T00:00:00.000+00:00,340.0,340,190,380,5bf0ac22fb166600231f0058,340,340.0,340,3,280.8,340,1,340.0
2018-11-19T00:00:00.000+00:00,295.0,295,294,380,5bf34f17fb166600221ef832,295,295.0,295,3,299.8,295,1,295.0
2018-11-25T00:00:00.000+00:00,300.0,300,295,380,5bfb37e1fb166600232a9431,300,300.0,300,3,321.8,300,2,300.0
2018-12-05T00:00:00.000+00:00,300.0,300,295,340,5c086684fb1666002235007e,300,300.0,300,3,323.0,300,1,300.0
2018-12-13T00:00:00.000+00:00,350.0,350,295,350,5c12f2863ae3e80023581755,350,350.0,350,3,317.0,350,1,350.0
2018-12-14T00:00:00.000+00:00,255.0,250,250,350,5c14449b3ae3e800245a8496,260,255.0,250,3,300.0,260,2,255.0
2018-12-16T00:00:00.000+00:00,300.0,300,250,350,5c16e7073ae3e800245d8e04,300,300.0,300,3,301.0,300,1,300.0
2018-12-17T00:00:00.000+00:00,250.0,250,250,350,5c1838ef3ae3e800235e67db,250,250.0,250,3,291.0,250,2,250.0
2018-12-19T00:00:00.000+00:00,300.0,250,250,350,5c1adb853ae3e8002462548c,350,300.0,250,3,291.0,300,3,300.0
2018-12-19T00:00:00.000+00:00,39.0,39,15,39,5c1adb853ae3e8002462548b,39,39.0,39,0,,39,1,39.0
2018-12-20T00:00:00.000+00:00,350.0,350,250,350,5c1c2d463ae3e80024640614,350,350.0,350,3,291.0,350,1,350.0
2018-12-23T00:00:00.000+00:00,350.0,350,250,350,5c20218a3ae3e8002367c074,350,350.0,350,3,310.0,350,1,350.0
2018-12-27T00:00:00.000+00:00,302.5,325,250,350,5c2568183ae3e800236e2ca4,325,302.5,280,3,310.5,280,2,302.5
2018-12-28T00:00:00.000+00:00,375.0,350,280,400,5c26b9063ae3e800236fb936,400,375.0,350,3,335.5,400,2,375.0
2018-12-29T00:00:00.000+00:00,20.0,20,15,39,5c280b1e3ae3e8002472cbc3,20,20.0,20,0,,20,1,20.0
2019-01-02T00:00:00.000+00:00,300.0,300,280,400,5c2d50aa3ae3e800247975d7,300,300.0,300,3,335.5,300,1,300.0
2019-01-06T00:00:00.000+00:00,300.0,300,280,400,5c3296a93ae3e8002480423f,300,300.0,300,3,325.5,300,1,300.0
2019-01-07T00:00:00.000+00:00,300.0,300,300,400,5c33e8913ae3e80024820a2b,300,300.0,300,3,315.5,300,1,300.0
2019-01-08T00:00:00.000+00:00,280.0,280,280,300,5c3539893ae3e8002381edb3,280,280.0,280,3,311.0,280,1,280.0
2019-01-08T00:00:00.000+00:00,45.0,45,15,45,5c3539893ae3e8002381edb2,45,45.0,45,0,,45,48,45.0
2019-01-09T00:00:00.000+00:00,340.0,340,280,340,5c368b6e3ae3e8002383ad3c,340,340.0,340,3,304.0,340,1,340.0
2019-01-12T00:00:00.000+00:00,287.5,300,275,340,5c3a80153ae3e8002388c173,300,287.5,275,3,301.5,275,2,287.5
2019-01-17T00:00:00.000+00:00,280.0,280,275,340,5c4117083ae3e80023911318,280,280.0,280,3,297.5,280,1,280.0
2019-01-18T00:00:00.000+00:00,300.0,300,275,340,5c4268863ae3e80024953cf9,300,300.0,300,3,297.5,300,1,300.0
2019-01-21T00:00:00.000+00:00,252.0,252,252,300,5c465d063ae3e8002398106c,252,252.0,252,3,291.9,252,1,252.0
2019-01-22T00:00:00.000+00:00,297.5,320,252,320,5c47aec03ae3e8002399da64,320,297.5,275,3,283.4,275,2,297.5
2019-01-22T00:00:00.000+00:00,40.0,40,20,45,5c47aec03ae3e8002399da63,40,40.0,40,0,31.8,40,1,40.0
2019-01-26T00:00:00.000+00:00,299.0,299,252,320,5c4cf4aa3ae3e80024a380ed,299,299.0,299,3,285.7,299,1,299.0
2019-01-27T00:00:00.000+00:00,254.0,254,252,320,5c4e46073ae3e80024a54a10,254,254.0,254,3,280.5,254,1,254.0
2019-01-30T00:00:00.000+00:00,260.0,320,200,320,5c523a893ae3e80023a79193,320,260.0,200,3,272.5,200,2,260.0
2019-02-02T00:00:00.000+00:00,270.0,250,200,320,5c562f953ae3e80023acd33d,290,270.0,250,3,276.1,290,2,270.0
