datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,299.5,319,280,400,5be37cfffb1666002310d22e,319,300.0,280,3,336.4,300,5,302.8
2018-11-07T00:00:00.000+00:00,27.5,30,25,40,5be37cfffb1666002310d22d,30,30.0,25,0,,25,12,27.917
2018-11-08T00:00:00.000+00:00,320.0,320,280,400,5be4ce32fb1666002312312e,320,320.0,320,3,331.4,320,1,320.0
2018-11-08T00:00:00.000+00:00,35.0,35,25,40,5be4ce32fb1666002312312d,35,35.0,35,0,33.0,35,2,35.0
2018-11-09T00:00:00.000+00:00,302.0,304,280,330,5be61f89fb16660023139690,304,302.0,300,3,321.8,300,2,302.0
2018-11-09T00:00:00.000+00:00,42.5,45,25,45,5be61f89fb1666002313968f,45,42.5,40,0,35.5,40,10,43.5
2018-11-10T00:00:00.000+00:00,309.5,300,280,320,5be77131fb16660023151138,319,309.5,300,3,312.2,319,2,309.5
2018-11-10T00:00:00.000+00:00,30.0,30,25,45,5be77131fb16660023151137,30,30.0,30,0,33.9,30,1,30.0
2018-11-11T00:00:00.000+00:00,329.5,360,299,360,5be8c286fb1666002213c7b0,360,349.0,299,3,312.1,299,3,336.0
2018-11-11T00:00:00.000+00:00,32.5,35,30,45,5be8c286fb1666002213c7af,35,32.5,30,0,33.5,30,2,32.5
2018-11-12T00:00:00.000+00:00,297.0,299,295,360,5bea1425fb1666002215218b,299,297.0,295,3,311.6,295,2,297.0
2018-11-12T00:00:00.000+00:00,32.0,32,30,45,5bea1425fb1666002215218a,32,32.0,32,0,34.4,32,1,32.0
2018-11-13T00:00:00.000+00:00,310.0,300,295,360,5beb658bfb166600221673d4,320,310.0,300,3,309.6,320,5,310.0
2018-11-13T00:00:00.000+00:00,34.0,34,30,35,5beb658bfb166600221673d3,34,34.0,34,0,34.2,34,3,34.0
2018-11-14T00:00:00.000+00:00,330.0,330,295,360,5becb7a1fb1666002217e35a,330,330.0,330,3,315.2,330,1,330.0
2018-11-15T00:00:00.000+00:00,261.0,261,261,330,5bee08dbfb1666002219374a,261,261.0,261,3,305.5,261,1,261.0
