datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,13.5,15,8,20,5be37d21fb166600220e92a2,19,15.0,8.0,14.0,15,13,14.154
2018-11-08T00:00:00.000+00:00,15.0,15,8,20,5be4ce70fb166600220fd3a3,18,15.0,12.0,14.0,12,10,14.7
2018-11-09T00:00:00.000+00:00,12.5,14,5,20,5be61fbefb166600221112ef,20,14.0,5.0,13.3,20,9,13.444
2018-11-10T00:00:00.000+00:00,13.5,14,5,20,5be7716bfb16660023151b1b,14,14.0,13.0,13.0,14,10,13.6
2018-11-11T00:00:00.000+00:00,13.5,15,5,20,5be8c2affb16660023167c28,15,14.0,12.0,13.6,15,11,14.0
2018-11-12T00:00:00.000+00:00,12.5,14,5,20,5bea147cfb1666002317edeb,15,15.0,10.0,13.4,12,15,14.133
2018-11-13T00:00:00.000+00:00,16.0,15,10,20,5beb65c6fb16660023194fe4,20,15.0,12.0,13.6,15,9,14.889
2018-11-14T00:00:00.000+00:00,11.0,10,7,20,5becb7c2fb166600231abb3a,15,12.0,7.0,13.3,7,13,11.846
2018-11-15T00:00:00.000+00:00,12.5,15,7,20,5bee0907fb166600231c1d7b,15,12.5,10.0,13.1,14,8,12.5
2018-11-16T00:00:00.000+00:00,14.0,15,7,20,5bef5acdfb166600221aa7c2,15,15.0,13.0,13.2,15,31,14.419
2018-11-17T00:00:00.000+00:00,13.0,15,6,20,5bf0ac50fb166600221c1ee0,20,15.0,6.0,13.3,10,39,13.718
2018-11-18T00:00:00.000+00:00,15.5,14,6,20,5bf1fd47fb166600221d86b1,19,15.0,12.0,13.2,19,41,15.195
2018-11-19T00:00:00.000+00:00,15.5,15,6,20,5bf34f41fb1666002321e761,17,15.0,14.0,14.1,14,15,14.733
2018-11-20T00:00:00.000+00:00,14.5,10,6,20,5bf4a0a2fb16660022206990,20,15.0,9.0,14.5,20,23,14.348
2018-11-21T00:00:00.000+00:00,15.0,12,9,20,5bf5f1e3fb1666002324bc4e,18,15.0,12.0,14.7,18,17,15.176
2018-11-22T00:00:00.000+00:00,14.5,15,9,20,5bf74337fb16660022232597,19,15.0,10.0,15.0,12,14,15.143
2018-11-23T00:00:00.000+00:00,14.5,18,9,20,5bf894ccfb16660022248dbd,19,14.0,10.0,14.8,14,13,14.615
2018-11-24T00:00:00.000+00:00,14.0,15,10,19,5bf9e64afb1666002225f4d9,18,15.0,10.0,14.5,17,22,13.955
2018-11-25T00:00:00.000+00:00,16.0,14,10,20,5bfb3811fb166600232a9bca,20,15.0,12.0,14.8,15,22,15.955
2018-11-26T00:00:00.000+00:00,15.0,18,10,20,5bfc8948fb1666002228b95f,20,15.0,10.0,14.8,20,20,15.1
2018-11-27T00:00:00.000+00:00,13.5,15,7,20,5bfddaaffb166600222a0e37,20,14.0,7.0,14.6,7,23,13.043
2018-11-28T00:00:00.000+00:00,12.5,14,7,20,5bff2c30fb166600232ef30a,17,15.0,8.0,14.2,8,10,14.4
2018-11-29T00:00:00.000+00:00,14.5,18,7,20,5c007e14fb16660023307759,20,15.0,9.0,14.3,15,15,15.6
