datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,97.5,90,70,115,5be37d29fb1666002310d8bb,105,100.0,90,95.5,100,9,97.222
2018-11-08T00:00:00.000+00:00,100.0,90,70,115,5be4ce81fb16660023123ce2,110,102.5,90,95.6,110,8,102.375
2018-11-09T00:00:00.000+00:00,97.5,100,75,120,5be61fc7fb16660023139d20,120,100.0,75,95.3,80,14,101.786
2018-11-10T00:00:00.000+00:00,84.5,79,69,120,5be7717bfb16660022127611,100,89.0,69,95.2,85,20,86.5
2018-11-11T00:00:00.000+00:00,90.0,90,69,120,5be8c2c5fb1666002213d0a5,110,90.0,70,93.9,70,23,89.783
2018-11-12T00:00:00.000+00:00,97.5,100,69,120,5bea14aefb16660022152f54,105,95.0,90,93.9,90,13,95.462
2018-11-13T00:00:00.000+00:00,99.0,110,69,110,5beb65ccfb16660022167a81,110,99.0,88,93.7,89,12,97.417
2018-11-14T00:00:00.000+00:00,90.0,80,70,110,5becb7d3fb1666002217e9ce,100,90.5,80,92.2,80,13,90.769
2018-11-15T00:00:00.000+00:00,95.0,99,80,110,5bee0910fb16660022193dd4,100,99.0,90,94.3,100,13,97.462
2018-11-16T00:00:00.000+00:00,99.0,109,80,110,5bef5ad2fb166600231d9301,109,99.0,89,96.1,95,16,98.5
2018-11-17T00:00:00.000+00:00,95.0,90,80,109,5bf0ac59fb166600231f077e,105,100.0,85,95.6,85,13,96.923
2018-11-18T00:00:00.000+00:00,96.5,99,85,109,5bf1fd6bfb166600221d8ac3,100,99.0,93,95.1,100,12,98.167
2018-11-19T00:00:00.000+00:00,97.5,80,75,120,5bf34f4afb166600221eff52,120,99.5,75,96.6,100,15,95.6
2018-11-20T00:00:00.000+00:00,99.5,100,75,120,5bf4a0a6fb16660023235228,100,100.0,99,97.5,100,10,99.8
2018-11-21T00:00:00.000+00:00,97.0,95,75,120,5bf5f1e6fb1666002221cbb0,105,97.5,89,97.1,105,11,97.636
2018-11-22T00:00:00.000+00:00,75.0,90,50,120,5bf7433afb16660023262b6f,100,100.0,50,93.1,100,11,88.636
2018-11-23T00:00:00.000+00:00,100.5,90,50,111,5bf894e4fb166600222491b7,111,100.0,90,93.9,100,15,99.2
2018-11-24T00:00:00.000+00:00,99.0,99,50,111,5bf9e663fb166600232912f3,100,99.0,98,94.2,99,9,99.0
2018-11-25T00:00:00.000+00:00,92.5,100,50,111,5bfb3830fb166600232aa063,100,90.0,85,92.8,90,11,93.182
2018-11-26T00:00:00.000+00:00,92.5,95,85,111,5bfc89a4fb166600232c1081,95,94.5,90,91.9,95,4,93.5
2018-11-27T00:00:00.000+00:00,92.0,89,85,100,5bfddab0fb166600232d79b3,95,94.0,89,95.3,94,3,92.667
2018-11-28T00:00:00.000+00:00,96.5,99,85,100,5bff2c47fb166600222b6525,99,95.0,94,94.5,95,6,96.833
2018-11-29T00:00:00.000+00:00,95.0,98,89,100,5c007e19fb166600222cc5bf,100,98.0,90,93.7,90,5,97.0
2018-11-30T00:00:00.000+00:00,97.5,99,89,100,5c01cf78fb166600222e14d0,100,100.0,95,94.7,100,14,97.429
2018-12-01T00:00:00.000+00:00,99.0,99,90,100,5c0320f9fb16660023336ab4,100,100.0,98,96.0,99,9,99.444
2018-12-02T00:00:00.000+00:00,95.0,92,85,105,5c0472a7fb1666002334e19c,105,99.0,85,96.6,98,15,96.867
2018-12-03T00:00:00.000+00:00,95.0,90,85,105,5c05c41dfb1666002232464c,100,94.0,90,96.3,100,5,94.6
2018-12-04T00:00:00.000+00:00,97.5,95,85,105,5c071535fb1666002337a0f9,100,97.5,95,96.8,95,8,97.5
2018-12-05T00:00:00.000+00:00,97.5,94,85,105,5c0866b1fb16660022350755,105,97.0,90,96.8,90,12,96.333
2018-12-06T00:00:00.000+00:00,94.0,90,80,108,5c09b8a43ae3e800234e3a21,108,100.0,80,95.8,80,5,95.6
2018-12-07T00:00:00.000+00:00,94.5,90,80,108,5c0b09dc3ae3e800234f9147,99,96.5,90,95.7,94,7,96.143
2018-12-08T00:00:00.000+00:00,100.0,90,80,110,5c0c5b413ae3e800245126a7,110,99.0,90,96.7,90,9,97.556
2018-12-09T00:00:00.000+00:00,95.0,90,80,110,5c0dacbe3ae3e800235266d0,100,90.0,90,96.2,100,10,93.7
2018-12-10T00:00:00.000+00:00,97.5,100,90,110,5c0efe363ae3e80024543692,105,100.0,90,96.2,105,10,100.3
2018-12-11T00:00:00.000+00:00,90.0,100,70,110,5c104fcd3ae3e80023554176,110,90.0,70,95.4,100,10,93.0
2018-12-12T00:00:00.000+00:00,102.5,99,70,120,5c11a1473ae3e80024574fba,120,100.0,85,97.0,120,12,100.417
2018-12-13T00:00:00.000+00:00,100.0,100,70,120,5c12f2c93ae3e80023582131,100,100.0,100,97.0,100,1,100.0
2018-12-14T00:00:00.000+00:00,104.0,109,70,120,5c1444e63ae3e800245a8cde,109,102.5,99,98.8,100,7,104.286
2018-12-15T00:00:00.000+00:00,100.0,100,85,120,5c1595c13ae3e800235b4b2f,110,100.0,90,99.3,100,10,100.6
2018-12-16T00:00:00.000+00:00,93.5,100,70,117,5c16e7423ae3e800245d9606,117,100.0,70,100.0,99,12,99.417
2018-12-17T00:00:00.000+00:00,99.5,90,70,117,5c18392c3ae3e800245f37b2,109,99.5,90,99.4,109,2,99.5
2018-12-18T00:00:00.000+00:00,95.5,100,70,117,5c198a903ae3e800235fe91c,115,100.0,76,98.5,100,7,98.571
2018-12-19T00:00:00.000+00:00,99.5,100,70,117,5c1adbbd3ae3e80024625c9c,100,100.0,99,97.6,100,6,99.833
2018-12-20T00:00:00.000+00:00,100.0,100,76,115,5c1c2d913ae3e80023630194,110,100.0,90,97.6,100,8,100.625
