datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-18T00:00:00.000+00:00,89.5,61,59,120,5c198b573ae3e8002460dee0,120,89.0,59,,65,330,87.83
2018-12-19T00:00:00.000+00:00,75.0,70,52,120,5c1adc153ae3e800246269db,98,75.0,52,,69,1156,75.915
2018-12-20T00:00:00.000+00:00,65.0,75,51,120,5c1c2e223ae3e80023631564,79,66.0,51,,65,978,66.456
2018-12-21T00:00:00.000+00:00,64.0,65,50,120,5c1d7fb43ae3e8002465b7f9,78,64.0,50,,65,808,63.175
2018-12-22T00:00:00.000+00:00,68.0,60,50,98,5c1ed11e3ae3e80023663f5f,79,68.0,57,72.3,69,646,67.184
2018-12-23T00:00:00.000+00:00,60.0,69,46,79,5c2022263ae3e8002468f3ce,74,60.0,46,66.4,70,713,61.387
2018-12-24T00:00:00.000+00:00,64.0,70,46,79,5c2173943ae3e800246a9835,75,64.0,53,64.2,65,570,63.102
2018-12-25T00:00:00.000+00:00,60.5,70,46,79,5c22c5883ae3e800246c3c12,74,60.0,47,63.3,55,535,59.768
2018-12-26T00:00:00.000+00:00,55.0,57,41,75,5c2416c13ae3e800246dd5c0,69,55.0,41,61.5,50,626,54.834
2018-12-27T00:00:00.000+00:00,54.0,49,41,75,5c2568ac3ae3e800236e4229,65,55.0,43,58.7,60,558,53.772
2018-12-28T00:00:00.000+00:00,55.0,45,41,74,5c26b99e3ae3e80024712376,69,55.0,41,57.7,59,549,54.321
2018-12-29T00:00:00.000+00:00,59.0,54,41,70,5c280bb73ae3e800237189cf,70,60.0,48,56.7,59,519,59.129
2018-12-30T00:00:00.000+00:00,55.0,52,41,70,5c295cbf3ae3e800237326f4,69,55.0,41,55.6,50,537,55.136
2018-12-31T00:00:00.000+00:00,50.0,49,40,70,5c2aae0e3ae3e80024763781,60,50.0,40,54.6,50,418,50.691
2019-01-01T00:00:00.000+00:00,55.5,50,40,70,5c2c00113ae3e8002477e142,69,55.0,42,54.9,50,412,55.495
2019-01-02T00:00:00.000+00:00,52.5,45,40,69,5c2d51ac3ae3e8002479983f,63,50.0,42,54.4,50,378,53.119
2019-01-03T00:00:00.000+00:00,50.0,55,40,69,5c2ea3393ae3e800247b4542,60,50.0,40,52.6,54,420,50.774
2019-01-04T00:00:00.000+00:00,49.0,48,38,69,5c2ff4b53ae3e800237b583d,60,49.0,38,51.4,44,429,48.855
2019-01-05T00:00:00.000+00:00,50.0,54,38,63,5c3145a13ae3e800237d0157,60,50.0,40,51.4,45,442,49.027
