datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,50.0,50,50,50,5be4cea0fb16660023124150,50,50.0,50,,50,1,50.0
2018-11-15T00:00:00.000+00:00,20.5,20,20,50,5bee095cfb16660022194593,21,20.5,20,,21,2,20.5
2018-11-16T00:00:00.000+00:00,20.0,20,20,50,5bef5b00fb166600221aadf3,20,20.0,20,,20,2,20.0
2018-11-17T00:00:00.000+00:00,20.0,20,20,50,5bf0ac83fb166600221c252e,20,20.0,20,,20,3,20.0
2018-11-21T00:00:00.000+00:00,30.0,30,20,30,5bf5f244fb1666002324c9be,30,30.0,30,28.1,30,4,30.0
2018-12-10T00:00:00.000+00:00,39.0,39,20,39,5c0efe5d3ae3e8002353d85b,39,39.0,39,25.9,39,1,39.0
2018-12-24T00:00:00.000+00:00,40.0,40,20,40,5c2173683ae3e80023697097,40,40.0,40,29.8,40,1,40.0
2018-12-31T00:00:00.000+00:00,35.0,35,30,40,5c2aade43ae3e8002374b747,35,35.0,35,32.8,35,2,35.0
2019-01-11T00:00:00.000+00:00,20.0,20,20,40,5c392f0b3ae3e8002488f70b,20,20.0,20,32.8,20,1,20.0
2019-01-20T00:00:00.000+00:00,30.0,25,20,40,5c450c223ae3e8002498fb6c,35,30.0,25,32.8,35,6,30.0
2019-01-31T00:00:00.000+00:00,4.0,3,3,35,5c538c913ae3e80024ac8840,5,5.0,3,25.8,5,12,4.667
2019-02-01T00:00:00.000+00:00,13.5,10,3,35,5c54de683ae3e80023ab151d,17,13.5,10,20.5,17,3,12.333
2019-02-02T00:00:00.000+00:00,6.5,8,3,35,5c5630003ae3e80024b015c1,8,6.5,5,14.8,5,13,5.231
2019-02-03T00:00:00.000+00:00,9.5,6,3,17,5c5780e63ae3e80024b1cbf6,13,10.0,6,12.7,13,8,11.375
