datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-24T00:00:00.000+00:00,10.0,10,10,10,5c21739a3ae3e800246a9939,10,10.0,10,,10,9,10.0
2018-12-27T00:00:00.000+00:00,11.0,8,8,14,5c2568b13ae3e800246f86d1,14,11.0,8,,14,2,11.0
2018-12-28T00:00:00.000+00:00,7.0,7,7,14,5c26b9a03ae3e800236fcf1a,7,7.0,7,,7,1,7.0
2018-12-29T00:00:00.000+00:00,7.5,8,7,14,5c280bba3ae3e8002472e1ce,8,7.5,7,,7,7,7.143
2018-12-31T00:00:00.000+00:00,5.0,5,5,14,5c2aae113ae3e8002374be91,5,5.0,5,8.1,5,2,5.0
2019-01-01T00:00:00.000+00:00,10.0,10,5,10,5c2c00113ae3e800237675cb,10,10.0,10,8.1,10,1,10.0
2019-01-16T00:00:00.000+00:00,3.0,3,3,10,5c3fc6183ae3e8002491cc62,3,3.0,3,6.5,3,12,3.0
2019-01-19T00:00:00.000+00:00,3.0,3,3,10,5c43bb083ae3e8002394c687,3,3.0,3,5.7,3,3,3.0
2019-01-22T00:00:00.000+00:00,2.0,2,2,10,5c47af9f3ae3e800249c9087,2,2.0,2,4.6,2,15,2.0
2019-01-25T00:00:00.000+00:00,2.0,2,2,3,5c4ba3e93ae3e80024a1ca20,2,2.0,2,4.0,2,4,2.0
2019-01-26T00:00:00.000+00:00,3.5,3,2,4,5c4cf5c03ae3e80024a3a61e,4,3.5,3,2.7,4,5,3.4
2019-01-27T00:00:00.000+00:00,2.0,2,2,4,5c4e47123ae3e80023a2ad77,2,2.0,2,2.5,2,5,2.0
2019-01-28T00:00:00.000+00:00,3.0,3,2,4,5c4f98a83ae3e80024a73612,3,3.0,3,2.5,3,4,3.0
2019-01-29T00:00:00.000+00:00,3.0,3,2,4,5c50ea0e3ae3e80024a8fdd8,3,3.0,3,2.7,3,1,3.0
