datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-24T00:00:00.000+00:00,5.0,5,5,5,5c21739a3ae3e800246a9940,5,5.0,5,,5,2,5.0
2018-12-29T00:00:00.000+00:00,5.0,5,5,5,5c280bba3ae3e8002472e1d6,5,5.0,5,,5,7,5.0
2019-01-02T00:00:00.000+00:00,3.0,3,3,5,5c2d51a73ae3e80023780bec,3,3.0,3,,3,3,3.0
2019-01-03T00:00:00.000+00:00,3.5,4,3,5,5c2ea3433ae3e8002379ac0c,4,3.5,3,,3,6,3.167
2019-01-08T00:00:00.000+00:00,2.0,2,2,5,5c353a343ae3e8002483ca1a,2,2.0,2,3.7,2,3,2.0
2019-01-14T00:00:00.000+00:00,3.0,3,2,4,5c3d23863ae3e800248e619b,3,3.0,3,3.3,3,8,3.0
2019-01-16T00:00:00.000+00:00,1.0,1,1,4,5c3fc6183ae3e8002491cc6a,1,1.0,1,2.5,1,2,1.0
2019-01-19T00:00:00.000+00:00,2.0,2,1,3,5c43bb083ae3e8002394c690,2,2.0,2,2.3,2,10,2.0
2019-01-25T00:00:00.000+00:00,3.0,3,1,3,5c4ba3e93ae3e80024a1ca27,3,3.0,3,2.2,3,6,3.0
2019-02-02T00:00:00.000+00:00,4.0,4,1,4,5c5630333ae3e80024b01d83,4,4.0,4,2.6,4,4,4.0
