datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,1.0,1,1,5,5be4cecdfb166600231247ea,1,1.0,1,,1,12,1.0
2018-11-10T00:00:00.000+00:00,2.0,2,1,5,5be771cbfb1666002212825c,2,2.0,2,3.2,2,2,2.0
2018-11-13T00:00:00.000+00:00,5.0,5,1,5,5beb6639fb16660023195b19,5,5.0,5,3.4,5,5,5.0
2018-11-14T00:00:00.000+00:00,2.5,2,1,5,5becb819fb166600231ac704,3,2.5,2,2.9,3,11,2.545
2018-11-15T00:00:00.000+00:00,2.0,2,2,5,5bee0999fb16660022194c5d,2,2.0,2,2.5,2,15,2.0
2018-11-16T00:00:00.000+00:00,3.0,3,2,5,5bef5b31fb166600221ab35f,3,3.0,3,2.9,3,6,3.0
2018-11-23T00:00:00.000+00:00,1.0,1,1,3,5bf89568fb1666002327a9ca,1,1.0,1,2.7,1,1,1.0
2018-11-25T00:00:00.000+00:00,4.0,4,1,4,5bfb386dfb166600232aa9d1,4,4.0,4,2.5,4,33,4.0
2018-11-27T00:00:00.000+00:00,3.0,3,1,4,5bfddaf2fb166600232d847a,3,3.0,3,2.6,3,5,3.0
2018-11-30T00:00:00.000+00:00,3.0,3,1,4,5c01cfd1fb1666002331fce6,3,3.0,3,2.8,3,20,3.0
2018-12-07T00:00:00.000+00:00,2.5,3,2,4,5c0b0a573ae3e800234fa1ee,3,3.0,2,2.7,2,10,2.9
2018-12-08T00:00:00.000+00:00,2.0,2,2,3,5c0c5b8e3ae3e80023510205,2,2.0,2,2.9,2,3,2.0
2018-12-10T00:00:00.000+00:00,5.0,5,2,5,5c0efe813ae3e8002353ddbf,5,5.0,5,3.1,5,19,5.0
2018-12-11T00:00:00.000+00:00,2.0,2,2,5,5c1050713ae3e8002355564d,2,2.0,2,2.9,2,2,2.0
2018-12-16T00:00:00.000+00:00,3.0,3,2,5,5c16e7963ae3e800235ced5b,3,3.0,3,2.9,3,2,3.0
2018-12-29T00:00:00.000+00:00,6.0,6,2,6,5c280bad3ae3e8002472e09b,6,6.0,6,3.6,6,1,6.0
2018-12-30T00:00:00.000+00:00,4.0,2,2,6,5c295cac3ae3e80023732446,6,6.0,2,4.0,6,19,3.895
2019-01-02T00:00:00.000+00:00,2.0,3,1,6,5c2d519f3ae3e80023780ab4,3,2.0,1,3.4,1,9,1.667
2019-01-07T00:00:00.000+00:00,1.0,1,1,6,5c33e90d3ae3e800238068a1,1,1.0,1,3.2,1,2,1.0
2019-01-11T00:00:00.000+00:00,3.0,3,1,6,5c392f3d3ae3e8002488fd6b,3,3.0,3,3.2,3,3,3.0
2019-01-25T00:00:00.000+00:00,1.0,1,1,3,5c4ba3dc3ae3e80024a1c8e6,1,1.0,1,2.2,1,6,1.0
2019-01-31T00:00:00.000+00:00,1.0,1,1,3,5c538cf83ae3e80024ac94dd,1,1.0,1,1.6,1,1,1.0
