datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-11T00:00:00.000+00:00,4.0,5,3,15,5be8c32dfb1666002213df6b,5,4.0,3,,3,21,4.905
2018-11-17T00:00:00.000+00:00,10.0,10,3,15,5bf0ac99fb166600221c27d2,10,10.0,10,,10,1,10.0
2018-11-19T00:00:00.000+00:00,10.0,10,3,15,5bf34f85fb1666002321f036,10,10.0,10,,10,5,10.0
2018-11-25T00:00:00.000+00:00,7.5,10,3,10,5bfb385cfb166600232aa709,10,7.5,5,9.3,5,7,9.286
2018-11-27T00:00:00.000+00:00,5.0,5,5,10,5bfddae2fb166600232d81cc,5,5.0,5,7.3,5,9,5.0
2018-11-30T00:00:00.000+00:00,15.0,15,5,15,5c01cfc8fb166600222e20d0,15,15.0,15,9.5,15,10,15.0
2018-12-04T00:00:00.000+00:00,18.0,18,5,18,5c07156efb1666002337a8e1,18,18.0,18,11.1,18,9,18.0
2018-12-06T00:00:00.000+00:00,5.0,5,5,18,5c09b8d93ae3e800244e4622,5,5.0,5,10.1,5,3,5.0
2018-12-10T00:00:00.000+00:00,10.0,10,5,18,5c0efe6e3ae3e8002353daeb,10,10.0,10,10.6,10,15,10.0
2018-12-11T00:00:00.000+00:00,9.5,10,5,18,5c1050343ae3e80023554f07,10,9.5,9,11.5,9,10,9.5
2018-12-12T00:00:00.000+00:00,10.0,10,5,10,5c11a18e3ae3e80024575b0e,10,10.0,10,10.5,10,5,10.0
2018-12-14T00:00:00.000+00:00,11.0,11,9,11,5c14451d3ae3e800245a9570,11,11.0,11,9.1,11,1,11.0
2018-12-16T00:00:00.000+00:00,8.0,8,8,11,5c16e7823ae3e800235cea55,8,8.0,8,9.7,8,50,8.0
2018-12-17T00:00:00.000+00:00,8.0,8,8,11,5c1839813ae3e800245f44cd,8,8.0,8,9.3,8,2,8.0
2018-12-20T00:00:00.000+00:00,13.0,13,8,13,5c1c2e063ae3e80024641e9b,13,13.0,13,10.0,13,10,13.0
2018-12-21T00:00:00.000+00:00,10.0,10,8,13,5c1d7f8e3ae3e8002465b2ee,10,10.0,10,10.0,10,3,10.0
2018-12-24T00:00:00.000+00:00,15.0,15,8,15,5c21737c3ae3e8002369738a,15,15.0,15,10.8,15,1,15.0
2018-12-26T00:00:00.000+00:00,8.0,8,8,15,5c24168e3ae3e800236c94e3,8,8.0,8,10.8,8,5,8.0
2018-12-29T00:00:00.000+00:00,12.5,14,8,15,5c280b923ae3e8002472dd69,14,12.5,11,11.7,11,21,13.857
2018-12-30T00:00:00.000+00:00,10.5,11,8,15,5c295c823ae3e80023731e79,12,11.0,9,11.2,12,26,11.615
2018-12-31T00:00:00.000+00:00,10.0,10,8,14,5c2aadf63ae3e8002374ba27,10,10.0,10,11.2,10,10,10.0
2019-01-04T00:00:00.000+00:00,11.0,11,9,14,5c2ff4933ae3e800247cf4ea,11,11.0,11,10.4,11,8,11.0
2019-01-11T00:00:00.000+00:00,14.0,14,9,15,5c392f243ae3e8002488fa26,15,14.0,13,11.6,13,19,13.579
2019-01-12T00:00:00.000+00:00,14.0,14,10,15,5c3a80a23ae3e800248aca23,14,14.0,14,11.9,14,1,14.0
2019-01-13T00:00:00.000+00:00,8.5,10,7,15,5c3bd1e23ae3e800248c90e0,10,8.5,7,11.5,7,7,9.143
2019-01-14T00:00:00.000+00:00,10.0,10,7,15,5c3d23583ae3e800238c2984,10,10.0,10,11.5,10,6,10.0
2019-01-15T00:00:00.000+00:00,8.0,8,7,14,5c3e747e3ae3e800238dccb6,8,8.0,8,10.9,8,3,8.0
2019-01-20T00:00:00.000+00:00,18.0,20,6,30,5c450c743ae3e800249903ed,30,20.0,6,11.7,30,28,10.929
2019-01-21T00:00:00.000+00:00,13.0,13,6,30,5c465da63ae3e80023982710,13,13.0,13,11.5,13,3,13.0
2019-01-24T00:00:00.000+00:00,5.5,7,4,30,5c4a52373ae3e800239d69ae,7,5.5,4,10.9,4,2,5.5
2019-01-25T00:00:00.000+00:00,10.0,7,4,30,5c4ba3ba3ae3e80024a1c580,13,10.0,7,10.9,13,11,10.273
2019-01-26T00:00:00.000+00:00,10.0,8,4,13,5c4cf57a3ae3e80023a0e90c,12,10.0,8,11.3,12,9,9.778
2019-01-28T00:00:00.000+00:00,9.5,10,4,13,5c4f988b3ae3e80023a456d2,10,9.5,9,9.6,9,7,9.714
2019-01-31T00:00:00.000+00:00,10.0,10,7,13,5c538ccc3ae3e80023a95927,10,10.0,10,9.0,10,1,10.0
2019-02-01T00:00:00.000+00:00,8.0,8,8,12,5c54de823ae3e80023ab18aa,8,8.0,8,9.5,8,4,8.0
2019-02-03T00:00:00.000+00:00,9.5,4,4,15,5c5781163ae3e80024b1d333,15,9.5,4,9.4,15,12,13.167
