datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-21T00:00:00.000+00:00,20.0,20,20,20,5c1d7fb63ae3e8002465b844,20,20.0,20,,20,2,20.0
2018-12-23T00:00:00.000+00:00,3.0,3,3,20,5c2022273ae3e8002468f425,3,3.0,3,,3,1,3.0
2018-12-24T00:00:00.000+00:00,12.5,15,3,20,5c2173953ae3e800246a988d,15,12.0,10,,10,10,12.4
2018-12-25T00:00:00.000+00:00,10.0,10,3,20,5c22c58a3ae3e800246c3c67,10,10.0,10,,10,5,10.0
2018-12-26T00:00:00.000+00:00,10.0,10,3,15,5c2416c33ae3e800246dd617,10,10.0,10,11.1,10,5,10.0
2018-12-27T00:00:00.000+00:00,8.0,8,8,15,5c2568af3ae3e800236e4281,8,8.0,8,8.7,8,6,8.0
2018-12-28T00:00:00.000+00:00,10.0,10,8,10,5c26b9a03ae3e800247123d4,10,10.0,10,10.1,10,4,10.0
2018-12-29T00:00:00.000+00:00,10.0,15,5,15,5c280bb93ae3e80023718a2c,15,6.0,5,9.6,5,7,7.143
2018-12-30T00:00:00.000+00:00,7.0,10,4,15,5c295cc23ae3e80023732750,10,7.0,4,9.0,4,7,5.714
2018-12-31T00:00:00.000+00:00,2.5,1,1,15,5c2aae0f3ae3e800247637da,4,4.0,1,7.5,4,17,3.118
2019-01-02T00:00:00.000+00:00,1.0,1,1,15,5c2d51b03ae3e80024799899,1,1.0,1,6.1,1,1,1.0
2019-01-03T00:00:00.000+00:00,7.5,10,1,10,5c2ea33c3ae3e800247b45a0,10,10.0,5,5.6,5,4,8.75
2019-01-06T00:00:00.000+00:00,5.0,5,1,10,5c3297a83ae3e800237ec9a7,5,5.0,5,4.6,5,2,5.0
2019-01-10T00:00:00.000+00:00,5.0,5,1,10,5c37dd9d3ae3e80023856c67,5,5.0,5,4.2,5,5,5.0
2019-01-11T00:00:00.000+00:00,5.0,5,5,10,5c392f453ae3e8002387209f,5,5.0,5,4.7,5,2,5.0
2019-02-03T00:00:00.000+00:00,3.5,3,3,5,5c5781473ae3e80023aeb98a,4,3.5,3,5.2,4,12,3.167
