datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,6.0,6,5,7,5be37d53fb1666002310dfa6,6,6.0,6,0,,6,1,6.0
2018-11-13T00:00:00.000+00:00,5.0,5,5,7,5beb660efb16660022168155,5,5.0,5,0,6.2,5,1,5.0
2018-11-14T00:00:00.000+00:00,4.0,4,4,7,5becb806fb166600231ac41e,4,4.0,4,0,5.6,4,1,4.0
2018-11-15T00:00:00.000+00:00,6.5,6,4,7,5bee097efb166600231c2b33,7,7.0,6,0,5.7,7,3,6.667
2018-11-16T00:00:00.000+00:00,4.0,4,4,7,5bef5b0cfb166600231d9a22,4,4.0,4,0,5.1,4,1,4.0
2018-11-17T00:00:00.000+00:00,4.0,4,4,7,5bf0ac92fb166600231f0e9e,4,4.0,4,0,4.7,4,1,4.0
2018-11-24T00:00:00.000+00:00,4.0,4,4,7,5bf9e6a4fb16660023291c65,4,4.0,4,0,4.5,4,2,4.0
2018-11-26T00:00:00.000+00:00,5.0,5,4,5,5bfc89c7fb1666002228ca88,5,5.0,5,0,4.7,5,1,5.0
2018-11-27T00:00:00.000+00:00,5.0,5,4,5,5bfddadbfb166600222a15b5,5,5.0,5,0,4.4,5,1,5.0
2018-11-28T00:00:00.000+00:00,5.0,5,4,5,5bff2c95fb166600232f0159,5,5.0,5,0,4.6,5,1,5.0
2018-11-29T00:00:00.000+00:00,8.0,8,5,8,5c007e41fb166600222ccc96,8,8.0,8,0,5.4,8,1,8.0
2018-12-01T00:00:00.000+00:00,4.5,4,4,8,5c032131fb1666002333720c,5,4.5,4,0,5.5,5,2,4.5
2018-12-02T00:00:00.000+00:00,4.0,4,4,8,5c0472cafb1666002230fa50,4,4.0,4,0,5.3,4,1,4.0
2018-12-07T00:00:00.000+00:00,10.0,10,10,10,5c0b0a333ae3e800244fb3dc,10,10.0,10,5,,10,1,10.0
2018-12-08T00:00:00.000+00:00,8.5,7,4,10,5c0c5b6f3ae3e80024512e0f,10,10.0,7,0,6.0,10,6,9.333
2018-12-09T00:00:00.000+00:00,9.0,8,4,10,5c0dacf03ae3e8002452b5c0,10,9.0,8,0,6.8,10,2,9.0
2018-12-11T00:00:00.000+00:00,10.0,10,4,10,5c1050303ae3e8002455d21a,10,10.0,10,0,7.2,10,2,10.0
2018-12-12T00:00:00.000+00:00,10.0,10,7,10,5c11a1753ae3e80024575728,10,10.0,10,0,8.3,10,2,10.0
2018-12-13T00:00:00.000+00:00,10.0,10,8,10,5c12f3183ae3e80023582e61,10,10.0,10,0,9.5,10,1,10.0
2018-12-16T00:00:00.000+00:00,9.0,9,9,10,5c16e7763ae3e800245d9dde,9,9.0,9,0,9.6,9,1,9.0
2018-12-17T00:00:00.000+00:00,9.0,9,9,10,5c1839773ae3e800235e7909,9,9.0,9,0,9.6,9,1,9.0
2018-12-18T00:00:00.000+00:00,9.0,9,9,10,5c198b293ae3e8002460d9e0,9,9.0,9,0,9.4,9,1,9.0
2018-12-19T00:00:00.000+00:00,9.0,9,9,9,5c1adbef3ae3e8002462649e,9,9.0,9,0,9.2,9,1,9.0
2018-12-20T00:00:00.000+00:00,9.0,9,8,10,5c1c2dfe3ae3e80023631040,10,9.0,8,0,9.0,10,6,9.333
2018-12-21T00:00:00.000+00:00,7.0,7,7,10,5c1d7f8f3ae3e8002364adac,7,7.0,7,0,8.6,7,1,7.0
2018-12-22T00:00:00.000+00:00,9.0,10,7,10,5c1ed0db3ae3e8002366359a,10,9.0,8,0,8.6,9,3,9.0
2018-12-23T00:00:00.000+00:00,8.5,10,7,10,5c2021ff3ae3e8002468ee5a,10,8.5,7,0,8.5,7,2,8.5
2018-12-25T00:00:00.000+00:00,13.0,13,10,13,5c22c5453ae3e800236b061e,13,13.0,13,5,,13,1,13.0
2018-12-26T00:00:00.000+00:00,10.0,10,7,10,5c2416743ae3e800236c90c7,10,10.0,10,0,8.7,10,1,10.0
2018-12-27T00:00:00.000+00:00,10.0,10,7,10,5c2568863ae3e800236e3cc5,10,10.0,10,0,8.9,10,2,10.0
2018-12-28T00:00:00.000+00:00,10.0,10,7,10,5c26b9783ae3e80024711def,10,10.0,10,0,9.5,10,1,10.0
2018-12-30T00:00:00.000+00:00,10.0,10,10,10,5c295c763ae3e800247483d1,10,10.0,10,0,9.7,10,1,10.0
2018-12-31T00:00:00.000+00:00,9.5,10,9,10,5c2aadec3ae3e80024763208,10,9.5,9,0,9.9,9,2,9.5
2019-01-01T00:00:00.000+00:00,10.0,10,9,10,5c2bffef3ae3e8002477dbdd,10,10.0,10,0,9.9,10,1,10.0
2019-01-02T00:00:00.000+00:00,10.0,10,9,10,5c2d51703ae3e8002378033d,10,10.0,10,0,9.9,10,2,10.0
2019-01-05T00:00:00.000+00:00,5.0,5,5,10,5c31457a3ae3e800237cfb96,5,5.0,5,0,8.9,5,2,5.0
2019-01-06T00:00:00.000+00:00,9.0,9,5,10,5c3297593ae3e800237ebe87,9,9.0,9,0,8.7,9,2,9.0
2019-01-07T00:00:00.000+00:00,7.0,7,5,10,5c33e8ef3ae3e80024821b04,7,7.0,7,0,8.2,7,1,7.0
2019-01-08T00:00:00.000+00:00,9.5,9,5,10,5c3539f23ae3e8002483c04b,10,9.5,9,0,8.1,10,3,9.667
2019-01-09T00:00:00.000+00:00,9.0,9,7,10,5c368c043ae3e80024857843,9,9.0,9,0,7.9,9,1,9.0
2019-01-10T00:00:00.000+00:00,8.5,8,7,10,5c37dd6c3ae3e800248735b4,9,8.5,8,0,8.6,9,3,8.667
