datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-11T00:00:00.000+00:00,25.0,25,20,25,5be8c334fb16660023168e81,25,25.0,25,23.3,25,1,25.0
2018-11-16T00:00:00.000+00:00,20.0,20,20,25,5bef5b1efb166600231d9c32,20,20.0,20,22.8,20,2,20.0
2018-11-22T00:00:00.000+00:00,30.0,30,20,30,5bf74378fb16660022232f59,30,30.0,30,24.0,30,1,30.0
2018-11-23T00:00:00.000+00:00,20.0,20,20,30,5bf8955dfb1666002224a287,20,20.0,20,24.0,20,2,20.0
2018-11-25T00:00:00.000+00:00,20.0,20,20,30,5bfb3864fb16660022276c37,20,20.0,20,23.0,20,1,20.0
2018-11-27T00:00:00.000+00:00,25.0,25,20,30,5bfddae6fb166600222a17b2,25,25.0,25,23.0,25,1,25.0
2018-12-01T00:00:00.000+00:00,30.0,30,20,30,5c032154fb166600233377ad,30,30.0,30,25.0,30,7,30.0
2018-12-05T00:00:00.000+00:00,40.0,40,20,40,5c086719fb1666002339077f,40,40.0,40,27.0,40,2,40.0
2018-12-10T00:00:00.000+00:00,30.0,30,25,40,5c0efe723ae3e8002454400e,30,30.0,30,29.0,30,4,30.0
2018-12-13T00:00:00.000+00:00,29.0,29,29,40,5c12f33e3ae3e8002358344a,29,29.0,29,30.8,29,1,29.0
2018-12-25T00:00:00.000+00:00,24.0,24,24,40,5c22c5733ae3e800246c38fd,24,24.0,24,30.6,24,12,24.0
2018-12-28T00:00:00.000+00:00,25.0,25,24,30,5c26b9873ae3e80024712039,25,25.0,25,29.6,25,2,25.0
2018-12-30T00:00:00.000+00:00,23.0,23,23,29,5c295c853ae3e80024748628,23,23.0,23,26.2,23,9,23.0
2019-01-01T00:00:00.000+00:00,25.0,25,23,25,5c2bfffd3ae3e8002477de1c,25,25.0,25,25.2,25,5,25.0
2019-01-05T00:00:00.000+00:00,25.0,25,23,25,5c31458a3ae3e800237cfe01,25,25.0,25,24.4,25,1,25.0
2019-01-10T00:00:00.000+00:00,20.0,20,20,25,5c37dd853ae3e8002385688e,20,20.0,20,23.6,20,3,20.0
2019-01-13T00:00:00.000+00:00,20.0,20,20,25,5c3bd1eb3ae3e800238a8905,20,20.0,20,22.6,20,1,20.0
2019-01-15T00:00:00.000+00:00,30.0,30,20,30,5c3e74823ae3e80024900cb1,30,30.0,30,24.0,30,10,30.0
2019-01-16T00:00:00.000+00:00,25.0,25,20,30,5c3fc5fe3ae3e800238f7e13,25,25.0,25,24.0,25,5,25.0
2019-01-20T00:00:00.000+00:00,18.0,16,16,30,5c450c6e3ae3e800239670c4,20,16.0,16,22.6,16,10,16.8
2019-01-22T00:00:00.000+00:00,18.0,18,16,30,5c47af823ae3e800249c8ce8,18,18.0,18,22.2,18,4,18.0
2019-01-23T00:00:00.000+00:00,10.0,10,10,25,5c49010f3ae3e800249e53ef,10,10.0,10,20.2,10,5,10.0
