datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,48.5,37,37,60,5be37d51fb166600220e9a08,60,50.0,37,49.4,46,27,48.111
2018-11-08T00:00:00.000+00:00,47.5,50,37,60,5be4cebafb16660023124450,55,50.0,40,49.2,49,19,50.421
2018-11-09T00:00:00.000+00:00,47.5,45,37,60,5be62004fb16660022111a71,55,49.5,40,48.9,45,16,47.625
2018-11-10T00:00:00.000+00:00,40.5,31,31,60,5be771b4fb16660022127ea9,50,45.0,31,46.5,43,25,43.84
2018-11-11T00:00:00.000+00:00,38.5,40,27,55,5be8c328fb1666002213de71,50,40.0,27,44.5,39,25,40.48
2018-11-12T00:00:00.000+00:00,38.5,29,27,55,5bea1504fb1666002317fb4c,50,40.5,27,42.5,30,24,40.375
2018-11-13T00:00:00.000+00:00,39.0,28,27,50,5beb6615fb1666002319577d,50,40.0,28,40.8,40,29,38.931
2018-11-14T00:00:00.000+00:00,39.5,44,27,50,5becb7fefb1666002217ef67,50,40.0,29,39.2,40,15,41.067
2018-11-15T00:00:00.000+00:00,39.5,40,27,50,5bee097dfb166600221948b0,41,40.0,38,39.0,41,19,39.842
2018-11-16T00:00:00.000+00:00,40.0,39,28,50,5bef5b0ffb166600221aaf9a,50,41.5,30,39.3,40,39,41.282
2018-11-17T00:00:00.000+00:00,38.0,45,26,50,5bf0ac92fb166600221c26cf,50,41.0,26,39.2,45,56,41.232
2018-11-18T00:00:00.000+00:00,40.0,30,26,50,5bf1fe11fb166600221d9e27,50,40.0,30,39.4,36,58,39.172
2018-11-19T00:00:00.000+00:00,42.5,40,26,50,5bf34f7ffb1666002321ef42,50,44.5,35,40.0,35,23,42.957
2018-11-20T00:00:00.000+00:00,42.5,40,26,50,5bf4a0d8fb1666002220713c,48,40.0,37,40.6,40,29,42.31
2018-11-21T00:00:00.000+00:00,39.0,30,30,50,5bf5f250fb1666002324cb61,48,39.0,30,40.4,40,23,37.478
2018-11-22T00:00:00.000+00:00,37.5,30,30,50,5bf7436ffb16660023263297,45,37.0,30,40.3,35,33,37.424
2018-11-23T00:00:00.000+00:00,40.0,35,30,50,5bf89551fb1666002327a61e,50,40.0,30,40.3,50,41,39.293
2018-11-24T00:00:00.000+00:00,47.0,50,30,59,5bf9e6b6fb16660023291f25,59,45.0,35,41.2,40,33,45.515
2018-11-25T00:00:00.000+00:00,42.5,44,30,59,5bfb3856fb166600232aa60c,50,44.0,35,41.2,45,20,43.35
2018-11-26T00:00:00.000+00:00,49.5,49,30,59,5bfc89c8fb166600232c162f,59,45.0,40,43.3,40,18,46.5
2018-11-27T00:00:00.000+00:00,40.0,39,30,59,5bfddadcfb166600232d80de,50,40.0,30,43.8,31,30,41.067
2018-11-28T00:00:00.000+00:00,47.5,40,30,59,5bff2c94fb166600222b7049,55,45.0,40,45.3,44,21,45.619
2018-11-29T00:00:00.000+00:00,47.5,40,30,59,5c007e44fb16660023307f12,59,45.0,36,45.4,42,25,45.44
2018-11-30T00:00:00.000+00:00,39.0,50,28,59,5c01cfc1fb166600222e1fd4,50,40.0,28,44.7,28,33,40.061
2018-12-01T00:00:00.000+00:00,45.5,38,28,59,5c032143fb166600233374c9,59,45.0,32,43.9,40,42,45.071
2018-12-02T00:00:00.000+00:00,42.5,40,28,59,5c0472cafb1666002334e756,50,44.0,35,44.4,50,42,43.619
2018-12-03T00:00:00.000+00:00,49.5,44,28,59,5c05c43efb16660022324be5,59,45.0,40,44.8,40,27,46.037
2018-12-04T00:00:00.000+00:00,50.0,54,32,59,5c071569fb1666002337a7ed,55,50.0,45,45.3,45,17,49.706
2018-12-05T00:00:00.000+00:00,44.5,50,31,59,5c086705fb166600233904b9,58,49.0,31,46.4,50,17,45.059
2018-12-06T00:00:00.000+00:00,45.5,45,31,59,5c09b8d43ae3e800244e452c,50,45.0,41,46.4,45,20,45.2
2018-12-07T00:00:00.000+00:00,42.0,50,30,58,5c0b0a383ae3e800234f9e26,54,45.0,30,46.3,43,22,43.682
2018-12-08T00:00:00.000+00:00,40.0,35,30,58,5c0c5b733ae3e8002350fe19,50,40.0,30,44.4,38,28,40.857
2018-12-09T00:00:00.000+00:00,43.0,35,30,55,5c0dad043ae3e8002452b89f,55,45.0,31,43.0,49,35,43.971
2018-12-10T00:00:00.000+00:00,49.0,49,30,55,5c0efe693ae3e8002353d9f8,50,49.5,48,43.9,49,12,49.25
2018-12-11T00:00:00.000+00:00,47.5,50,30,55,5c10502d3ae3e80023554e14,55,47.0,40,44.3,50,20,47.15
2018-12-12T00:00:00.000+00:00,50.0,40,31,60,5c11a1883ae3e80024575a09,60,50.0,40,45.9,50,17,48.294
2018-12-13T00:00:00.000+00:00,50.0,50,40,60,5c12f3283ae3e80023583146,60,50.0,40,47.9,50,24,51.708
2018-12-14T00:00:00.000+00:00,47.0,50,35,60,5c1445183ae3e800245a9480,59,45.0,35,48.7,45,25,45.44
