datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,48.0,36,36,64,5be37d1ffb166600220e923d,60,50.0,36,49.9,60,41,49.073
2018-11-08T00:00:00.000+00:00,50.0,45,36,64,5be4ce6efb166600220fd342,60,50.0,40,49.9,50,32,49.906
2018-11-09T00:00:00.000+00:00,45.0,53,35,64,5be61fbafb1666002211128d,55,45.0,35,48.9,40,33,43.606
2018-11-10T00:00:00.000+00:00,37.5,34,25,60,5be77169fb16660023151ab6,50,41.0,25,46.4,45,52,41.385
2018-11-11T00:00:00.000+00:00,45.0,44,25,60,5be8c2adfb16660023167bc6,55,45.0,35,45.1,45,54,44.389
2018-11-12T00:00:00.000+00:00,43.0,33,25,55,5bea1479fb1666002317ed8b,54,45.0,32,44.1,50,46,44.239
2018-11-13T00:00:00.000+00:00,45.0,35,25,60,5beb65c2fb16660023194f83,60,44.0,30,43.1,40,35,43.6
2018-11-14T00:00:00.000+00:00,47.5,49,30,60,5becb7befb166600231abad7,55,50.0,40,43.6,41,41,48.756
2018-11-15T00:00:00.000+00:00,50.0,55,30,60,5bee0903fb166600231c1d14,60,50.0,40,46.1,44,38,50.526
2018-11-16T00:00:00.000+00:00,46.0,33,30,60,5bef5acafb166600221aa75d,59,49.5,33,46.3,40,45,47.333
2018-11-17T00:00:00.000+00:00,48.0,38,33,60,5bf0ac4dfb166600221c1e77,58,50.0,38,47.3,40,63,48.079
2018-11-18T00:00:00.000+00:00,49.5,40,33,60,5bf1fd44fb166600221d864d,60,50.0,39,48.2,50,53,48.887
2018-11-19T00:00:00.000+00:00,50.0,49,33,60,5bf34f3ffb1666002321e700,60,50.0,40,48.7,50,53,50.868
2018-11-20T00:00:00.000+00:00,50.0,45,35,65,5bf4a09ffb16660022206932,65,50.0,35,48.7,38,43,49.744
2018-11-21T00:00:00.000+00:00,47.5,55,35,65,5bf5f1e1fb1666002324bbe6,60,50.0,35,49.0,54,43,50.674
2018-11-22T00:00:00.000+00:00,50.0,60,30,70,5bf74334fb1666002223252f,70,50.0,30,49.4,45,38,51.289
2018-11-23T00:00:00.000+00:00,55.0,60,30,70,5bf894cafb16660022248d59,65,55.0,45,50.5,50,27,55.963
2018-11-24T00:00:00.000+00:00,52.5,50,30,70,5bf9e648fb1666002225f470,65,50.0,40,51.0,50,39,54.026
2018-11-25T00:00:00.000+00:00,55.0,55,30,70,5bfb380ffb166600232a9b63,65,54.0,45,52.0,50,40,53.7
2018-11-26T00:00:00.000+00:00,57.0,50,40,69,5bfc8945fb1666002228b8f7,69,55.0,45,53.9,55,23,55.826
2018-11-27T00:00:00.000+00:00,59.5,60,40,70,5bfddaadfb166600222a0dd4,70,59.0,49,55.8,62,28,57.821
2018-11-28T00:00:00.000+00:00,57.5,50,40,75,5bff2c2dfb166600232ef2a6,75,55.0,40,56.3,65,35,58.514
2018-11-29T00:00:00.000+00:00,68.5,100,37,100,5c007e12fb166600233076fa,100,70.0,37,59.5,55,47,67.894
2018-11-30T00:00:00.000+00:00,67.5,75,37,100,5c01cf5ffb1666002331ed9b,95,70.0,40,62.0,50,54,68.5
2018-12-01T00:00:00.000+00:00,65.0,60,37,100,5c0320dffb166600222f7b5a,75,65.0,55,63.6,70,36,65.833
2018-12-02T00:00:00.000+00:00,70.0,70,37,100,5c047291fb1666002230f0de,80,70.0,60,65.7,63,43,69.279
2018-12-03T00:00:00.000+00:00,55.0,80,30,95,5c05c40bfb16660023364950,80,60.0,30,65.2,30,43,63.279
2018-12-04T00:00:00.000+00:00,70.0,75,30,80,5c07152efb166600223397df,80,70.0,60,65.5,70,19,70.368
2018-12-05T00:00:00.000+00:00,62.5,70,30,80,5c0866acfb1666002338f81e,80,70.0,45,64.5,60,34,68.294
2018-12-06T00:00:00.000+00:00,70.0,65,30,80,5c09b89c3ae3e800244e3cf4,80,70.0,60,65.5,70,20,69.25
2018-12-07T00:00:00.000+00:00,71.5,75,45,98,5c0b09ce3ae3e800244fa5c9,98,70.0,45,65.8,45,29,65.448
2018-12-08T00:00:00.000+00:00,70.0,55,45,98,5c0c5b3a3ae3e8002350f5ba,95,70.0,45,68.8,70,35,71.257
2018-12-09T00:00:00.000+00:00,65.0,65,45,98,5c0dacb93ae3e8002452ad25,75,65.0,55,67.8,60,34,64.353
2018-12-10T00:00:00.000+00:00,75.0,74,45,100,5c0efe2e3ae3e8002353d163,100,75.0,50,70.3,50,30,72.1
2018-12-11T00:00:00.000+00:00,70.0,75,45,100,5c104fb03ae3e80023553cca,80,70.0,60,70.3,70,25,70.08
2018-12-12T00:00:00.000+00:00,70.0,70,50,100,5c11a1403ae3e8002356b97a,90,70.0,50,70.0,70,29,71.172
2018-12-13T00:00:00.000+00:00,75.0,75,50,100,5c12f2af3ae3e8002458f61e,90,77.5,60,71.0,85,21,77.19
2018-12-14T00:00:00.000+00:00,75.0,75,50,90,5c1444df3ae3e8002359b5d8,89,75.0,61,73.0,70,32,76.188
2018-12-15T00:00:00.000+00:00,75.0,80,50,90,5c1595b83ae3e800245c0816,89,75.0,61,73.0,74,51,74.51
2018-12-16T00:00:00.000+00:00,84.5,74,60,99,5c16e7393ae3e800235ce04c,99,84.5,70,75.9,80,40,83.25
2018-12-17T00:00:00.000+00:00,75.0,80,60,99,5c18390e3ae3e800245f32c6,90,79.0,60,76.9,90,30,76.633
2018-12-18T00:00:00.000+00:00,77.5,93,50,105,5c198a683ae3e800235fe445,105,80.0,50,77.4,80,39,79.026
2018-12-19T00:00:00.000+00:00,77.0,60,50,105,5c1adbb43ae3e800236172b8,100,82.5,54,77.8,95,49,80.429
2018-12-20T00:00:00.000+00:00,67.5,49,35,105,5c1c2d703ae3e8002362fc80,100,77.5,35,76.3,89,34,73.647
2018-12-21T00:00:00.000+00:00,72.5,60,35,105,5c1d7f463ae3e8002364a2c9,100,78.0,45,73.9,45,37,72.432
2018-12-22T00:00:00.000+00:00,82.0,70,35,100,5c1ed0613ae3e80024674ad8,94,80.0,70,75.3,80,32,81.438
2018-12-23T00:00:00.000+00:00,79.5,80,35,100,5c2021c03ae3e8002468e515,94,80.0,65,75.7,75,53,79.755
2018-12-24T00:00:00.000+00:00,78.0,90,45,100,5c21733c3ae3e800246a89a2,100,85.5,56,75.9,100,45,82.911
2018-12-25T00:00:00.000+00:00,90.0,80,56,100,5c22c4d23ae3e800246c2425,100,90.0,80,80.4,95,34,89.706
2018-12-26T00:00:00.000+00:00,86.0,95,56,100,5c24163b3ae3e800236c877d,100,90.0,72,83.1,77,32,89.812
2018-12-27T00:00:00.000+00:00,77.5,60,55,100,5c2568463ae3e800246f7819,100,79.0,55,82.2,85,43,77.488
2018-12-28T00:00:00.000+00:00,74.5,80,50,100,5c26b93d3ae3e80024711483,99,77.0,50,81.2,60,53,73.377
2018-12-29T00:00:00.000+00:00,75.0,69,50,100,5c280b503ae3e80023717acc,100,79.5,50,80.6,85,54,78.481
