datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,4.5,5,3,5,5be37d0bfb166600220e8f9a,5,5.0,4,4.4,4,10,4.6
2018-11-08T00:00:00.000+00:00,4.0,4,3,5,5be4ce5ffb166600220fd0a2,5,5.0,3,4.3,3,12,4.5
2018-11-09T00:00:00.000+00:00,5.5,5,3,6,5be61fa4fb16660022110fe6,6,6.0,5,4.5,6,4,5.75
2018-11-10T00:00:00.000+00:00,6.5,5,3,10,5be7715bfb166600231517fd,10,5.0,3,5.0,10,7,5.286
2018-11-11T00:00:00.000+00:00,4.0,4,3,10,5be8c29cfb16660023167907,5,4.0,3,4.9,4,7,4.143
2018-11-12T00:00:00.000+00:00,4.0,5,3,10,5bea1465fb1666002317eae3,5,4.0,3,4.8,4,6,4.167
2018-11-13T00:00:00.000+00:00,4.0,3,3,10,5beb65a9fb16660023194cde,5,4.5,3,4.8,4,8,4.375
2018-11-14T00:00:00.000+00:00,6.0,8,3,8,5becb7a8fb166600231ab81b,8,4.0,4,4.9,4,4,5.0
2018-11-15T00:00:00.000+00:00,4.0,3,3,8,5bee08ebfb166600231c1a5f,5,3.0,3,4.4,3,4,3.5
2018-11-16T00:00:00.000+00:00,4.0,4,2,8,5bef5ab3fb166600221aa494,6,4.0,2,4.4,4,7,4.286
2018-11-17T00:00:00.000+00:00,3.5,2,2,8,5bf0ac34fb166600221c1bb0,5,4.0,2,4.3,4,12,3.917
2018-11-18T00:00:00.000+00:00,4.0,4,2,6,5bf1fd2bfb166600221d837a,6,4.0,2,4.3,5,15,4.133
2018-11-19T00:00:00.000+00:00,3.5,4,2,6,5bf34f29fb1666002321e438,4,3.0,3,3.8,4,5,3.4
2018-11-20T00:00:00.000+00:00,5.0,4,2,6,5bf4a08efb16660022206671,6,5.0,4,4.0,5,5,5.0
2018-11-21T00:00:00.000+00:00,6.5,5,2,10,5bf5f1cdfb1666002324b91b,10,5.0,3,4.5,5,12,5.5
2018-11-22T00:00:00.000+00:00,4.0,4,3,10,5bf7431efb16660022232263,5,4.0,3,4.6,4,9,4.222
2018-11-23T00:00:00.000+00:00,5.0,5,3,10,5bf894b8fb16660022248a93,6,5.0,4,4.8,5,7,5.0
2018-11-24T00:00:00.000+00:00,4.0,5,3,10,5bf9e635fb1666002225f198,5,4.5,3,4.9,4,10,4.3
2018-11-25T00:00:00.000+00:00,3.5,3,2,6,5bfb37fbfb166600232a988e,5,4.0,2,4.6,5,14,4.071
2018-11-26T00:00:00.000+00:00,4.5,4,2,6,5bfc8933fb1666002228b62d,5,5.0,4,4.2,4,9,4.667
2018-11-27T00:00:00.000+00:00,3.5,3,2,5,5bfdda9bfb166600222a0b0c,5,3.0,2,4.1,2,5,3.4
2018-11-28T00:00:00.000+00:00,3.5,5,2,5,5bff2c19fb166600232eeff0,5,4.0,2,3.8,4,8,3.75
2018-11-29T00:00:00.000+00:00,4.0,3,2,5,5c007e01fb16660023307442,5,4.5,3,3.8,4,4,4.25
2018-11-30T00:00:00.000+00:00,5.5,5,2,7,5c01cf4cfb1666002331eae1,7,5.0,4,4.2,5,13,5.0
2018-12-01T00:00:00.000+00:00,6.5,4,2,10,5c0320cbfb166600222f7886,10,5.0,3,4.6,5,14,5.071
2018-12-02T00:00:00.000+00:00,5.0,4,3,10,5c047280fb1666002230ee1c,6,5.0,4,4.9,5,22,5.0
2018-12-03T00:00:00.000+00:00,4.5,3,3,10,5c05c3f8fb16660023364694,6,5.0,3,5.1,4,6,4.833
2018-12-04T00:00:00.000+00:00,6.0,5,2,10,5c07151cfb16660022339526,10,5.0,2,5.5,4,13,5.308
2018-12-05T00:00:00.000+00:00,4.5,4,2,10,5c08669afb1666002338f55b,5,5.0,4,5.3,5,7,4.714
2018-12-06T00:00:00.000+00:00,6.0,8,2,10,5c09b88a3ae3e800244e3a22,8,6.0,4,5.2,4,7,6.286
2018-12-07T00:00:00.000+00:00,4.5,5,2,10,5c0b09be3ae3e800244fa2ef,5,5.0,4,5.1,5,4,4.75
2018-12-08T00:00:00.000+00:00,4.5,5,4,8,5c0c5b243ae3e8002350f2e3,5,5.0,4,5.1,4,7,4.714
2018-12-09T00:00:00.000+00:00,4.0,4,3,8,5c0daca43ae3e8002452aa3d,5,4.0,3,4.7,4,6,4.0
2018-12-10T00:00:00.000+00:00,4.0,5,3,5,5c0efe1c3ae3e8002353ce72,5,4.0,3,4.6,3,10,4.0
