datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,30.5,38,20,50,5be37d57fb1666002310e06c,40,35.0,21,33.7,39,15,33.8
2018-11-08T00:00:00.000+00:00,30.0,40,15,50,5be4cebdfb166600220fe004,45,32.0,15,32.9,32,16,32.25
2018-11-09T00:00:00.000+00:00,35.0,35,15,50,5be62006fb1666002313a4b0,40,35.0,30,33.9,35,7,34.714
2018-11-10T00:00:00.000+00:00,31.0,35,15,45,5be771b8fb166600231527bc,40,35.0,22,32.3,35,17,34.059
2018-11-11T00:00:00.000+00:00,34.5,37,15,45,5be8c321fb16660023168bd4,40,34.0,29,32.2,40,18,34.611
2018-11-12T00:00:00.000+00:00,34.0,40,22,40,5bea1514fb16660022153a88,40,33.0,28,32.9,39,19,33.421
2018-11-13T00:00:00.000+00:00,35.0,30,22,45,5beb6615fb1666002216821e,45,34.5,25,33.9,35,23,34.217
2018-11-14T00:00:00.000+00:00,32.0,25,20,45,5becb80bfb166600231ac4e9,44,35.0,20,33.3,35,15,33.267
2018-11-15T00:00:00.000+00:00,34.0,34,20,45,5bee0984fb166600231c2bfc,35,34.0,33,33.9,34,11,34.091
2018-11-16T00:00:00.000+00:00,30.0,33,20,45,5bef5b12fb166600231d9af3,40,30.0,20,33.0,35,23,30.0
2018-11-17T00:00:00.000+00:00,31.0,25,20,44,5bf0ac98fb166600231f0f6e,40,32.5,22,32.4,35,32,31.656
2018-11-18T00:00:00.000+00:00,35.0,30,20,40,5bf1fe02fb166600221d9c27,40,35.0,30,32.4,40,26,34.192
2018-11-19T00:00:00.000+00:00,31.5,33,20,40,5bf34f83fb166600221f0720,40,35.0,23,32.3,32,15,33.467
2018-11-20T00:00:00.000+00:00,37.5,35,22,45,5bf4a0d9fb166600232359db,45,36.0,30,33.0,31,15,36.867
2018-11-21T00:00:00.000+00:00,32.5,35,23,45,5bf5f25bfb1666002221db66,35,33.0,30,33.5,32,11,32.545
2018-11-22T00:00:00.000+00:00,30.0,20,20,45,5bf74370fb16660022232e1f,40,30.0,20,33.3,35,20,30.0
2018-11-23T00:00:00.000+00:00,35.5,36,20,45,5bf89556fb1666002224a14c,37,35.0,34,33.4,35,7,35.429
2018-11-24T00:00:00.000+00:00,34.0,35,20,40,5bf9e6a9fb16660023291d31,38,34.0,30,33.9,32,19,33.263
2018-11-25T00:00:00.000+00:00,35.0,28,20,45,5bfb385bfb16660022276b00,45,35.0,25,33.4,25,21,34.524
2018-11-26T00:00:00.000+00:00,37.0,35,25,45,5bfc89cbfb1666002228cb56,45,35.0,29,34.3,35,23,34.826
2018-11-27T00:00:00.000+00:00,29.0,29,18,45,5bfddadffb166600222a1687,40,30.0,18,34.1,35,16,30.625
2018-11-28T00:00:00.000+00:00,34.5,38,18,45,5bff2c99fb166600232f0229,39,35.0,30,33.9,35,16,34.312
2018-11-29T00:00:00.000+00:00,31.5,35,18,45,5c007e44fb166600222ccd59,35,35.0,28,33.4,29,12,33.083
2018-11-30T00:00:00.000+00:00,32.0,35,18,40,5c01cfb4fb166600222e1df6,35,33.0,29,32.8,34,20,32.4
2018-12-01T00:00:00.000+00:00,32.0,35,20,44,5c032135fb166600233372df,44,30.0,20,31.8,30,25,31.12
2018-12-02T00:00:00.000+00:00,35.0,30,20,45,5c0472cefb1666002230fb1c,45,35.0,25,33.0,33,33,35.121
2018-12-03T00:00:00.000+00:00,38.0,35,20,45,5c05c446fb1666002336535f,43,35.0,33,33.7,40,10,37.1
2018-12-04T00:00:00.000+00:00,36.5,30,20,45,5c071569fb1666002233a06b,43,34.5,30,34.7,39,15,35.267
2018-12-05T00:00:00.000+00:00,40.0,40,25,45,5c0866f7fb166600233902d9,45,40.0,35,36.3,35,14,39.5
2018-12-06T00:00:00.000+00:00,39.0,40,30,45,5c09b8d63ae3e800234e41d8,44,40.0,34,37.7,37,17,38.706
2018-12-07T00:00:00.000+00:00,40.0,40,30,45,5c0b0a383ae3e800244fb4b6,45,39.0,35,38.7,45,15,39.533
2018-12-08T00:00:00.000+00:00,35.0,40,25,45,5c0c5b743ae3e80024512eeb,45,38.0,25,38.1,35,13,35.923
2018-12-09T00:00:00.000+00:00,39.0,38,25,45,5c0dacf43ae3e8002452b69a,40,40.0,38,38.6,40,14,39.571
2018-12-10T00:00:00.000+00:00,39.0,38,25,45,5c0efe6a3ae3e80024543ece,40,40.0,38,38.4,40,20,39.6
2018-12-11T00:00:00.000+00:00,34.5,40,25,45,5c1050343ae3e8002455d2ec,44,39.0,25,37.5,40,18,36.056
2018-12-12T00:00:00.000+00:00,39.0,39,25,44,5c11a17a3ae3e800245757f9,44,39.5,34,37.3,35,16,38.438
2018-12-13T00:00:00.000+00:00,40.5,40,25,50,5c12f31c3ae3e80023582f38,50,40.0,31,38.4,39,17,40.647
2018-12-14T00:00:00.000+00:00,37.5,38,25,50,5c1445183ae3e8002359bf45,45,38.5,30,38.1,35,14,37.143
2018-12-15T00:00:00.000+00:00,40.0,35,30,50,5c1595f83ae3e800235b53ed,50,40.0,30,38.3,40,27,39.556
2018-12-16T00:00:00.000+00:00,40.0,35,30,50,5c16e77c3ae3e800245d9eba,50,40.0,30,39.4,50,33,39.576
2018-12-17T00:00:00.000+00:00,39.5,40,30,50,5c18397c3ae3e800235e79e1,40,40.0,39,39.5,40,8,39.875
2018-12-18T00:00:00.000+00:00,42.0,46,30,50,5c198b313ae3e8002460dabf,50,40.0,34,39.8,40,17,40.294
2018-12-19T00:00:00.000+00:00,42.5,50,30,50,5c1adbf53ae3e8002462658e,50,39.0,35,40.8,35,18,38.5
2018-12-20T00:00:00.000+00:00,35.0,30,25,50,5c1c2e033ae3e80023631126,45,36.5,25,39.8,45,24,35.708
2018-12-21T00:00:00.000+00:00,36.5,39,25,50,5c1d7f943ae3e8002364ae91,45,36.5,28,39.1,28,25,36.68
2018-12-22T00:00:00.000+00:00,39.5,39,25,50,5c1ed0e03ae3e8002366368a,41,40.0,38,39.1,40,18,39.5
2018-12-23T00:00:00.000+00:00,37.5,35,25,45,5c2022053ae3e8002468ef49,45,39.0,30,38.2,45,22,38.182
2018-12-24T00:00:00.000+00:00,40.0,40,28,50,5c2173753ae3e800246a93c7,50,40.0,30,37.7,45,29,41.31
