datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,5.0,5,3,5,5be771b0fb16660023152631,5,5.0,5,0,,5,1,5.0
2018-11-11T00:00:00.000+00:00,3.0,3,3,5,5be8c319fb16660023168a50,3,3.0,3,0,,3,1,3.0
2018-11-12T00:00:00.000+00:00,3.0,3,3,5,5bea1508fb166600221538f7,3,3.0,3,0,,3,1,3.0
2018-11-16T00:00:00.000+00:00,3.0,3,3,5,5bef5b06fb166600231d9958,3,3.0,3,0,3.4,3,1,3.0
2018-11-18T00:00:00.000+00:00,2.0,2,2,3,5bf1fdf6fb166600221d9a9f,2,2.0,2,0,3.2,2,1,2.0
2018-11-20T00:00:00.000+00:00,3.5,4,2,4,5bf4a0d1fb16660023235858,4,3.5,3,0,2.9,3,2,3.5
2018-11-21T00:00:00.000+00:00,3.0,3,2,4,5bf5f251fb1666002221d9d3,3,3.0,3,0,2.9,3,1,3.0
2018-11-23T00:00:00.000+00:00,4.0,4,2,4,5bf8954efb16660022249fc6,4,4.0,4,0,3.1,4,1,4.0
2018-11-25T00:00:00.000+00:00,1.0,1,1,4,5bfb3853fb16660022276970,1,1.0,1,0,2.7,1,1,1.0
2018-11-28T00:00:00.000+00:00,5.0,5,1,5,5bff2c90fb166600232f0099,5,5.0,5,0,3.3,5,1,5.0
2018-12-01T00:00:00.000+00:00,3.0,3,1,5,5c03212cfb16660023337152,3,3.0,3,0,3.2,3,1,3.0
2018-12-03T00:00:00.000+00:00,3.0,3,1,5,5c05c43dfb166600233651ce,3,3.0,3,0,3.2,3,2,3.0
2018-12-04T00:00:00.000+00:00,3.0,3,3,5,5c071560fb16660022339ee7,3,3.0,3,0,3.0,3,1,3.0
2018-12-05T00:00:00.000+00:00,4.0,4,3,4,5c0866eefb1666002339014f,4,4.0,4,0,3.6,4,1,4.0
2018-12-08T00:00:00.000+00:00,13.0,13,13,13,5c0c5b6b3ae3e80024512d3d,13,13.0,13,5,,13,1,13.0
2018-12-12T00:00:00.000+00:00,2.0,2,2,4,5c11a1713ae3e80024575654,2,2.0,2,0,3.0,2,1,2.0
2018-12-14T00:00:00.000+00:00,4.0,4,2,4,5c14450f3ae3e8002359bda0,4,4.0,4,0,3.2,4,1,4.0
2018-12-24T00:00:00.000+00:00,2.0,2,2,4,5c21736c3ae3e800246a9202,2,2.0,2,0,3.0,2,1,2.0
2018-12-25T00:00:00.000+00:00,5.0,5,2,5,5c22c53f3ae3e800236b053f,5,5.0,5,0,3.4,5,2,5.0
2018-12-30T00:00:00.000+00:00,2.0,2,2,5,5c295c703ae3e800247482f2,2,2.0,2,0,3.0,2,1,2.0
2019-01-05T00:00:00.000+00:00,4.0,4,2,5,5c3145733ae3e800237cfaa7,4,4.0,4,0,3.4,4,1,4.0
2019-01-06T00:00:00.000+00:00,3.0,3,2,5,5c3297523ae3e800237ebd9f,3,3.0,3,0,3.2,3,2,3.0
2019-01-07T00:00:00.000+00:00,15.0,15,13,15,5c33e8eb3ae3e80024821a1e,15,15.0,15,5,,15,1,15.0
2019-01-07T00:00:00.000+00:00,2.0,2,2,4,5c33e8eb3ae3e80024821a1d,2,2.0,2,0,3.2,2,1,2.0
2019-01-09T00:00:00.000+00:00,3.0,3,2,4,5c368bff3ae3e8002485775a,3,3.0,3,0,2.8,3,1,3.0
2019-01-11T00:00:00.000+00:00,3.0,3,2,3,5c392f103ae3e80023871989,3,3.0,3,0,3.0,3,1,3.0
2019-01-17T00:00:00.000+00:00,8.0,8,8,15,5c4117ee3ae3e80024939e56,8,8.0,8,5,,8,3,8.0
2019-01-19T00:00:00.000+00:00,7.0,7,7,15,5c43bac03ae3e8002394bc12,7,7.0,7,5,,7,1,7.0
2019-01-21T00:00:00.000+00:00,3.0,3,2,3,5c465d8f3ae3e800249ac50c,3,3.0,3,0,2.8,3,1,3.0
