datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,12.0,12,12,20,5be771c6fb16660022128168,12,12.0,12,3,,12,1,12.0
2018-11-11T00:00:00.000+00:00,20.0,20,12,20,5be8c339fb1666002213e143,20,20.0,20,3,,20,1,20.0
2018-11-13T00:00:00.000+00:00,11.5,10,10,15,5beb6631fb16660023195a2d,13,11.5,10,0,14.3,13,2,11.5
2018-11-17T00:00:00.000+00:00,12.5,13,12,20,5bf0aca9fb166600221c29ac,13,12.5,12,3,,12,2,12.5
2018-11-17T00:00:00.000+00:00,10.0,10,10,15,5bf0aca9fb166600221c29ab,10,10.0,10,0,13.3,10,1,10.0
2018-11-18T00:00:00.000+00:00,12.5,15,10,15,5bf1fe19fb1666002320865f,15,12.5,10,0,12.8,10,2,12.5
2018-11-19T00:00:00.000+00:00,12.5,10,10,15,5bf34f94fb1666002321f1ff,15,10.0,10,0,12.3,15,5,11.8
2018-11-20T00:00:00.000+00:00,14.5,14,10,15,5bf4a0eafb166600222073f1,15,15.0,14,0,12.2,15,3,14.667
2018-11-21T00:00:00.000+00:00,10.0,10,10,15,5bf5f26dfb1666002221dd38,10,10.0,10,0,11.9,10,1,10.0
2018-11-23T00:00:00.000+00:00,10.0,10,10,15,5bf89562fb1666002327a8dd,10,10.0,10,0,11.9,10,1,10.0
2018-11-24T00:00:00.000+00:00,15.0,15,10,15,5bf9e6d4fb166600232923c8,15,15.0,15,0,12.4,15,1,15.0
2018-11-26T00:00:00.000+00:00,15.0,15,10,15,5bfc89d8fb166600232c18e8,15,15.0,15,0,12.9,15,2,15.0
2018-11-29T00:00:00.000+00:00,14.5,15,10,15,5c007e54fb166600233081d9,15,14.5,14,0,12.9,14,2,14.5
2018-11-30T00:00:00.000+00:00,14.5,15,14,15,5c01cfcbfb1666002331fc07,15,14.5,14,0,13.8,14,2,14.5
2018-12-01T00:00:00.000+00:00,13.5,15,12,15,5c03215efb166600222f8d88,15,14.0,12,0,14.5,14,3,13.667
2018-12-02T00:00:00.000+00:00,13.5,12,12,15,5c0472dbfb1666002334ea22,15,13.0,12,0,14.2,13,3,13.333
2018-12-04T00:00:00.000+00:00,15.0,15,12,15,5c071579fb1666002337aaac,15,15.0,15,0,14.2,15,1,15.0
2018-12-07T00:00:00.000+00:00,20.0,20,12,20,5c0b0a4e3ae3e800234fa0ff,20,20.0,20,3,16.9,20,1,20.0
2018-12-07T00:00:00.000+00:00,14.5,14,12,15,5c0b0a4e3ae3e800234fa0fe,15,14.5,14,0,14.2,15,2,14.5
2018-12-09T00:00:00.000+00:00,13.5,15,12,15,5c0dad283ae3e8002452bd85,15,15.0,12,0,14.0,12,4,14.25
2018-12-12T00:00:00.000+00:00,10.0,10,10,20,5c11a1bb3ae3e8002356ca78,10,10.0,10,3,14.9,10,1,10.0
2018-12-12T00:00:00.000+00:00,14.0,14,12,15,5c11a1bb3ae3e8002356ca77,14,14.0,14,0,14.1,14,1,14.0
2018-12-14T00:00:00.000+00:00,15.0,15,12,15,5c14452b3ae3e800245a9765,15,15.0,15,0,14.4,15,2,15.0
2018-12-15T00:00:00.000+00:00,13.0,13,12,15,5c15961b3ae3e800245c163c,13,13.0,13,0,14.0,13,1,13.0
