datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,15.0,15,15,15,5be37cf6fb166600220e8cee,15,15.0,15,5,,15,1,15.0
2018-11-12T00:00:00.000+00:00,7.0,7,7,7,5bea1405fb1666002317e1b8,7,7.0,7,0,,7,1,7.0
2018-11-13T00:00:00.000+00:00,15.0,15,15,15,5beb6586fb16660023194a29,15,15.0,15,5,,15,1,15.0
2018-11-14T00:00:00.000+00:00,5.0,5,5,7,5becb787fb166600231ab4db,5,5.0,5,0,,5,1,5.0
2018-11-15T00:00:00.000+00:00,5.0,5,5,7,5bee08d6fb166600231c1792,5,5.0,5,0,,5,1,5.0
2018-11-24T00:00:00.000+00:00,5.0,5,5,15,5bf9e603fb1666002225eb60,5,5.0,5,5,,5,1,5.0
2018-11-27T00:00:00.000+00:00,5.0,5,5,7,5bfdda84fb166600222a0850,5,5.0,5,0,,5,1,5.0
2018-12-02T00:00:00.000+00:00,2.0,2,2,5,5c04726ffb1666002230eb5c,2,2.0,2,0,4.8,2,1,2.0
2018-12-17T00:00:00.000+00:00,2.0,2,2,5,5c1838e13ae3e800245f2c90,2,2.0,2,0,3.8,2,1,2.0
2018-12-19T00:00:00.000+00:00,10.0,10,5,15,5c1adb843ae3e80023616c58,10,10.0,10,5,,10,2,10.0
2018-12-21T00:00:00.000+00:00,8.5,7,5,15,5c1d7f0b3ae3e80024659f53,10,8.5,7,5,10.7,10,2,8.5
2018-12-21T00:00:00.000+00:00,1.5,1,1,5,5c1d7f0b3ae3e80024659f52,2,1.5,1,0,3.1,2,4,1.75
2018-12-29T00:00:00.000+00:00,3.0,3,1,3,5c280b1d3ae3e80023717442,3,3.0,3,0,2.7,3,1,3.0
2018-12-30T00:00:00.000+00:00,1.0,1,1,3,5c295c063ae3e80023730d1c,1,1.0,1,0,1.9,1,1,1.0
2018-12-31T00:00:00.000+00:00,10.0,10,5,10,5c2aad873ae3e80024762215,10,10.0,10,5,9.7,10,1,10.0
2019-01-01T00:00:00.000+00:00,10.0,10,7,10,5c2bff603ae3e80023765b4b,10,10.0,10,5,8.7,10,1,10.0
2019-01-02T00:00:00.000+00:00,2.0,2,1,3,5c2d50883ae3e8002377e5ce,2,2.0,2,0,1.9,2,1,2.0
2019-01-04T00:00:00.000+00:00,3.0,3,1,3,5c2ff3fe3ae3e800237b3ebc,3,3.0,3,0,2.1,3,1,3.0
2019-01-05T00:00:00.000+00:00,15.0,15,7,15,5c3145073ae3e800247e8812,15,15.0,15,5,10.7,15,1,15.0
2019-01-05T00:00:00.000+00:00,2.0,3,1,3,5c3145073ae3e800247e8811,3,1.0,1,0,2.2,1,4,1.5
2019-01-06T00:00:00.000+00:00,15.0,15,10,15,5c3296873ae3e80024803e76,15,15.0,15,5,11.7,15,1,15.0
2019-01-08T00:00:00.000+00:00,1.0,1,1,3,5c3539883ae3e8002483afed,1,1.0,1,0,1.8,1,1,1.0
2019-01-13T00:00:00.000+00:00,15.0,15,10,15,5c3bd1063ae3e800248c716a,15,15.0,15,5,13.0,15,1,15.0
2019-01-20T00:00:00.000+00:00,9999.0,9999,15,9999,5c450b873ae3e800239652b9,9999,9999.0,9999,5,2010.8,9999,34,9999.0
2019-01-21T00:00:00.000+00:00,18.0,18,15,9999,5c465d053ae3e800249ab27e,18,18.0,18,5,2012.4,18,1,18.0
2019-01-23T00:00:00.000+00:00,15.0,15,15,9999,5c49009a3ae3e800239ba610,15,15.0,15,5,2012.4,15,1,15.0
2019-01-24T00:00:00.000+00:00,5.0,5,1,5,5c4a51853ae3e800249fee1b,5,5.0,5,0,2.6,5,1,5.0
2019-01-25T00:00:00.000+00:00,2.0,3,1,5,5c4ba3053ae3e80024a1b35b,3,2.0,1,0,2.6,1,2,2.0
2019-01-26T00:00:00.000+00:00,1.0,1,1,5,5c4cf4863ae3e80024a37cf7,1,1.0,1,0,2.2,1,1,1.0
2019-01-27T00:00:00.000+00:00,3.0,3,3,9999,5c4e46073ae3e80023a287f6,3,3.0,3,5,2010.0,3,1,3.0
2019-01-30T00:00:00.000+00:00,25.0,25,3,25,5c523a893ae3e80024aaa136,25,25.0,25,5,2012.0,25,1,25.0
2019-01-31T00:00:00.000+00:00,10.0,10,3,25,5c538c093ae3e80023a93ba9,10,10.0,10,5,14.2,10,1,10.0
2019-02-01T00:00:00.000+00:00,1.0,1,1,5,5c54ddaf3ae3e80024ae366e,1,1.0,1,0,2.0,1,1,1.0
2019-02-02T00:00:00.000+00:00,2.0,2,1,3,5c562f6e3ae3e80024b00237,2,2.0,2,0,2.2,2,1,2.0
