datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-09T00:00:00.000+00:00,3.5,4,2,4,5be61f98fb166600231397de,4,3.5,3,0,,3,2,3.5
2018-11-10T00:00:00.000+00:00,20.0,20,20,20,5be77138fb1666002315128e,20,20.0,20,5,,20,1,20.0
2018-11-10T00:00:00.000+00:00,4.0,4,2,4,5be77138fb1666002315128d,4,4.0,4,0,3.7,4,1,4.0
2018-11-12T00:00:00.000+00:00,2.0,2,2,4,5bea1431fb166600221522e5,2,2.0,2,0,3.3,2,1,2.0
2018-11-16T00:00:00.000+00:00,3.5,3,2,4,5bef5aa9fb166600231d8d9f,4,3.5,3,0,3.4,4,2,3.5
2018-11-20T00:00:00.000+00:00,4.0,4,2,4,5bf4a086fb16660023234cb6,4,4.0,4,0,3.4,4,1,4.0
2018-11-21T00:00:00.000+00:00,3.0,3,2,4,5bf5f1affb1666002221c3d5,3,3.0,3,0,3.3,3,1,3.0
2018-11-25T00:00:00.000+00:00,2.0,2,2,4,5bfb37eafb166600232a95bc,2,2.0,2,0,2.9,2,1,2.0
2018-11-27T00:00:00.000+00:00,4.0,3,2,5,5bfdda8ffb166600232d7448,5,4.0,3,0,3.3,5,2,4.0
2018-11-28T00:00:00.000+00:00,4.0,4,2,5,5bff2c10fb166600222b5db5,4,4.0,4,0,3.4,4,2,4.0
2018-11-30T00:00:00.000+00:00,4.0,4,2,5,5c01cf2ffb166600222e0b06,4,4.0,4,0,3.4,4,1,4.0
2018-12-01T00:00:00.000+00:00,4.0,4,3,5,5c0320c3fb16660023336307,4,4.0,4,0,3.6,4,1,4.0
2018-12-02T00:00:00.000+00:00,3.0,3,3,4,5c047289fb1666002334dc24,3,3.0,3,0,3.8,3,1,3.0
2018-12-03T00:00:00.000+00:00,3.5,4,3,4,5c05c3fdfb16660022324101,4,3.5,3,0,3.7,3,2,3.5
2018-12-04T00:00:00.000+00:00,3.0,3,3,4,5c071511fb16660023379bc1,3,3.0,3,0,3.5,3,1,3.0
2018-12-06T00:00:00.000+00:00,3.0,3,3,4,5c09b8843ae3e800234e34d2,3,3.0,3,0,3.3,3,1,3.0
2018-12-07T00:00:00.000+00:00,3.0,3,3,4,5c0b09943ae3e800244f9c8c,3,3.0,3,0,3.1,3,1,3.0
2018-12-08T00:00:00.000+00:00,3.0,3,3,3,5c0c5b1b3ae3e80024512100,3,3.0,3,0,3.1,3,1,3.0
2018-12-09T00:00:00.000+00:00,4.0,4,3,4,5c0dac983ae3e800235260e3,4,4.0,4,0,3.2,4,1,4.0
2018-12-11T00:00:00.000+00:00,2.0,2,2,4,5c104f913ae3e8002455bce0,2,2.0,2,0,3.0,2,1,2.0
2018-12-14T00:00:00.000+00:00,3.0,3,2,4,5c1444a53ae3e800245a864d,3,3.0,3,0,3.0,3,1,3.0
2018-12-18T00:00:00.000+00:00,3.0,3,2,4,5c198a3b3ae3e8002460c128,3,3.0,3,0,3.0,3,1,3.0
2018-12-19T00:00:00.000+00:00,3.5,4,2,4,5c1adb933ae3e8002462565d,4,3.0,3,0,3.1,3,4,3.25
2018-12-20T00:00:00.000+00:00,3.5,3,3,4,5c1c2d503ae3e800246407e0,4,3.5,3,0,3.0,4,2,3.5
2018-12-21T00:00:00.000+00:00,4.0,4,3,4,5c1d7f303ae3e8002465a4db,4,4.0,4,0,3.4,4,4,4.0
2018-12-22T00:00:00.000+00:00,4.5,5,3,5,5c1ed0363ae3e80024674456,5,4.5,4,0,3.7,4,2,4.5
2018-12-23T00:00:00.000+00:00,3.0,3,3,5,5c20219d3ae3e8002367c246,3,3.0,3,0,3.7,3,1,3.0
2018-12-25T00:00:00.000+00:00,15.0,15,15,20,5c22c4953ae3e800236aef22,15,15.0,15,5,,15,1,15.0
2018-12-25T00:00:00.000+00:00,3.5,3,3,5,5c22c4953ae3e800236aef21,4,3.5,3,0,3.7,4,2,3.5
2018-12-26T00:00:00.000+00:00,3.5,3,3,5,5c2416183ae3e800246dbe8a,4,3.5,3,0,3.7,4,5,3.4
2018-12-27T00:00:00.000+00:00,15.0,15,15,20,5c2568223ae3e800236e2e82,15,15.0,15,5,,15,1,15.0
2018-12-27T00:00:00.000+00:00,3.5,4,3,4,5c2568223ae3e800236e2e81,4,4.0,3,0,3.6,4,4,3.75
2018-12-28T00:00:00.000+00:00,4.0,4,3,4,5c26b9133ae3e800236fbb1d,4,4.0,4,0,3.5,4,1,4.0
2018-12-29T00:00:00.000+00:00,4.0,4,3,4,5c280b283ae3e8002472cd9f,4,4.0,4,0,3.7,4,1,4.0
2018-12-30T00:00:00.000+00:00,3.0,3,3,4,5c295c163ae3e8002474753a,3,3.0,3,0,3.6,3,1,3.0
2018-12-31T00:00:00.000+00:00,3.5,3,3,4,5c2aad963ae3e8002374aa76,4,3.5,3,0,3.6,4,2,3.5
2019-01-01T00:00:00.000+00:00,3.5,3,3,4,5c2bff793ae3e8002477cb5c,4,3.5,3,0,3.6,4,3,3.333
2019-01-02T00:00:00.000+00:00,24.0,24,15,24,5c2d50b53ae3e800247977b0,24,24.0,24,5,,24,1,24.0
2019-01-02T00:00:00.000+00:00,4.0,4,3,4,5c2d50b53ae3e800247977af,4,4.0,4,0,3.6,4,3,4.0
2019-01-03T00:00:00.000+00:00,5.0,3,3,7,5c2ea2503ae3e800247b28ee,7,5.0,3,0,3.8,7,2,5.0
2019-01-04T00:00:00.000+00:00,2.5,3,2,7,5c2ff4143ae3e800247ce319,3,2.5,2,0,3.7,2,2,2.5
2019-01-06T00:00:00.000+00:00,2.5,2,2,7,5c3296b23ae3e8002480443c,3,2.5,2,0,3.5,3,2,2.5
2019-01-07T00:00:00.000+00:00,3.0,3,2,7,5c33e89b3ae3e80024820c15,3,3.0,3,0,3.4,3,2,3.0
2019-01-10T00:00:00.000+00:00,5.0,5,2,5,5c37dcad3ae3e80023854873,5,5.0,5,0,3.6,5,1,5.0
