datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,2.0,2,2,2,5be4ce29fb16660023122f91,2,2.0,2,0,,2,2,2.0
2018-11-13T00:00:00.000+00:00,2.0,2,2,2,5beb659dfb16660023194bd8,2,2.0,2,0,,2,1,2.0
2018-11-16T00:00:00.000+00:00,2.5,3,2,3,5bef5aa8fb166600221aa373,3,2.0,2,0,,2,3,2.333
2018-11-20T00:00:00.000+00:00,5.0,5,2,5,5bf4a086fb1666002220655e,5,5.0,5,0,,5,1,5.0
2018-11-27T00:00:00.000+00:00,5.0,5,5,5,5bfdda91fb166600222a09fb,5,5.0,5,3,,5,1,5.0
2018-12-10T00:00:00.000+00:00,4.0,4,2,5,5c0efe143ae3e8002353cd5b,4,4.0,4,0,3.1,4,1,4.0
2018-12-18T00:00:00.000+00:00,3.0,3,2,5,5c198a1f3ae3e8002460bdba,3,3.0,3,0,3.3,3,1,3.0
2018-12-31T00:00:00.000+00:00,2.0,2,2,5,5c2aad983ae3e80024762415,2,2.0,2,0,3.3,2,1,2.0
2019-01-01T00:00:00.000+00:00,2.0,2,2,4,5c2bff6c3ae3e80023765d4d,2,2.0,2,0,3.2,2,1,2.0
2019-01-05T00:00:00.000+00:00,2.0,2,2,3,5c31451a3ae3e800247e8a33,2,2.0,2,0,2.6,2,1,2.0
2019-01-10T00:00:00.000+00:00,3.0,3,2,3,5c37dc983ae3e800238544cb,3,3.0,3,0,2.4,3,1,3.0
2019-01-11T00:00:00.000+00:00,3.0,3,2,3,5c392eaf3ae3e8002488ea59,3,3.0,3,0,2.4,3,1,3.0
2019-01-28T00:00:00.000+00:00,17.0,17,5,17,5c4f98163ae3e80023a4448c,17,17.0,17,3,,17,1,17.0
2019-01-28T00:00:00.000+00:00,2.0,2,2,3,5c4f98163ae3e80023a4448b,2,2.0,2,0,2.4,2,1,2.0
2019-02-02T00:00:00.000+00:00,3.0,3,2,3,5c562f7b3ae3e80024b0047c,3,3.0,3,0,2.6,3,1,3.0
