datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,35.0,35,22,35,5be37d6bfb166600220e9e40,35,35.0,35,5,29.1,35,1,35.0
2018-11-07T00:00:00.000+00:00,25.0,20,20,30,5be37d6bfb166600220e9e3f,30,25.0,20,0,25.4,25,19,24.842
2018-11-08T00:00:00.000+00:00,30.0,30,22,35,5be4ced0fb16660023124862,30,30.0,30,5,29.7,30,2,30.0
2018-11-08T00:00:00.000+00:00,26.5,25,20,30,5be4ced0fb16660023124861,30,28.0,23,0,25.7,24,14,26.571
2018-11-09T00:00:00.000+00:00,25.0,30,20,35,5be62024fb16660022111ea2,30,25.0,20,5,28.7,20,2,25.0
2018-11-09T00:00:00.000+00:00,23.5,24,17,30,5be62024fb16660022111ea1,30,25.0,17,0,25.6,25,21,25.857
2018-11-10T00:00:00.000+00:00,30.0,30,20,35,5be771cffb166600221282e7,30,30.0,30,5,30.0,30,1,30.0
2018-11-10T00:00:00.000+00:00,22.5,29,15,30,5be771cffb166600221282e6,30,25.0,15,0,24.7,30,29,24.379
2018-11-11T00:00:00.000+00:00,27.5,35,20,35,5be8c343fb1666002213e2b3,35,27.5,20,5,29.5,20,2,27.5
2018-11-11T00:00:00.000+00:00,25.0,25,15,30,5be8c343fb1666002213e2b2,30,25.0,20,0,24.5,30,33,25.242
2018-11-12T00:00:00.000+00:00,27.5,20,20,35,5bea1527fb16660022153d1a,35,27.5,20,5,28.0,35,2,27.5
2018-11-12T00:00:00.000+00:00,27.5,30,15,30,5bea1527fb16660022153d19,30,27.0,25,0,25.0,27,17,27.0
2018-11-13T00:00:00.000+00:00,27.5,30,20,35,5beb663ffb16660023195b97,30,28.0,25,5,27.5,28,4,27.75
2018-11-13T00:00:00.000+00:00,25.0,27,15,30,5beb663ffb16660023195b96,30,27.0,20,0,24.7,25,14,25.214
2018-11-14T00:00:00.000+00:00,36.5,34,20,40,5becb81dfb166600231ac782,40,35.0,33,5,29.8,35,7,35.286
2018-11-14T00:00:00.000+00:00,30.0,25,20,35,5becb81dfb166600231ac781,35,30.0,25,0,26.0,30,26,28.5
2018-11-15T00:00:00.000+00:00,30.0,31,20,40,5bee099efb16660022194cd9,40,30.0,20,0,27.5,30,38,29.474
2018-11-16T00:00:00.000+00:00,32.5,35,20,40,5bef5b39fb166600221ab3eb,35,30.0,30,5,30.3,30,3,31.667
2018-11-16T00:00:00.000+00:00,32.5,32,20,40,5bef5b39fb166600221ab3ea,40,34.5,25,0,29.0,34,23,33.348
2018-11-17T00:00:00.000+00:00,39.0,40,25,40,5bf0acb7fb166600221c2b1a,40,40.0,38,5,32.6,39,6,39.5
2018-11-17T00:00:00.000+00:00,32.5,25,20,40,5bf0acb7fb166600221c2b19,40,33.5,25,0,30.0,34,34,32.647
2018-11-18T00:00:00.000+00:00,40.0,50,30,50,5bf1fe23fb166600232087da,50,35.0,30,5,35.1,35,20,35.7
2018-11-18T00:00:00.000+00:00,34.5,38,20,40,5bf1fe23fb166600232087d9,40,35.0,29,0,31.9,34,26,34.846
