datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,264.5,299,230,360,5be37d3ffb166600220e9796,299,270.0,230,10,288.7,230,4,267.25
2018-11-07T00:00:00.000+00:00,67.5,79,40,80,5be37d3ffb166600220e9795,80,69.5,55,0,56.5,75,6,68.833
2018-11-08T00:00:00.000+00:00,284.5,190,190,379,5be4ce9bfb16660023124071,379,300.0,190,10,294.3,300,6,289.0
2018-11-08T00:00:00.000+00:00,57.5,59,40,80,5be4ce9bfb16660023124070,65,52.5,50,0,58.0,50,6,54.833
2018-11-09T00:00:00.000+00:00,282.5,325,190,379,5be61fecfb166600221117f9,325,289.0,240,10,287.3,240,5,284.8
2018-11-09T00:00:00.000+00:00,47.5,50,45,80,5be61fecfb166600221117f8,50,50.0,45,0,57.0,45,7,48.429
2018-11-10T00:00:00.000+00:00,280.0,300,190,379,5be77199fb166600231522d4,310,290.0,250,10,279.3,280,4,285.0
2018-11-10T00:00:00.000+00:00,50.0,55,40,80,5be77199fb166600231522d3,60,49.0,40,0,56.0,40,10,49.7
2018-11-11T00:00:00.000+00:00,265.0,250,160,379,5be8c301fb1666002213d93b,370,300.0,160,10,275.3,160,6,283.333
2018-11-11T00:00:00.000+00:00,50.0,45,40,65,5be8c301fb1666002213d93a,60,50.0,40,0,54.5,50,16,51.625
2018-11-12T00:00:00.000+00:00,307.5,310,160,370,5bea14eefb1666002317f8f0,335,310.0,280,10,283.9,310,5,307.0
2018-11-12T00:00:00.000+00:00,42.5,55,30,60,5bea14eefb1666002317f8ef,55,45.0,30,0,49.5,40,5,45.0
2018-11-13T00:00:00.000+00:00,325.0,300,160,370,5beb65f6fb16660023195515,350,315.0,300,10,292.0,350,5,322.8
2018-11-13T00:00:00.000+00:00,45.5,50,30,60,5beb65f6fb16660023195514,50,49.5,41,0,47.1,45,6,47.5
2018-11-14T00:00:00.000+00:00,267.0,320,160,370,5becb7e6fb166600231ac05b,360,275.0,174,10,288.9,360,6,271.667
2018-11-14T00:00:00.000+00:00,61.5,45,30,79,5becb7e6fb166600231ac05a,79,67.0,44,0,49.9,44,13,62.462
2018-11-15T00:00:00.000+00:00,290.0,280,174,360,5bee0954fb166600221944b4,300,300.0,280,10,290.9,300,4,295.0
2018-11-15T00:00:00.000+00:00,55.0,80,30,80,5bee0954fb166600221944b3,80,52.5,30,0,50.9,40,16,54.125
2018-11-16T00:00:00.000+00:00,245.0,330,160,360,5bef5af5fb166600221aad0f,330,242.5,160,10,286.9,280,6,237.333
2018-11-16T00:00:00.000+00:00,55.0,40,30,80,5bef5af5fb166600221aad0e,70,60.0,40,0,51.9,60,11,57.909
2018-11-17T00:00:00.000+00:00,310.0,315,160,360,5bf0ac79fb166600221c244a,330,310.0,290,10,287.4,330,5,310.0
2018-11-17T00:00:00.000+00:00,67.5,80,30,90,5bf0ac79fb166600221c2449,90,70.0,45,0,56.9,90,15,68.133
2018-11-18T00:00:00.000+00:00,260.0,310,160,360,5bf1fdd3fb16660023207f45,360,250.0,160,10,274.4,360,7,262.143
2018-11-18T00:00:00.000+00:00,77.5,75,30,95,5bf1fdd3fb16660023207f44,95,70.0,60,0,63.3,85,19,73.053
2018-11-19T00:00:00.000+00:00,332.5,349,160,390,5bf34f68fb1666002321ecba,390,349.0,275,10,287.5,390,5,340.8
2018-11-19T00:00:00.000+00:00,87.5,100,40,100,5bf34f68fb1666002321ecb9,100,90.0,75,0,68.5,75,10,88.0
2018-11-20T00:00:00.000+00:00,309.5,316,160,390,5bf4a0c5fb16660022206ed4,389,273.0,230,10,291.4,230,4,291.25
2018-11-20T00:00:00.000+00:00,81.5,80,45,100,5bf4a0c5fb16660022206ed3,88,80.0,75,0,73.8,88,10,79.8
2018-11-21T00:00:00.000+00:00,292.5,205,160,390,5bf5f23dfb1666002324c8dd,380,300.0,205,10,300.9,350,5,292.0
2018-11-21T00:00:00.000+00:00,75.0,60,60,100,5bf5f23dfb1666002324c8dc,90,80.0,60,0,77.8,88,7,79.714
2018-11-22T00:00:00.000+00:00,337.5,330,205,390,5bf7435cfb16660023263006,350,335.0,325,10,306.4,325,4,336.25
2018-11-22T00:00:00.000+00:00,75.0,95,50,100,5bf7435cfb16660023263005,100,85.0,50,0,79.3,70,11,80.364
2018-11-23T00:00:00.000+00:00,305.0,250,205,389,5bf89539fb16660022249cc3,360,350.0,250,10,315.4,300,5,322.0
2018-11-23T00:00:00.000+00:00,70.0,100,40,100,5bf89539fb16660022249cc2,100,75.0,40,0,77.8,75,11,78.0
2018-11-24T00:00:00.000+00:00,354.5,350,205,380,5bf9e681fb1666002225fc87,359,350.0,350,10,319.8,359,4,352.25
2018-11-24T00:00:00.000+00:00,79.0,90,40,100,5bf9e681fb1666002225fc86,100,80.0,58,0,76.1,58,11,77.818
2018-11-25T00:00:00.000+00:00,360.0,370,250,370,5bfb383ffb1666002227666a,370,365.0,350,10,329.9,365,3,361.667
2018-11-25T00:00:00.000+00:00,86.0,89,40,100,5bfb383ffb16660022276669,100,97.0,72,0,77.0,72,10,92.5
2018-11-26T00:00:00.000+00:00,362.0,375,250,375,5bfc89adfb1666002228c6d5,375,366.5,349,10,343.8,349,4,364.25
2018-11-26T00:00:00.000+00:00,75.0,55,40,100,5bfc89adfb1666002228c6d4,95,80.0,55,0,77.0,60,5,76.0
2018-11-27T00:00:00.000+00:00,225.0,225,225,375,5bfddaccfb166600232d7e53,225,225.0,225,10,321.3,225,1,225.0
2018-11-27T00:00:00.000+00:00,85.0,100,55,100,5bfddaccfb166600232d7e52,100,80.0,70,0,79.0,80,7,83.571
2018-11-28T00:00:00.000+00:00,375.0,380,225,380,5bff2c7cfb166600232efd99,380,375.0,370,10,335.3,375,3,375.0
2018-11-28T00:00:00.000+00:00,77.0,75,55,100,5bff2c7cfb166600232efd98,84,77.0,70,0,80.4,70,8,77.0
2018-11-29T00:00:00.000+00:00,340.0,330,225,380,5c007e33fb16660023307c88,350,335.0,330,10,332.4,330,4,337.5
2018-11-29T00:00:00.000+00:00,82.5,90,55,100,5c007e33fb16660023307c87,90,84.0,75,0,81.1,89,8,83.875
2018-11-30T00:00:00.000+00:00,282.5,275,225,380,5c01cf99fb166600222e196b,290,282.5,275,10,316.9,285,4,282.5
2018-11-30T00:00:00.000+00:00,85.0,90,70,100,5c01cf99fb166600222e196a,100,87.5,70,0,80.9,80,8,87.375
2018-12-01T00:00:00.000+00:00,344.5,389,275,389,5c03211bfb166600222f84e4,389,345.0,300,10,313.4,300,4,344.75
2018-12-01T00:00:00.000+00:00,79.5,75,69,100,5c03211bfb166600222f84e3,90,79.5,69,0,81.8,80,10,78.9
2018-12-02T00:00:00.000+00:00,387.0,385,275,389,5c0472b0fb1666002230f688,389,385.0,385,10,345.8,389,3,386.333
2018-12-02T00:00:00.000+00:00,82.5,100,65,100,5c0472b0fb1666002230f687,100,85.0,65,0,81.3,92,15,85.133
2018-12-03T00:00:00.000+00:00,310.5,231,231,390,5c05c42bfb16660023364ecf,390,330.0,231,10,332.9,320,4,320.25
2018-12-03T00:00:00.000+00:00,84.5,100,65,100,5c05c42bfb16660023364ece,100,92.0,69,0,82.8,100,12,84.167
2018-12-04T00:00:00.000+00:00,330.0,300,231,390,5c071554fb1666002337a581,385,322.5,275,10,330.9,345,4,326.25
2018-12-04T00:00:00.000+00:00,75.5,100,51,100,5c071554fb1666002337a580,100,80.0,51,0,81.4,75,5,80.8
2018-12-05T00:00:00.000+00:00,270.0,275,231,390,5c0866cffb16660022350bea,280,275.0,260,10,328.4,280,3,271.667
2018-12-05T00:00:00.000+00:00,90.0,80,51,100,5c0866cffb16660022350be9,100,94.0,80,0,82.4,100,5,91.8
2018-12-06T00:00:00.000+00:00,317.5,300,231,390,5c09b8c33ae3e800244e42a3,385,300.0,250,10,323.0,250,5,311.0
2018-12-06T00:00:00.000+00:00,89.5,60,51,119,5c09b8c33ae3e800244e42a2,119,85.0,60,0,84.4,98,8,87.125
2018-12-07T00:00:00.000+00:00,300.0,300,250,385,5c0b0a0f3ae3e800234f98c8,320,300.0,280,10,305.6,320,3,300.0
2018-12-07T00:00:00.000+00:00,87.5,80,51,119,5c0b0a0f3ae3e800234f98c7,100,87.5,75,0,85.4,75,4,87.5
2018-12-08T00:00:00.000+00:00,399.5,399,250,400,5c0c5b603ae3e8002350fb85,400,399.5,399,10,323.4,400,2,399.5
2018-12-08T00:00:00.000+00:00,74.5,50,50,119,5c0c5b603ae3e8002350fb84,99,80.0,50,0,83.4,99,11,78.182
2018-12-09T00:00:00.000+00:00,285.0,300,250,400,5c0dacdf3ae3e80023526bbc,300,280.0,270,10,314.4,280,5,285.0
2018-12-09T00:00:00.000+00:00,95.0,95,50,119,5c0dacdf3ae3e80023526bbb,100,95.0,90,0,87.3,95,6,95.0
2018-12-10T00:00:00.000+00:00,345.0,345,270,400,5c0efe553ae3e8002353d769,345,345.0,345,10,329.4,345,1,345.0
2018-12-10T00:00:00.000+00:00,92.5,85,50,100,5c0efe553ae3e8002353d768,100,95.0,85,0,87.8,95,5,94.8
2018-12-11T00:00:00.000+00:00,345.0,300,270,400,5c1050003ae3e800235548a8,390,345.0,300,10,334.9,390,2,345.0
2018-12-11T00:00:00.000+00:00,76.0,77,50,100,5c1050003ae3e800235548a7,77,75.0,75,0,85.1,75,3,75.667
2018-12-12T00:00:00.000+00:00,365.0,398,270,400,5c11a1673ae3e8002356bf8f,400,398.0,330,10,347.9,330,3,376.0
2018-12-12T00:00:00.000+00:00,84.5,80,50,119,5c11a1673ae3e8002356bf8e,119,90.0,50,0,84.5,60,12,84.75
2018-12-13T00:00:00.000+00:00,340.0,340,300,400,5c12f2fe3ae3e80023582a45,340,340.0,340,10,336.0,340,2,340.0
