datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,350.0,350,350,350,5be771ccfb16660022128293,350,350.0,350,10,,350,1,350.0
2018-11-10T00:00:00.000+00:00,40.0,40,40,95,5be771ccfb16660022128292,40,40.0,40,0,,40,1,40.0
2018-11-11T00:00:00.000+00:00,60.0,50,30,95,5be8c341fb1666002213e261,90,65.0,30,0,69.0,30,6,63.333
2018-11-12T00:00:00.000+00:00,385.0,385,350,385,5bea1525fb16660022153cc7,385,385.0,385,10,,385,1,385.0
2018-11-13T00:00:00.000+00:00,75.0,75,30,95,5beb663cfb16660023195b4a,75,75.0,75,0,70.0,75,1,75.0
2018-11-14T00:00:00.000+00:00,60.0,60,30,90,5becb81bfb166600231ac734,60,60.0,60,0,66.0,60,1,60.0
2018-11-16T00:00:00.000+00:00,40.0,40,30,90,5bef5b36fb166600221ab391,40,40.0,40,0,55.0,40,1,40.0
2018-11-22T00:00:00.000+00:00,300.0,300,300,385,5bf74389fb16660023263671,300,300.0,300,10,,300,1,300.0
2018-11-22T00:00:00.000+00:00,99.0,99,40,99,5bf74389fb16660023263670,99,99.0,99,0,66.8,99,1,99.0
2018-11-24T00:00:00.000+00:00,50.0,50,40,99,5bf9e6dcfb166600232924e9,50,50.0,50,0,64.8,50,1,50.0
2018-11-25T00:00:00.000+00:00,50.0,50,40,99,5bfb386ffb166600232aaa03,50,50.0,50,0,59.8,50,1,50.0
2018-11-27T00:00:00.000+00:00,70.0,70,50,99,5bfddaf4fb166600232d84aa,70,70.0,70,0,61.8,70,1,70.0
2018-12-04T00:00:00.000+00:00,150.0,150,50,150,5c071580fb1666002337abc0,150,150.0,150,0,83.8,150,1,150.0
2018-12-20T00:00:00.000+00:00,65.0,65,50,150,5c1c2e1d3ae3e800246421d1,65,65.0,65,0,77.0,65,1,65.0
2018-12-21T00:00:00.000+00:00,75.0,50,50,150,5c1d7fa73ae3e8002364b134,100,75.0,50,0,82.0,100,2,75.0
2018-12-22T00:00:00.000+00:00,100.0,100,50,150,5c1ed10e3ae3e80023663d1b,100,100.0,100,0,92.0,100,1,100.0
2018-12-25T00:00:00.000+00:00,50.0,50,50,100,5c22c5803ae3e800236b0d81,50,50.0,50,0,88.0,50,1,50.0
2018-12-27T00:00:00.000+00:00,70.0,70,50,100,5c2568a93ae3e800246f85d6,70,70.0,70,0,72.0,70,2,70.0
2019-01-01T00:00:00.000+00:00,100.0,100,50,100,5c2c000b3ae3e800237674ce,100,100.0,100,0,79.0,100,1,100.0
2019-01-12T00:00:00.000+00:00,100.0,100,50,100,5c3a80bf3ae3e800248acda0,100,100.0,100,0,84.0,100,1,100.0
2019-01-21T00:00:00.000+00:00,200.0,200,200,385,5c465dd33ae3e80023982cf1,200,200.0,200,10,,200,1,200.0
2019-01-27T00:00:00.000+00:00,100.0,100,70,100,5c4e47063ae3e80023a2ac0c,100,100.0,100,0,84.0,100,1,100.0
2019-01-28T00:00:00.000+00:00,420.0,420,200,420,5c4f98a23ae3e80024a73515,420,420.0,420,10,331.0,420,1,420.0
2019-01-28T00:00:00.000+00:00,150.0,150,100,150,5c4f98a23ae3e80024a73514,150,150.0,150,0,104.0,150,1,150.0
2019-01-29T00:00:00.000+00:00,250.0,250,200,420,5c50e9f73ae3e80023a60db4,250,250.0,250,10,311.0,250,1,250.0
2019-01-29T00:00:00.000+00:00,100.0,100,100,150,5c50e9f73ae3e80023a60db3,100,100.0,100,0,110.0,100,1,100.0
2019-02-02T00:00:00.000+00:00,100.0,100,100,150,5c56302b3ae3e80024b01c71,100,100.0,100,0,110.0,100,1,100.0
