datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,64.5,70,45,80,5be4cebbfb166600220fdf99,80,70.0,49,0,51.9,49,5,67.6
2018-11-09T00:00:00.000+00:00,20.0,20,20,80,5be62002fb1666002313a447,20,20.0,20,0,48.9,20,1,20.0
2018-11-10T00:00:00.000+00:00,160.0,200,120,350,5be771b6fb1666002315274a,200,160.0,120,10,,120,2,160.0
2018-11-10T00:00:00.000+00:00,32.5,30,20,80,5be771b6fb16660023152749,35,32.5,30,0,43.4,35,2,32.5
2018-11-11T00:00:00.000+00:00,250.0,250,120,350,5be8c31ffb16660023168b69,250,250.0,250,10,,250,2,250.0
2018-11-11T00:00:00.000+00:00,35.0,50,15,80,5be8c31ffb16660023168b68,55,35.0,15,0,41.4,35,15,37.667
2018-11-12T00:00:00.000+00:00,349.0,349,120,350,5bea1511fb16660022153a14,349,349.0,349,10,281.8,349,1,349.0
2018-11-12T00:00:00.000+00:00,52.5,40,15,75,5bea1511fb16660022153a13,75,45.0,30,0,40.9,30,6,47.5
2018-11-13T00:00:00.000+00:00,200.0,200,120,349,5beb6610fb166600221681b3,200,200.0,200,10,261.8,200,1,200.0
2018-11-13T00:00:00.000+00:00,27.5,25,15,75,5beb6610fb166600221681b2,30,27.5,25,0,33.5,30,3,26.667
2018-11-14T00:00:00.000+00:00,37.5,50,15,75,5becb808fb166600231ac47b,50,37.5,25,0,37.0,25,2,37.5
2018-11-15T00:00:00.000+00:00,35.0,45,25,75,5bee0981fb166600231c2b8a,45,35.0,25,0,37.5,25,2,35.0
2018-11-16T00:00:00.000+00:00,175.0,175,175,349,5bef5b0ffb166600231d9a83,175,175.0,175,10,226.8,175,1,175.0
2018-11-16T00:00:00.000+00:00,60.0,60,25,60,5bef5b0ffb166600231d9a82,60,60.0,60,0,42.5,60,1,60.0
2018-11-17T00:00:00.000+00:00,45.0,50,25,60,5bf0ac94fb166600231f0ef8,50,45.0,40,0,41.0,40,3,45.0
2018-11-18T00:00:00.000+00:00,152.0,152,152,349,5bf1fdfffb166600221d9bb6,152,152.0,152,10,225.2,152,1,152.0
2018-11-18T00:00:00.000+00:00,40.0,40,25,60,5bf1fdfffb166600221d9bb5,40,40.0,40,0,43.5,40,1,40.0
2018-11-19T00:00:00.000+00:00,234.5,269,152,269,5bf34f81fb166600221f06b0,269,234.5,200,10,222.1,200,2,234.5
2018-11-19T00:00:00.000+00:00,67.5,75,40,75,5bf34f81fb166600221f06af,75,67.5,60,0,49.5,60,2,67.5
2018-11-20T00:00:00.000+00:00,50.0,55,40,75,5bf4a0d7fb16660023235969,55,50.0,45,0,52.5,45,2,50.0
2018-11-21T00:00:00.000+00:00,50.0,50,40,75,5bf5f258fb1666002221daf1,50,50.0,50,0,50.5,50,2,50.0
