datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,342.5,350,300,400,5be37d14fb1666002310d527,375,350.0,310,10,352.0,359,12,348.833
2018-11-07T00:00:00.000+00:00,112.5,100,95,130,5be37d14fb1666002310d526,130,115.0,95,0,113.0,95,14,110.429
2018-11-08T00:00:00.000+00:00,375.0,380,300,400,5be4ce44fb16660023123420,400,375.0,350,10,355.5,350,6,377.5
2018-11-08T00:00:00.000+00:00,107.5,120,90,130,5be4ce44fb1666002312341f,125,112.0,90,0,112.5,125,20,113.9
2018-11-09T00:00:00.000+00:00,325.0,390,260,400,5be61fa5fb16660023139991,390,325.0,260,10,347.5,360,16,324.188
2018-11-09T00:00:00.000+00:00,92.5,99,55,130,5be61fa5fb16660023139990,130,95.0,55,0,108.5,97,23,93.217
2018-11-10T00:00:00.000+00:00,317.5,300,250,400,5be77142fb16660023151449,385,310.0,250,10,337.0,260,11,307.273
2018-11-10T00:00:00.000+00:00,90.0,100,55,130,5be77142fb16660023151448,100,92.0,80,0,103.5,95,27,92.37
2018-11-11T00:00:00.000+00:00,312.5,290,250,400,5be8c29dfb1666002213cacf,375,300.0,250,10,334.5,299,22,304.091
2018-11-11T00:00:00.000+00:00,92.5,85,55,130,5be8c29dfb1666002213cace,105,90.0,80,0,99.0,100,28,91.036
2018-11-12T00:00:00.000+00:00,310.0,272,230,390,5bea143ffb166600221524a1,390,315.0,230,10,328.0,230,19,315.895
2018-11-12T00:00:00.000+00:00,85.0,90,55,130,5bea143ffb166600221524a0,100,95.0,70,0,93.5,80,20,91.95
2018-11-13T00:00:00.000+00:00,290.0,340,230,390,5beb65aafb166600221676e1,350,320.0,230,10,311.0,330,13,301.923
2018-11-13T00:00:00.000+00:00,95.0,90,70,105,5beb65aafb166600221676e0,100,96.5,90,0,91.0,95,15,95.533
2018-11-14T00:00:00.000+00:00,290.5,309,230,390,5becb7b7fb1666002217e649,350,310.0,231,10,304.1,340,21,310.333
2018-11-14T00:00:00.000+00:00,99.5,99,70,110,5becb7b7fb1666002217e648,110,99.0,89,0,92.4,100,11,98.182
2018-11-15T00:00:00.000+00:00,339.0,325,230,390,5bee08effb16660022193a41,388,325.0,290,10,308.4,388,18,327.444
2018-11-15T00:00:00.000+00:00,94.0,94,70,110,5bee08effb16660022193a40,109,94.0,79,0,93.2,95,18,92.667
2018-11-16T00:00:00.000+00:00,342.5,340,230,390,5bef5ab7fb166600231d8f65,390,335.0,295,10,314.4,300,13,331.923
2018-11-16T00:00:00.000+00:00,92.5,98,79,110,5bef5ab7fb166600231d8f64,100,95.0,85,0,93.2,95,14,95.429
2018-11-17T00:00:00.000+00:00,325.0,250,231,400,5bf0ac3dfb166600231f03b7,400,330.0,250,10,317.4,355,12,322.417
2018-11-17T00:00:00.000+00:00,100.0,98,79,120,5bf0ac3dfb166600231f03b6,120,100.0,80,0,96.2,90,39,97.385
2018-11-18T00:00:00.000+00:00,357.0,350,250,400,5bf1fd24fb166600221d825a,379,350.0,335,10,330.8,350,10,354.4
2018-11-18T00:00:00.000+00:00,98.0,105,79,120,5bf1fd24fb166600221d8259,115,100.0,81,0,96.8,110,54,99.815
2018-11-19T00:00:00.000+00:00,349.5,359,250,400,5bf34f2efb166600221efb92,399,350.0,300,10,342.6,350,9,355.222
2018-11-19T00:00:00.000+00:00,95.0,110,60,130,5bf34f2efb166600221efb91,130,105.0,60,0,95.9,110,29,102.31
2018-11-20T00:00:00.000+00:00,299.5,300,250,400,5bf4a091fb16660023234e84,300,300.0,299,10,334.7,300,5,299.8
2018-11-20T00:00:00.000+00:00,96.0,90,60,130,5bf4a091fb16660023234e83,120,100.0,72,0,96.3,110,25,100.04
2018-11-21T00:00:00.000+00:00,355.0,360,299,399,5bf5f1bafb1666002221c5aa,360,360.0,350,10,337.2,360,3,356.667
2018-11-21T00:00:00.000+00:00,106.5,105,60,140,5bf5f1bafb1666002221c5a9,140,109.0,73,0,99.1,75,19,106.789
2018-11-22T00:00:00.000+00:00,342.5,370,299,399,5bf7431ffb166600232627bf,385,350.0,300,10,340.7,370,11,353.182
2018-11-22T00:00:00.000+00:00,102.5,100,60,140,5bf7431ffb166600232627be,110,100.0,95,0,99.6,100,12,100.333
2018-11-23T00:00:00.000+00:00,332.5,390,275,390,5bf894b1fb16660022248988,390,329.0,275,10,335.8,281,15,322.533
2018-11-23T00:00:00.000+00:00,102.0,99,72,140,5bf894b1fb16660022248987,105,100.0,99,0,100.4,100,8,100.375
2018-11-24T00:00:00.000+00:00,317.5,330,235,400,5bf9e631fb16660023290bfa,400,325.0,235,10,329.4,280,12,325.917
2018-11-24T00:00:00.000+00:00,102.0,100,73,140,5bf9e631fb16660023290bf9,105,100.0,99,0,101.8,100,15,100.267
2018-11-25T00:00:00.000+00:00,342.0,439,235,439,5bfb37f5fb166600232a9782,439,350.0,245,10,337.9,347,16,337.125
2018-11-25T00:00:00.000+00:00,110.0,107,90,130,5bfb37f5fb166600232a9781,130,110.0,90,0,104.6,110,23,111.739
2018-11-26T00:00:00.000+00:00,340.0,345,235,439,5bfc892dfb1666002228b52b,380,350.0,300,10,334.9,379,9,356.556
2018-11-26T00:00:00.000+00:00,107.5,99,90,130,5bfc892dfb1666002228b52a,125,100.0,90,0,104.8,110,15,101.6
2018-11-27T00:00:00.000+00:00,350.5,347,235,439,5bfdda9afb166600232d7613,354,350.0,347,10,336.5,350,5,350.2
2018-11-27T00:00:00.000+00:00,105.0,100,90,130,5bfdda9afb166600232d7612,120,100.0,90,0,105.3,100,15,102.667
2018-11-28T00:00:00.000+00:00,330.0,378,245,439,5bff2c1afb166600222b5f74,390,349.5,270,10,336.0,270,10,342.4
2018-11-28T00:00:00.000+00:00,122.5,100,90,150,5bff2c1afb166600222b5f73,150,114.0,95,0,109.4,115,20,113.65
2018-11-29T00:00:00.000+00:00,340.0,380,270,390,5c007dfbfb16660023307337,380,347.0,300,10,340.5,320,5,341.4
2018-11-29T00:00:00.000+00:00,102.0,100,80,150,5c007dfbfb16660023307336,124,110.0,80,0,109.4,120,14,105.857
2018-11-30T00:00:00.000+00:00,275.0,330,200,390,5c01cf39fb166600222e0cd7,350,282.5,200,10,327.1,250,24,277.458
2018-11-30T00:00:00.000+00:00,38.5,30,27,150,5c01cf39fb166600222e0cd6,50,39.0,27,0,95.1,35,70,37.671
2018-12-01T00:00:00.000+00:00,275.0,260,200,390,5c0320cdfb166600233364cf,340,275.0,210,10,314.1,250,18,265.278
2018-12-01T00:00:00.000+00:00,42.5,40,20,150,5c0320cdfb166600233364ce,65,40.0,20,0,82.1,48,115,42.183
2018-12-02T00:00:00.000+00:00,265.0,300,200,380,5c047293fb1666002334ddf3,320,275.0,210,10,297.0,210,24,264.917
2018-12-02T00:00:00.000+00:00,42.5,43,20,124,5c047293fb1666002334ddf2,50,43.0,35,0,69.6,40,80,42.6
2018-12-03T00:00:00.000+00:00,237.5,290,175,350,5c05c408fb166600223242be,300,230.0,175,10,278.5,211,11,241.636
2018-12-03T00:00:00.000+00:00,43.5,43,20,65,5c05c408fb166600223242bd,50,40.0,37,0,53.8,45,34,41.912
2018-12-04T00:00:00.000+00:00,250.0,310,175,340,5c07151dfb16660023379d73,310,249.0,190,10,260.5,250,15,235.867
2018-12-04T00:00:00.000+00:00,37.0,39,20,65,5c07151dfb16660023379d72,40,39.5,34,0,40.8,40,19,38.632
2018-12-05T00:00:00.000+00:00,265.0,250,175,320,5c08669afb166600223503d1,300,260.0,230,10,258.5,260,15,267.667
2018-12-05T00:00:00.000+00:00,40.5,39,34,50,5c08669afb166600223503d0,44,40.0,37,0,41.2,40,36,39.472
2018-12-06T00:00:00.000+00:00,245.0,250,175,310,5c09b88e3ae3e800234e368c,250,250.0,240,10,252.5,240,8,248.375
2018-12-06T00:00:00.000+00:00,37.5,35,34,50,5c09b88e3ae3e800234e368b,40,36.0,35,0,40.2,37,22,36.273
2018-12-07T00:00:00.000+00:00,246.5,215,190,310,5c0b099f3ae3e800244f9e55,300,240.0,193,10,248.8,200,10,238.3
2018-12-07T00:00:00.000+00:00,40.0,50,30,50,5c0b099f3ae3e800244f9e54,50,40.0,30,0,39.7,40,27,37.852
2018-12-08T00:00:00.000+00:00,262.5,300,193,330,5c0c5b263ae3e800245122dc,330,230.0,195,10,253.8,220,14,248.0
2018-12-08T00:00:00.000+00:00,37.5,30,30,50,5c0c5b263ae3e800245122db,45,40.0,30,0,38.5,30,26,37.192
2018-12-09T00:00:00.000+00:00,230.0,240,175,330,5c0daca53ae3e800235262d1,285,240.0,175,10,249.8,250,13,235.0
2018-12-09T00:00:00.000+00:00,39.5,40,29,50,5c0daca53ae3e800235262d0,50,36.0,29,0,39.0,35,23,37.0
2018-12-10T00:00:00.000+00:00,222.5,225,175,330,5c0efe1e3ae3e8002454329a,250,217.5,195,10,241.3,200,8,220.625
2018-12-10T00:00:00.000+00:00,39.5,40,29,50,5c0efe1e3ae3e80024543299,40,40.0,39,0,38.8,39,10,39.8
2018-12-11T00:00:00.000+00:00,240.0,235,175,330,5c104f9d3ae3e8002455bec4,250,250.0,230,10,240.3,230,8,243.125
2018-12-11T00:00:00.000+00:00,39.0,39,29,50,5c104f9d3ae3e8002455bec3,40,39.0,38,0,39.1,40,10,39.1
2018-12-12T00:00:00.000+00:00,239.5,230,175,285,5c11a12a3ae3e80024574bd4,249,244.5,230,10,238.9,249,6,242.833
2018-12-12T00:00:00.000+00:00,37.5,40,29,50,5c11a12a3ae3e80024574bd3,45,40.0,30,0,38.6,35,12,37.417
2018-12-13T00:00:00.000+00:00,220.5,240,191,250,5c12f29e3ae3e80023581adc,250,240.0,191,10,230.5,219,11,232.273
2018-12-13T00:00:00.000+00:00,37.5,44,30,45,5c12f29e3ae3e80023581adb,45,35.0,30,0,38.6,35,12,37.25
2018-12-14T00:00:00.000+00:00,247.5,250,191,250,5c1444b43ae3e800245a8838,250,250.0,245,10,234.0,248,12,249.0
2018-12-14T00:00:00.000+00:00,40.0,40,30,50,5c1444b43ae3e800245a8837,50,40.0,30,0,38.7,40,28,38.464
2018-12-15T00:00:00.000+00:00,247.5,200,191,295,5c1595a43ae3e800235b4704,295,237.0,200,10,239.0,200,12,239.083
2018-12-15T00:00:00.000+00:00,39.5,35,30,50,5c1595a43ae3e800235b4703,44,38.0,35,0,38.7,40,14,38.143
2018-12-16T00:00:00.000+00:00,250.0,245,191,300,5c16e7243ae3e800245d91c7,300,249.5,200,10,241.0,300,16,251.875
2018-12-16T00:00:00.000+00:00,35.0,30,25,50,5c16e7243ae3e800245d91c6,45,35.0,25,0,37.9,45,25,34.32
2018-12-17T00:00:00.000+00:00,292.5,300,200,300,5c1839083ae3e800235e6b84,300,300.0,285,10,251.6,285,5,297.0
2018-12-17T00:00:00.000+00:00,40.0,40,25,50,5c1839083ae3e800235e6b83,50,39.5,30,0,38.4,45,17,38.294
2018-12-18T00:00:00.000+00:00,260.0,270,200,300,5c198a4a3ae3e8002460c31c,280,260.0,240,10,259.5,270,6,260.0
2018-12-18T00:00:00.000+00:00,40.0,40,25,50,5c198a4a3ae3e8002460c31b,50,40.0,30,0,38.9,35,26,38.462
2018-12-19T00:00:00.000+00:00,250.0,299,200,300,5c1adba13ae3e80024625858,300,250.0,200,10,260.0,300,10,249.9
2018-12-19T00:00:00.000+00:00,42.5,40,25,51,5c1adba13ae3e80024625857,51,40.0,34,0,39.4,45,19,40.158
2018-12-20T00:00:00.000+00:00,260.0,300,200,300,5c1c2d5d3ae3e800246409df,300,275.0,220,10,262.5,295,16,273.688
2018-12-20T00:00:00.000+00:00,39.5,35,30,51,5c1c2d5d3ae3e800246409de,45,40.0,34,0,39.4,40,22,38.818
2018-12-21T00:00:00.000+00:00,257.5,250,200,300,5c1d7f3f3ae3e8002465a6de,295,250.0,220,10,264.0,250,15,259.267
2018-12-21T00:00:00.000+00:00,42.0,40,30,51,5c1d7f3f3ae3e8002465a6dd,50,45.0,34,0,40.8,50,41,43.268
