datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,250.0,289,200,300,5be37d24fb166600220e934a,300,247.5,200,10,259.9,240,11,250.364
2018-11-07T00:00:00.000+00:00,62.5,60,35,80,5be37d24fb166600220e9349,75,68.0,50,0,63.4,75,14,66.571
2018-11-08T00:00:00.000+00:00,245.0,250,190,300,5be4ce74fb166600220fd44c,300,250.0,190,10,258.9,220,12,249.833
2018-11-08T00:00:00.000+00:00,60.0,70,35,80,5be4ce74fb166600220fd44b,80,60.0,40,0,63.4,65,23,53.696
2018-11-09T00:00:00.000+00:00,237.5,250,175,300,5be61fc7fb1666002211139e,300,250.0,175,10,256.4,175,10,237.0
2018-11-09T00:00:00.000+00:00,59.5,74,35,80,5be61fc7fb1666002211139d,79,60.0,40,0,61.8,60,16,62.438
2018-11-10T00:00:00.000+00:00,232.5,215,165,300,5be7716efb16660023151bc7,300,234.5,165,10,248.9,220,12,232.833
2018-11-10T00:00:00.000+00:00,50.0,60,40,80,5be7716efb16660023151bc6,60,50.0,40,0,57.9,44,20,48.95
2018-11-11T00:00:00.000+00:00,249.5,260,150,349,5be8c2b3fb16660023167cdd,349,255.0,150,10,242.9,200,22,242.364
2018-11-11T00:00:00.000+00:00,60.0,65,40,80,5be8c2b3fb16660023167cdc,70,59.0,50,0,58.4,59,30,58.467
2018-11-12T00:00:00.000+00:00,230.0,278,150,349,5bea1483fb1666002317ee9a,280,250.0,180,10,238.9,250,12,237.667
2018-11-12T00:00:00.000+00:00,55.0,50,40,79,5bea1483fb1666002317ee99,65,55.0,45,0,56.9,60,20,54.7
2018-11-13T00:00:00.000+00:00,279.0,270,150,349,5beb65cdfb16660023195097,288,280.0,270,10,245.7,280,7,279.571
2018-11-13T00:00:00.000+00:00,55.0,70,40,70,5beb65cdfb16660023195096,70,58.5,40,0,55.9,50,33,56.303
2018-11-14T00:00:00.000+00:00,260.0,295,150,349,5becb7c8fb166600231abbed,300,285.0,220,10,250.2,287,16,278.188
2018-11-14T00:00:00.000+00:00,57.5,50,40,75,5becb7c8fb166600231abbec,75,55.0,40,0,55.5,45,21,55.762
2018-11-15T00:00:00.000+00:00,235.0,201,170,300,5bee090dfb166600231c1e25,300,235.0,170,10,250.7,295,16,239.938
2018-11-15T00:00:00.000+00:00,60.0,64,40,75,5bee090dfb166600231c1e24,70,60.0,50,0,57.5,60,17,60.118
2018-11-16T00:00:00.000+00:00,285.0,270,170,300,5bef5ad1fb166600221aa87a,300,284.0,270,10,257.8,280,6,286.0
2018-11-16T00:00:00.000+00:00,62.0,70,40,75,5bef5ad1fb166600221aa879,75,65.0,49,0,57.9,60,26,63.154
2018-11-17T00:00:00.000+00:00,225.0,250,150,300,5bf0ac55fb166600221c1fa6,300,250.0,150,10,256.8,285,31,253.774
2018-11-17T00:00:00.000+00:00,58.0,65,40,75,5bf0ac55fb166600221c1fa5,68,59.5,48,0,58.5,50,40,58.025
2018-11-18T00:00:00.000+00:00,274.5,300,150,339,5bf1fd4dfb166600221d8771,339,280.0,210,10,255.9,270,22,277.864
2018-11-18T00:00:00.000+00:00,60.0,64,48,75,5bf1fd4dfb166600221d8770,70,60.0,50,0,59.5,69,31,59.677
2018-11-19T00:00:00.000+00:00,255.0,300,150,339,5bf34f46fb1666002321e81a,300,280.0,210,10,254.9,230,13,266.923
2018-11-19T00:00:00.000+00:00,66.0,59,48,75,5bf34f46fb1666002321e819,74,65.0,58,0,61.2,60,16,64.812
2018-11-20T00:00:00.000+00:00,290.0,290,150,339,5bf4a0a6fb16660022206a48,300,295.0,280,10,265.9,300,11,291.818
2018-11-20T00:00:00.000+00:00,67.5,68,48,80,5bf4a0a6fb16660022206a47,80,70.0,55,0,62.7,65,32,66.844
2018-11-21T00:00:00.000+00:00,340.0,345,210,400,5bf5f1e7fb1666002324bd09,400,347.5,280,10,276.9,400,8,341.875
