datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,357.5,375,270,375,5be37d13fb1666002310d512,375,357.5,340,10,335.0,340.0,2,357.5
2018-11-07T00:00:00.000+00:00,87.5,60,60,115,5be37d13fb1666002310d511,115,100.0,60,0,94.3,115.0,5,93.0
2018-11-08T00:00:00.000+00:00,347.5,343,270,375,5be4ce43fb16660023123408,365,350.0,330,10,337.5,340.0,7,348.286
2018-11-08T00:00:00.000+00:00,90.0,85,60,120,5be4ce43fb16660023123407,120,100.0,60,0,91.8,60.0,18,96.278
2018-11-09T00:00:00.000+00:00,252.5,260,245,375,5be61fa4fb16660023139979,260,250.0,245,10,321.5,245.0,7,250.714
2018-11-09T00:00:00.000+00:00,82.5,80,60,120,5be61fa4fb16660023139978,105,89.5,60,0,91.8,70.0,12,84.833
2018-11-10T00:00:00.000+00:00,310.0,339,245,375,5be77142fb16660023151432,340,300.0,280,10,315.0,340.0,7,313.0
2018-11-10T00:00:00.000+00:00,85.0,75,60,120,5be77142fb16660023151431,95,85.0,75,0,88.9,85.0,8,86.0
2018-11-11T00:00:00.000+00:00,287.0,250,230,365,5be8c29cfb1666002213cab9,344,285.0,230,10,310.9,320.0,4,286.0
2018-11-11T00:00:00.000+00:00,75.0,65,50,120,5be8c29cfb1666002213cab8,100,79.0,50,0,84.0,70.0,18,78.333
2018-11-12T00:00:00.000+00:00,290.0,280,230,344,5bea143efb16660022152488,300,300.0,280,10,297.4,300.0,3,293.333
2018-11-12T00:00:00.000+00:00,77.0,65,50,105,5bea143efb16660022152487,89,75.0,65,0,81.9,75.0,9,77.111
2018-11-13T00:00:00.000+00:00,330.0,350,230,360,5beb65a9fb166600221676ca,360,339.0,300,10,293.9,329.0,6,334.667
2018-11-13T00:00:00.000+00:00,85.0,75,50,100,5beb65a9fb166600221676c9,100,79.5,70,0,80.9,90.0,13,85.385
2018-11-14T00:00:00.000+00:00,339.5,340,230,360,5becb7b6fb1666002217e630,349,344.0,330,10,311.3,348.0,4,341.75
2018-11-14T00:00:00.000+00:00,72.5,55,50,100,5becb7b6fb1666002217e62f,90,79.0,55,0,78.9,79.0,10,75.2
2018-11-15T00:00:00.000+00:00,340.0,335,280,360,5bee08eefb16660022193a2a,345,338.0,335,10,317.3,338.0,3,339.333
2018-11-15T00:00:00.000+00:00,82.0,99,55,100,5bee08eefb16660022193a29,99,82.5,65,0,78.3,70.0,6,81.167
2018-11-16T00:00:00.000+00:00,287.5,240,225,360,5bef5ab7fb166600231d8f4c,350,270.0,225,10,317.4,350.0,6,282.5
2018-11-16T00:00:00.000+00:00,80.0,70,55,100,5bef5ab7fb166600231d8f4b,90,80.0,70,0,79.3,80.0,12,80.25
2018-11-17T00:00:00.000+00:00,325.0,300,225,350,5bf0ac3cfb166600231f039f,350,330.0,300,10,324.4,330.0,7,323.571
2018-11-17T00:00:00.000+00:00,77.5,97,55,100,5bf0ac3cfb166600231f039e,100,85.0,55,0,79.4,85.0,19,83.0
2018-11-18T00:00:00.000+00:00,324.5,349,225,350,5bf1fd23fb166600221d8241,349,322.5,300,10,323.3,300.0,6,322.333
2018-11-18T00:00:00.000+00:00,82.5,83,55,100,5bf1fd23fb166600221d8240,95,84.0,70,0,78.9,75.0,14,82.714
2018-11-19T00:00:00.000+00:00,345.0,370,225,370,5bf34f2efb166600221efb77,370,350.0,320,10,324.4,320.0,3,346.667
2018-11-19T00:00:00.000+00:00,90.0,80,55,100,5bf34f2efb166600221efb76,100,90.0,80,0,82.4,86.0,10,91.6
2018-11-20T00:00:00.000+00:00,360.0,365,300,400,5bf4a090fb16660023234e6d,400,349.0,320,10,328.4,320.0,5,350.8
2018-11-20T00:00:00.000+00:00,100.0,90,55,110,5bf4a090fb16660023234e6c,110,95.0,90,0,86.0,110.0,8,97.125
2018-11-21T00:00:00.000+00:00,340.0,380,300,400,5bf5f1b9fb1666002221c592,380,350.0,300,10,338.9,365.0,8,345.625
2018-11-21T00:00:00.000+00:00,95.0,90,70,110,5bf5f1b9fb1666002221c591,100,93.5,90,0,89.0,100.0,8,93.375
2018-11-22T00:00:00.000+00:00,305.0,330,280,400,5bf7431ffb166600232627a7,330,300.0,280,10,334.9,300.0,6,310.0
2018-11-22T00:00:00.000+00:00,85.0,70,70,110,5bf7431ffb166600232627a6,100,89.0,70,0,90.5,100.0,4,87.0
2018-11-23T00:00:00.000+00:00,289.5,329,250,400,5bf894b1fb16660022248970,329,300.0,250,10,327.9,290.0,5,299.6
2018-11-23T00:00:00.000+00:00,79.5,104,55,110,5bf894b1fb1666002224896f,104,89.0,55,0,89.9,60.0,8,85.75
2018-11-24T00:00:00.000+00:00,355.0,345,250,380,5bf9e630fb16660023290be0,380,360.0,330,10,329.9,375.0,12,357.5
2018-11-24T00:00:00.000+00:00,89.5,89,55,104,5bf9e630fb16660023290bdf,99,89.5,80,0,89.8,82.0,8,89.0
2018-11-25T00:00:00.000+00:00,331.0,300,242,420,5bfb37f4fb166600232a9769,420,335.0,242,10,324.1,250.0,6,327.833
2018-11-25T00:00:00.000+00:00,85.5,90,55,104,5bfb37f4fb166600232a9768,100,95.0,71,0,86.9,100.0,11,91.455
2018-11-26T00:00:00.000+00:00,317.5,285,242,420,5bfc892dfb1666002228b512,350,335.0,285,10,319.6,350.0,4,326.25
2018-11-26T00:00:00.000+00:00,75.0,98,50,104,5bfc892dfb1666002228b511,100,70.0,50,0,82.9,65.0,9,75.889
2018-11-27T00:00:00.000+00:00,320.0,389,242,420,5bfdda9afb166600232d75fa,389,337.5,251,10,322.6,251.0,4,328.75
2018-11-27T00:00:00.000+00:00,91.0,90,50,100,5bfdda9afb166600232d75f9,100,90.0,82,0,84.1,90.0,9,91.0
2018-11-28T00:00:00.000+00:00,295.0,260,220,420,5bff2c1afb166600222b5f5c,370,300.0,220,10,323.7,220.0,5,303.8
2018-11-28T00:00:00.000+00:00,75.0,65,50,100,5bff2c1afb166600222b5f5b,95,77.5,55,0,83.2,94.0,7,79.857
2018-11-29T00:00:00.000+00:00,382.5,380,220,389,5c007dfafb16660023307321,385,382.5,380,10,329.2,385.0,2,382.5
2018-11-29T00:00:00.000+00:00,94.0,98,50,100,5c007dfafb16660023307320,98,94.0,90,0,84.1,90.0,3,95.333
2018-11-30T00:00:00.000+00:00,345.0,320,220,389,5c01cf39fb166600222e0cbf,370,360.0,320,10,332.0,370.0,3,350.0
2018-11-30T00:00:00.000+00:00,92.5,90,55,100,5c01cf39fb166600222e0cbe,95,90.0,90,0,85.5,90.0,9,91.111
