datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,382.0,439,250,439,5be37d5cfb1666002310e102,439,362.0,325,10,348.4,350,6,371.333
2018-11-07T00:00:00.000+00:00,105.0,110,90,145,5be37d5cfb1666002310e101,110,102.5,100,0,114.7,109,8,103.625
2018-11-08T00:00:00.000+00:00,380.0,385,250,439,5be4cec0fb166600220fe08f,385,382.0,375,10,350.4,375,4,381.0
2018-11-08T00:00:00.000+00:00,115.0,100,90,139,5be4cec0fb166600220fe08e,130,114.0,100,0,113.9,100,19,112.211
2018-11-09T00:00:00.000+00:00,325.0,400,250,439,5be6200cfb1666002313a53e,400,350.0,250,10,349.9,350,16,348.938
2018-11-09T00:00:00.000+00:00,95.0,100,70,130,5be6200cfb1666002313a53d,120,100.0,70,0,108.4,120,18,98.167
2018-11-10T00:00:00.000+00:00,350.0,277,250,450,5be771bcfb1666002315284d,450,340.0,250,10,355.9,340,17,327.471
2018-11-10T00:00:00.000+00:00,95.0,98,70,130,5be771bcfb1666002315284c,100,98.0,90,0,103.5,95,19,97.211
2018-11-11T00:00:00.000+00:00,310.0,350,250,450,5be8c325fb16660023168c68,350,315.0,270,10,349.4,306,8,313.875
2018-11-11T00:00:00.000+00:00,90.0,100,70,130,5be8c325fb16660023168c67,110,95.5,70,0,100.0,94,24,93.708
2018-11-12T00:00:00.000+00:00,340.0,330,250,450,5bea1518fb16660022153b1e,360,350.0,320,10,341.0,350,8,342.5
2018-11-12T00:00:00.000+00:00,100.0,94,70,120,5bea1518fb16660022153b1d,110,100.0,90,0,99.0,90,15,99.133
2018-11-13T00:00:00.000+00:00,355.0,380,250,450,5beb661bfb166600221682b1,380,350.0,330,10,336.0,370,9,352.0
2018-11-13T00:00:00.000+00:00,82.5,75,60,110,5beb661bfb166600221682b0,105,87.5,60,0,92.5,90,23,88.957
2018-11-14T00:00:00.000+00:00,290.5,350,231,380,5becb80efb166600231ac57a,350,300.0,231,10,329.1,231,8,303.875
2018-11-14T00:00:00.000+00:00,95.0,100,60,110,5becb80efb166600231ac579,100,99.0,90,0,92.5,95,10,98.1
2018-11-15T00:00:00.000+00:00,375.0,400,231,400,5bee0988fb166600231c2c8c,400,352.5,350,10,334.1,389,6,365.667
2018-11-15T00:00:00.000+00:00,99.5,100,60,119,5bee0988fb166600231c2c8b,119,99.5,80,0,93.4,100,17,97.941
2018-11-16T00:00:00.000+00:00,392.5,350,231,440,5bef5b17fb166600231d9b87,440,390.0,345,10,350.6,400,8,383.125
2018-11-16T00:00:00.000+00:00,98.0,100,60,119,5bef5b17fb166600231d9b86,118,99.0,78,0,95.0,95,28,96.607
2018-11-17T00:00:00.000+00:00,334.5,330,231,440,5bf0ac9bfb166600231f1003,398,350.0,271,10,349.5,350,14,340.857
2018-11-17T00:00:00.000+00:00,95.0,79,70,120,5bf0ac9bfb166600231f1002,120,100.0,70,0,94.0,95,35,98.2
2018-11-18T00:00:00.000+00:00,347.5,280,265,440,5bf1fe06fb166600221d9cbe,430,345.0,265,10,348.0,430,10,341.2
2018-11-18T00:00:00.000+00:00,99.5,100,70,120,5bf1fe06fb166600221d9cbd,120,105.0,79,0,97.4,119,29,105.0
2018-11-19T00:00:00.000+00:00,367.0,300,265,449,5bf34f87fb166600221f07b2,449,380.0,285,10,363.3,285,10,368.2
2018-11-19T00:00:00.000+00:00,109.5,110,70,139,5bf34f87fb166600221f07b1,139,110.0,80,0,100.3,90,22,109.045
2018-11-20T00:00:00.000+00:00,310.0,320,250,449,5bf4a0ddfb16660023235a6e,370,300.0,250,10,350.3,300,9,307.111
2018-11-20T00:00:00.000+00:00,117.0,149,70,149,5bf4a0ddfb16660023235a6d,149,112.5,85,0,103.8,110,20,114.6
2018-11-21T00:00:00.000+00:00,384.5,320,250,449,5bf5f25ffb1666002221dbf7,449,376.5,320,10,348.7,449,8,377.75
2018-11-21T00:00:00.000+00:00,112.5,100,79,149,5bf5f25ffb1666002221dbf6,140,100.0,85,0,106.7,85,20,104.75
2018-11-22T00:00:00.000+00:00,427.0,389,250,465,5bf74374fb16660022232eaf,465,430.0,389,10,367.2,430,11,429.455
2018-11-22T00:00:00.000+00:00,120.0,90,80,150,5bf74374fb16660022232eae,150,120.0,90,0,111.7,100,25,122.04
2018-11-23T00:00:00.000+00:00,412.5,380,250,465,5bf8955afb1666002224a1d6,450,419.5,375,10,380.2,450,10,415.1
2018-11-23T00:00:00.000+00:00,116.0,90,85,150,5bf8955afb1666002224a1d5,142,120.0,90,0,115.0,95,29,115.034
2018-11-24T00:00:00.000+00:00,355.0,450,260,465,5bf9e6acfb16660023291dbd,450,399.5,260,10,377.8,450,11,394.455
2018-11-24T00:00:00.000+00:00,125.0,120,85,150,5bf9e6acfb16660023291dbc,150,120.0,100,0,118.1,120,25,122.4
2018-11-25T00:00:00.000+00:00,370.0,340,260,465,5bfb385ffb16660022276b8b,400,380.0,340,10,389.8,400,9,375.444
2018-11-25T00:00:00.000+00:00,121.0,114,90,150,5bfb385ffb16660022276b8a,150,120.0,92,0,118.9,135,26,120.808
2018-11-26T00:00:00.000+00:00,365.0,300,260,450,5bfc89cefb1666002228cbdd,440,315.0,290,10,385.9,290,7,361.429
2018-11-26T00:00:00.000+00:00,134.5,140,90,150,5bfc89cefb1666002228cbdc,150,140.0,119,0,123.3,135,19,138.105
2018-11-27T00:00:00.000+00:00,380.0,321,260,450,5bfddae2fb166600222a170b,439,384.5,321,10,376.5,439,8,382.125
2018-11-27T00:00:00.000+00:00,125.0,150,92,155,5bfddae2fb166600222a170a,155,130.0,95,0,124.3,110,30,131.133
2018-11-28T00:00:00.000+00:00,375.0,400,290,440,5bff2c9cfb166600232f02b1,400,379.0,350,10,369.0,390,12,376.75
2018-11-28T00:00:00.000+00:00,130.0,139,92,155,5bff2c9cfb166600232f02b0,150,140.0,110,0,127.1,150,13,138.769
2018-11-29T00:00:00.000+00:00,385.0,420,290,440,5c007e48fb166600222ccde5,420,390.0,350,10,375.0,390,8,393.125
2018-11-29T00:00:00.000+00:00,125.0,120,95,155,5c007e48fb166600222ccde4,130,125.0,120,0,127.1,129,11,124.0
2018-11-30T00:00:00.000+00:00,405.0,390,321,439,5c01cfb8fb166600222e1e7c,420,400.0,390,10,382.0,400,8,402.375
2018-11-30T00:00:00.000+00:00,125.0,119,95,155,5c01cfb8fb166600222e1e7b,140,120.0,110,0,127.9,110,24,126.167
2018-12-01T00:00:00.000+00:00,375.0,390,300,450,5c032139fb16660023337368,450,395.0,300,10,384.0,400,17,385.353
2018-12-01T00:00:00.000+00:00,130.0,130,110,150,5c032139fb16660023337367,150,135.0,110,0,127.0,120,39,137.513
