datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,71.5,75,40,80,5be37d5afb1666002310e0cf,75,70.0,68,62.8,70,6,70.5
2018-11-08T00:00:00.000+00:00,59.5,60,47,80,5be4cebffb166600220fe061,60,60.0,59,63.9,60,3,59.667
2018-11-09T00:00:00.000+00:00,51.0,50,47,75,5be62009fb1666002313a50c,52,50.0,50,62.1,50,11,50.636
2018-11-10T00:00:00.000+00:00,51.5,60,35,75,5be771bbfb1666002315281b,68,47.5,35,58.9,50,12,49.417
2018-11-11T00:00:00.000+00:00,45.0,50,30,68,5be8c324fb16660023168c38,60,50.0,30,55.7,60,11,47.273
2018-11-12T00:00:00.000+00:00,57.5,58,30,68,5bea1517fb16660022153aec,60,58.0,55,52.9,60,13,58.538
2018-11-13T00:00:00.000+00:00,60.0,60,30,70,5beb6619fb16660022168286,70,60.0,50,53.0,70,12,62.583
2018-11-14T00:00:00.000+00:00,53.5,60,30,70,5becb80dfb166600231ac54c,62,55.0,45,53.5,45,7,54.857
2018-11-15T00:00:00.000+00:00,60.0,75,45,75,5bee0987fb166600231c2c5d,75,62.5,45,55.2,45,4,61.25
2018-11-16T00:00:00.000+00:00,51.0,49,35,75,5bef5b15fb166600231d9b57,67,50.0,35,56.4,40,11,52.455
2018-11-17T00:00:00.000+00:00,55.0,58,35,75,5bf0ac9afb166600231f0fd4,70,50.0,40,55.9,50,19,51.947
2018-11-18T00:00:00.000+00:00,57.5,53,35,75,5bf1fe05fb166600221d9c90,65,55.0,50,55.4,60,14,56.286
2018-11-19T00:00:00.000+00:00,77.5,60,35,100,5bf34f85fb166600221f0784,100,60.0,55,60.2,60,10,63.4
2018-11-20T00:00:00.000+00:00,55.0,60,40,100,5bf4a0dcfb16660023235a3e,60,60.0,50,59.2,50,5,57.0
2018-11-21T00:00:00.000+00:00,52.0,69,35,100,5bf5f25efb1666002221dbc9,69,59.0,35,59.4,59,5,52.4
2018-11-22T00:00:00.000+00:00,52.5,60,35,100,5bf74373fb16660022232e84,65,55.0,40,58.9,40,8,54.375
2018-11-23T00:00:00.000+00:00,62.5,60,35,75,5bf89558fb1666002224a1ad,75,60.0,50,59.9,66,10,60.6
2018-11-24T00:00:00.000+00:00,72.5,75,35,75,5bf9e6abfb16660023291d91,75,72.5,70,58.9,70,2,72.5
2018-11-25T00:00:00.000+00:00,74.0,65,40,88,5bfb385dfb16660022276b5e,88,70.0,60,62.7,75,4,72.0
2018-11-26T00:00:00.000+00:00,69.0,47,40,98,5bfc89cdfb1666002228cbb1,98,70.0,40,66.1,95,8,70.0
2018-11-27T00:00:00.000+00:00,65.0,80,40,98,5bfddae1fb166600222a16e2,80,65.0,50,68.6,50,2,65.0
2018-11-28T00:00:00.000+00:00,77.5,70,40,98,5bff2c9bfb166600232f0287,95,70.0,60,71.6,90,6,75.833
2018-11-29T00:00:00.000+00:00,87.5,80,40,98,5c007e47fb166600222ccdb7,95,82.5,80,74.6,95,4,85.0
2018-11-30T00:00:00.000+00:00,75.0,70,50,95,5c01cfb7fb166600222e1e51,80,70.0,70,74.8,80,3,73.333
