datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,10,10,12,5be37d24fb1666002310d7e0,10,10.0,10,0,,10,1,10.0
2018-11-08T00:00:00.000+00:00,15.0,15,10,15,5be4ce7afb16660023123c08,15,15.0,15,0,,15,1,15.0
2018-11-09T00:00:00.000+00:00,16.0,16,10,16,5be61fbbfb16660023139c49,16,16.0,16,0,,16,1,16.0
2018-11-12T00:00:00.000+00:00,12.0,12,10,16,5bea14a5fb16660022152e7b,12,12.0,12,0,13.0,12,1,12.0
2018-11-14T00:00:00.000+00:00,14.0,14,12,16,5becb7cdfb1666002217e8f5,14,14.0,14,0,13.4,14,1,14.0
2018-11-16T00:00:00.000+00:00,14.5,15,12,16,5bef5acbfb166600231d9228,15,14.5,14,0,14.3,14,2,14.5
2018-11-17T00:00:00.000+00:00,13.0,13,12,15,5bf0ac53fb166600231f0697,13,13.0,13,0,13.9,13,1,13.0
2018-11-20T00:00:00.000+00:00,12.0,12,12,15,5bf4a0a1fb1666002323514a,12,12.0,12,0,13.1,12,1,12.0
2018-11-23T00:00:00.000+00:00,12.0,12,12,15,5bf894dffb166600222490db,12,12.0,12,0,13.1,12,1,12.0
2018-11-26T00:00:00.000+00:00,15.0,15,12,15,5bfc899ffb166600232c0fa8,15,15.0,15,0,13.3,15,2,15.0
2018-11-28T00:00:00.000+00:00,20.0,20,20,20,5bff2c40fb166600222b644a,20,20.0,20,3,,20,4,20.0
2018-12-06T00:00:00.000+00:00,18.0,18,12,18,5c09b89f3ae3e800234e394e,18,18.0,18,0,14.0,18,1,18.0
2018-12-14T00:00:00.000+00:00,14.0,14,12,18,5c1444df3ae3e800245a8bf2,14,14.0,14,0,14.2,14,1,14.0
2018-12-16T00:00:00.000+00:00,16.0,16,14,18,5c16e7393ae3e800245d9506,16,16.0,16,0,15.0,16,1,16.0
2018-12-18T00:00:00.000+00:00,20.0,20,14,20,5c198a873ae3e800235fe820,20,20.0,20,0,16.6,20,1,20.0
2018-12-21T00:00:00.000+00:00,15.0,15,14,20,5c1d7f543ae3e8002465aa3a,15,15.0,15,0,16.6,15,1,15.0
2018-12-23T00:00:00.000+00:00,15.0,15,15,20,5c2021c03ae3e8002367c7a8,15,15.0,15,3,,15,1,15.0
2018-12-26T00:00:00.000+00:00,15.0,15,15,20,5c24163a3ae3e800246dc3e9,15,15.0,15,0,16.0,15,1,15.0
2018-12-30T00:00:00.000+00:00,10.0,10,10,20,5c295c393ae3e80024747ab3,10,10.0,10,0,15.2,10,1,10.0
2019-01-01T00:00:00.000+00:00,15.0,15,15,20,5c2bffaf3ae3e80023766743,15,15.0,15,3,,15,1,15.0
2019-01-03T00:00:00.000+00:00,1.0,1,1,15,5c2ea28f3ae3e80023799520,1,1.0,1,0,12.2,1,1,1.0
2019-01-06T00:00:00.000+00:00,10.5,8,1,15,5c32970e3ae3e800248051d7,13,10.5,8,0,10.3,13,2,10.5
2019-01-12T00:00:00.000+00:00,15.0,15,15,20,5c3a80453ae3e8002388c926,15,15.0,15,3,,15,1,15.0
2019-01-17T00:00:00.000+00:00,10.0,10,1,13,5c4117383ae3e80023911ac5,10,10.0,10,0,9.3,10,1,10.0
2019-01-19T00:00:00.000+00:00,13.0,13,1,13,5c43ba783ae3e8002497107a,13,13.0,13,0,8.9,13,1,13.0
2019-01-20T00:00:00.000+00:00,10.0,10,8,13,5c450bf73ae3e800239660f3,10,10.0,10,0,8.9,10,2,10.0
2019-01-22T00:00:00.000+00:00,18.0,18,10,18,5c47aef03ae3e800249c78d2,18,18.0,18,0,12.3,18,1,18.0
2019-02-01T00:00:00.000+00:00,15.0,15,10,18,5c54de143ae3e80024ae476b,15,15.0,15,0,13.2,15,2,15.0
