datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,5.0,5,3,8,5be37d5ffb166600220e9c62,7,5.0,3,5.3,4,22,5.136
2018-11-08T00:00:00.000+00:00,4.0,3,3,8,5be4cec6fb1666002312468d,5,4.0,3,5.0,3,12,4.083
2018-11-09T00:00:00.000+00:00,4.5,5,3,7,5be62016fb16660022111cc5,5,4.5,4,4.9,4,12,4.5
2018-11-10T00:00:00.000+00:00,5.5,4,3,7,5be771c2fb166600221280fd,7,5.0,4,4.8,5,21,4.952
2018-11-11T00:00:00.000+00:00,9.0,5,3,15,5be8c335fb1666002213e0d5,15,5.0,3,5.6,5,51,5.078
2018-11-12T00:00:00.000+00:00,4.5,4,3,15,5bea1519fb16660022153b47,6,5.0,3,5.5,5,32,4.531
2018-11-13T00:00:00.000+00:00,4.5,5,2,15,5beb662dfb166600231959c3,7,5.0,2,5.6,5,25,4.8
2018-11-14T00:00:00.000+00:00,5.5,5,2,15,5becb80ffb166600231ac5a5,9,5.0,2,5.8,4,33,5.242
2018-11-15T00:00:00.000+00:00,7.0,6,2,10,5bee098efb16660022194afe,10,5.0,4,6.1,5,30,5.533
2018-11-16T00:00:00.000+00:00,5.5,5,2,10,5bef5b23fb166600221ab1f8,7,5.0,4,5.4,7,30,5.133
2018-11-17T00:00:00.000+00:00,5.0,5,2,10,5bf0aca4fb166600221c293b,7,5.0,3,5.5,5,41,5.293
2018-11-18T00:00:00.000+00:00,6.0,7,3,10,5bf1fe16fb166600232085e9,8,6.0,4,5.8,5,42,6.0
2018-11-19T00:00:00.000+00:00,5.5,5,3,8,5bf34f90fb1666002321f18c,7,6.0,4,5.8,4,25,5.6
2018-11-20T00:00:00.000+00:00,5.0,4,3,8,5bf4a0e6fb16660022207386,7,5.0,3,5.4,5,22,5.091
2018-11-21T00:00:00.000+00:00,4.5,5,2,8,5bf5f26afb1666002221dcc5,7,5.0,2,5.2,5,30,4.9
2018-11-22T00:00:00.000+00:00,4.0,5,2,7,5bf7437efb166600232634f1,6,5.0,2,5.0,6,28,4.964
2018-11-23T00:00:00.000+00:00,6.5,7,2,10,5bf8955ffb1666002327a86f,10,5.0,3,5.1,4,25,5.32
2018-11-24T00:00:00.000+00:00,5.0,4,2,10,5bf9e6d1fb16660023292358,7,5.0,3,5.0,5,35,5.171
2018-11-25T00:00:00.000+00:00,7.0,7,2,10,5bfb3864fb166600232aa86d,10,5.0,4,5.4,5,37,5.351
2018-11-26T00:00:00.000+00:00,5.5,5,3,10,5bfc89d5fb166600232c187b,7,5.0,4,5.6,5,22,4.955
2018-11-27T00:00:00.000+00:00,5.0,5,3,10,5bfddaeafb166600232d8323,7,5.0,3,5.8,4,19,4.947
2018-11-28T00:00:00.000+00:00,6.0,5,3,10,5bff2cb5fb166600232f060c,7,5.0,5,5.7,5,20,5.4
2018-11-29T00:00:00.000+00:00,5.5,6,3,7,5c007e51fb16660023308167,7,5.0,4,5.8,5,22,5.091
2018-11-30T00:00:00.000+00:00,5.5,5,2,9,5c01cfc8fb1666002331fb95,9,5.0,2,5.5,6,33,5.303
2018-12-01T00:00:00.000+00:00,4.5,5,1,9,5c03215bfb166600222f8d11,8,5.0,1,5.3,6,39,4.692
2018-12-02T00:00:00.000+00:00,4.5,5,1,9,5c0472d8fb1666002334e9b0,8,5.0,1,5.2,5,25,4.96
2018-12-03T00:00:00.000+00:00,5.0,6,1,9,5c05c44dfb16660022324e2b,7,5.0,3,5.0,7,18,4.778
2018-12-04T00:00:00.000+00:00,4.0,5,1,8,5c071575fb1666002337aa3b,5,4.0,3,4.7,4,23,4.435
2018-12-05T00:00:00.000+00:00,4.5,5,1,8,5c086725fb166600223515a8,6,5.0,3,4.5,4,16,4.75
2018-12-06T00:00:00.000+00:00,5.0,4,3,7,5c09b8e23ae3e800244e4780,7,5.0,3,4.6,4,17,4.588
2018-12-07T00:00:00.000+00:00,4.5,4,3,7,5c0b0a483ae3e800234fa084,5,4.0,4,4.6,4,11,4.455
2018-12-08T00:00:00.000+00:00,5.0,3,2,8,5c0c5b843ae3e80023510089,8,5.0,2,4.6,6,42,4.714
2018-12-09T00:00:00.000+00:00,5.0,4,2,8,5c0dad253ae3e8002452bd07,7,5.0,3,4.8,4,25,4.84
2018-12-10T00:00:00.000+00:00,4.5,6,2,8,5c0efe763ae3e8002353dc5c,6,5.0,3,4.8,5,20,4.75
2018-12-11T00:00:00.000+00:00,5.0,5,2,8,5c1050673ae3e800235554d6,7,5.0,3,4.8,5,20,5.0
2018-12-12T00:00:00.000+00:00,5.5,5,3,7,5c11a1b73ae3e8002356c9f7,7,5.0,4,5.0,4,21,4.667
2018-12-13T00:00:00.000+00:00,5.0,6,3,7,5c12f34a3ae3e800235835c5,7,5.0,3,5.0,5,13,4.923
