datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-12-20T00:00:00.000+00:00,20.0,20,20,20,5c1c2e233ae3e800236315ad,20,20.0,20,0,,20,1,20.0
2018-12-21T00:00:00.000+00:00,30.0,20,20,40,5c1d7fb63ae3e8002465b84d,40,20.0,20,0,,40,3,26.667
2018-12-22T00:00:00.000+00:00,25.0,30,20,40,5c1ed1203ae3e80023663fb7,30,20.0,20,0,,30,5,24.0
2018-12-23T00:00:00.000+00:00,22.5,25,20,40,5c2022283ae3e8002468f430,25,25.0,20,0,,25,3,23.333
2018-12-24T00:00:00.000+00:00,60.0,60,60,60,5c2173953ae3e800246a989a,60,60.0,60,5,,60,1,60.0
2018-12-24T00:00:00.000+00:00,30.0,35,10,50,5c2173953ae3e800246a9899,50,35.0,10,0,25.5,18,7,31.857
2018-12-25T00:00:00.000+00:00,30.0,20,10,50,5c22c58a3ae3e800246c3c71,40,27.0,20,0,27.5,40,4,28.5
2018-12-26T00:00:00.000+00:00,25.0,25,10,50,5c2416c33ae3e800246dd621,25,25.0,25,0,26.5,25,1,25.0
2018-12-27T00:00:00.000+00:00,60.0,60,60,60,5c2568af3ae3e800236e428c,60,60.0,60,5,,60,1,60.0
2018-12-27T00:00:00.000+00:00,15.0,25,5,50,5c2568af3ae3e800236e428b,25,15.0,5,0,24.5,10,4,15.0
2018-12-28T00:00:00.000+00:00,30.0,40,5,40,5c26b9a03ae3e800247123df,40,32.5,20,0,26.0,40,4,31.25
2018-12-31T00:00:00.000+00:00,22.5,25,5,40,5c2aae103ae3e800247637e2,25,22.5,20,0,24.5,20,2,22.5
2019-01-01T00:00:00.000+00:00,25.0,25,5,40,5c2c00133ae3e8002477e1a6,25,25.0,25,0,23.5,25,1,25.0
2019-01-02T00:00:00.000+00:00,50.0,50,50,60,5c2d51b03ae3e800247998a2,50,50.0,50,5,,50,1,50.0
