datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,11.5,10,5,15,5be37cf9fb166600220e8d6a,15,10.0,8,0,10.7,10,28,10.286
2018-11-08T00:00:00.000+00:00,25.0,25,20,39,5be4ce23fb16660023122e79,25,25.0,25,5,25.4,25,1,25.0
2018-11-08T00:00:00.000+00:00,10.0,8,8,15,5be4ce23fb16660023122e78,12,10.0,8,0,10.7,10,32,10.125
2018-11-09T00:00:00.000+00:00,8.0,5,5,39,5be61f8ffb16660022110db3,11,10.0,5,5,22.0,11,6,9.333
2018-11-09T00:00:00.000+00:00,12.0,12,8,15,5be61f8ffb16660022110db2,15,12.0,9,0,11.1,9,29,11.552
2018-11-10T00:00:00.000+00:00,19.5,12,5,30,5be77132fb16660022126ade,29,12.0,10,5,21.4,10,8,15.875
2018-11-10T00:00:00.000+00:00,11.5,10,8,15,5be77132fb16660022126add,15,11.0,8,0,11.0,8,66,11.682
2018-11-11T00:00:00.000+00:00,32.5,30,5,35,5be8c28afb166600231676ce,35,32.5,30,5,22.0,35,2,32.5
2018-11-11T00:00:00.000+00:00,10.0,10,8,15,5be8c28afb166600231676cd,12,10.0,8,0,11.0,9,67,10.194
2018-11-12T00:00:00.000+00:00,30.0,30,5,35,5bea140bfb1666002317e23b,30,30.0,30,5,23.0,30,1,30.0
2018-11-12T00:00:00.000+00:00,11.0,15,5,17,5bea140bfb1666002317e23a,17,10.0,5,0,10.9,10,39,11.026
2018-11-13T00:00:00.000+00:00,24.5,34,10,35,5beb658ffb16660023194aac,34,29.0,15,5,22.9,15,3,26.0
2018-11-13T00:00:00.000+00:00,11.0,10,5,17,5beb658ffb16660023194aab,13,10.0,9,0,11.1,11,35,10.571
2018-11-14T00:00:00.000+00:00,20.0,20,15,35,5becb78cfb166600231ab561,20,20.0,20,5,25.3,20,1,20.0
2018-11-14T00:00:00.000+00:00,12.0,12,5,17,5becb78cfb166600231ab560,15,12.0,9,0,11.1,12,45,12.222
2018-11-15T00:00:00.000+00:00,25.0,25,15,34,5bee08d9fb166600231c1813,25,25.0,25,5,26.4,25,1,25.0
2018-11-15T00:00:00.000+00:00,11.5,10,5,17,5bee08d9fb166600231c1812,15,13.0,8,0,11.1,8,51,12.49
2018-11-16T00:00:00.000+00:00,15.5,20,5,34,5bef5aa0fb166600221aa23c,26,20.0,5,5,23.0,26,4,17.75
2018-11-16T00:00:00.000+00:00,11.5,10,8,15,5bef5aa0fb166600221aa23b,15,10.0,8,0,11.4,12,52,11.038
2018-11-17T00:00:00.000+00:00,21.5,13,5,30,5bf0ac20fb166600221c195e,30,21.5,13,5,21.3,30,2,21.5
2018-11-17T00:00:00.000+00:00,12.5,10,5,20,5bf0ac20fb166600221c195d,20,10.0,5,0,11.7,13,65,11.262
2018-11-18T00:00:00.000+00:00,25.0,15,5,35,5bf1fd0efb16660023206b50,35,24.0,15,5,21.4,20,4,24.5
2018-11-18T00:00:00.000+00:00,12.0,10,5,20,5bf1fd0efb16660023206b4f,15,12.0,9,0,11.9,12,53,11.83
2018-11-19T00:00:00.000+00:00,22.5,35,5,35,5bf34f15fb1666002321e1f2,35,35.0,10,5,21.9,35,4,28.75
2018-11-19T00:00:00.000+00:00,11.5,14,5,20,5bf34f15fb1666002321e1f1,15,13.0,8,0,11.8,13,63,12.222
2018-11-20T00:00:00.000+00:00,32.5,35,10,35,5bf4a07cfb1666002220642e,35,30.0,30,5,23.4,30,4,31.25
2018-11-20T00:00:00.000+00:00,10.5,10,5,20,5bf4a07cfb1666002220642d,12,10.0,9,0,11.6,10,47,10.213
2018-11-21T00:00:00.000+00:00,25.0,25,10,40,5bf5f1a1fb1666002324b385,40,25.0,10,5,25.3,30,5,24.0
2018-11-21T00:00:00.000+00:00,11.5,8,8,15,5bf5f1a1fb1666002324b384,15,12.0,8,0,11.6,10,42,11.905
2018-11-22T00:00:00.000+00:00,35.0,30,10,40,5bf74308fb16660022232014,40,34.0,30,5,28.0,34,5,33.8
2018-11-22T00:00:00.000+00:00,11.5,12,8,15,5bf74308fb16660022232013,15,12.0,8,0,11.4,14,36,11.694
2018-11-23T00:00:00.000+00:00,30.0,40,10,50,5bf89487fb16660022248391,50,25.0,10,5,29.0,20,8,26.25
2018-11-23T00:00:00.000+00:00,11.5,13,8,15,5bf89487fb16660022248390,15,12.0,8,0,11.3,10,48,12.542
2018-11-24T00:00:00.000+00:00,22.5,15,10,50,5bf9e609fb1666002225ebe5,30,22.5,15,5,29.0,30,2,22.5
2018-11-24T00:00:00.000+00:00,13.5,12,8,15,5bf9e609fb1666002225ebe4,15,14.0,12,0,11.7,12,49,13.735
2018-11-25T00:00:00.000+00:00,25.0,40,10,50,5bfb37cffb166600232a919b,40,27.5,10,5,27.5,20,4,26.25
2018-11-25T00:00:00.000+00:00,13.0,14,8,15,5bfb37cffb166600232a919a,15,14.0,11,0,12.2,13,60,13.633
2018-11-26T00:00:00.000+00:00,29.0,34,10,50,5bfc8907fb1666002228af59,34,30.0,24,5,28.3,24,3,29.333
2018-11-26T00:00:00.000+00:00,11.0,15,7,15,5bfc8907fb1666002228af58,15,15.0,7,0,12.1,10,52,13.673
2018-11-27T00:00:00.000+00:00,20.0,10,10,40,5bfdda88fb166600222a08d4,30,18.5,10,5,25.3,30,4,19.25
2018-11-27T00:00:00.000+00:00,13.5,15,7,15,5bfdda88fb166600222a08d3,15,14.0,12,0,12.5,12,31,14.097
2018-11-28T00:00:00.000+00:00,32.0,35,10,40,5bff2c08fb166600232eedb9,35,32.0,29,5,25.7,29,2,32.0
2018-11-28T00:00:00.000+00:00,13.5,12,7,15,5bff2c08fb166600232eedb8,15,14.0,12,0,12.9,15,27,14.0
2018-11-29T00:00:00.000+00:00,30.0,30,10,35,5c007de5fb166600222cbeca,30,30.0,30,5,27.2,30,2,30.0
