datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,35.0,35,25,40,5be4ce9cfb166600231240ba,35,35.0,35,,35,1,35.0
2018-11-10T00:00:00.000+00:00,20.0,20,20,40,5be7719bfb16660023152328,20,20.0,20,,20,1,20.0
2018-11-12T00:00:00.000+00:00,49.0,49,20,49,5bea14f0fb1666002317f938,49,49.0,49,33.3,49,1,49.0
2018-11-13T00:00:00.000+00:00,35.0,35,20,49,5beb65f8fb16660023195563,35,35.0,35,35.3,35,1,35.0
2018-11-15T00:00:00.000+00:00,40.0,40,20,49,5bee0956fb16660022194502,40,40.0,40,35.8,40,1,40.0
2018-11-18T00:00:00.000+00:00,35.0,35,35,49,5bf1fdd5fb16660023207f8e,35,35.0,35,35.8,35,1,35.0
2018-11-20T00:00:00.000+00:00,40.0,40,35,40,5bf4a0c6fb16660022206f19,40,40.0,40,39.8,40,1,40.0
2018-11-21T00:00:00.000+00:00,25.0,25,25,40,5bf5f23efb1666002324c928,25,25.0,25,35.0,25,2,25.0
2018-11-22T00:00:00.000+00:00,30.0,30,25,40,5bf7435dfb16660023263059,30,30.0,30,34.0,30,1,30.0
2018-11-23T00:00:00.000+00:00,25.0,25,25,40,5bf8953bfb16660022249d0d,25,25.0,25,31.0,25,1,25.0
2018-11-24T00:00:00.000+00:00,35.0,35,25,35,5bf9e683fb1666002225fcd7,35,35.0,35,31.0,35,1,35.0
2018-11-25T00:00:00.000+00:00,38.0,38,25,38,5bfb3840fb166600222766b7,38,38.0,38,30.6,38,1,38.0
2018-11-29T00:00:00.000+00:00,25.0,25,25,38,5c007e34fb16660023307cd6,25,25.0,25,30.6,25,1,25.0
2018-11-30T00:00:00.000+00:00,34.0,34,25,38,5c01cf9bfb166600222e19b2,34,34.0,34,31.4,34,1,34.0
2018-12-04T00:00:00.000+00:00,35.0,35,25,38,5c071556fb1666002337a5c7,35,35.0,35,33.4,35,1,35.0
2018-12-06T00:00:00.000+00:00,35.0,40,25,40,5c09b8c43ae3e800244e42eb,40,35.0,30,33.4,30,2,35.0
2018-12-13T00:00:00.000+00:00,20.0,20,20,40,5c12f2ff3ae3e80023582a92,20,20.0,20,29.8,20,2,20.0
2018-12-14T00:00:00.000+00:00,30.0,30,20,40,5c1445063ae3e800245a9220,30,30.0,30,30.8,30,1,30.0
2018-12-16T00:00:00.000+00:00,25.0,30,20,40,5c16e7683ae3e800235ce6ee,30,25.0,20,29.0,20,2,25.0
2018-12-20T00:00:00.000+00:00,36.0,36,20,36,5c1c2ddf3ae3e80023630c31,36,36.0,36,29.2,36,1,36.0
2018-12-21T00:00:00.000+00:00,35.0,30,20,40,5c1d7f713ae3e8002364a99c,40,35.0,30,29.2,40,2,35.0
2018-12-22T00:00:00.000+00:00,30.0,30,20,40,5c1ed0bf3ae3e8002366318c,30,30.0,30,31.2,30,2,30.0
2018-12-23T00:00:00.000+00:00,30.0,30,30,40,5c2021ef3ae3e8002367ce55,30,30.0,30,31.2,30,2,30.0
2018-12-24T00:00:00.000+00:00,35.0,40,30,40,5c2173633ae3e80023696ff3,40,30.0,30,33.2,30,3,33.333
2018-12-25T00:00:00.000+00:00,30.0,30,30,40,5c22c5313ae3e800246c3082,30,30.0,30,32.0,30,1,30.0
2018-12-26T00:00:00.000+00:00,30.0,30,30,40,5c2416653ae3e800246dca81,30,30.0,30,31.0,30,1,30.0
2018-12-27T00:00:00.000+00:00,30.0,30,30,40,5c2568773ae3e800246f7f0c,30,30.0,30,31.0,30,1,30.0
2018-12-29T00:00:00.000+00:00,30.0,30,30,30,5c280b793ae3e8002472d9d0,30,30.0,30,31.0,30,1,30.0
2018-12-30T00:00:00.000+00:00,30.0,30,30,30,5c295c663ae3e80023731acd,30,30.0,30,30.0,30,1,30.0
2019-01-01T00:00:00.000+00:00,42.5,50,30,50,5c2bffdf3ae3e80023766df9,50,42.5,35,32.5,35,2,42.5
2019-01-03T00:00:00.000+00:00,31.0,31,30,50,5c2ea2ac3ae3e800247b369e,31,31.0,31,32.7,31,1,31.0
2019-01-07T00:00:00.000+00:00,30.0,30,30,50,5c33e8e13ae3e800238061ce,30,30.0,30,32.7,30,1,30.0
2019-01-09T00:00:00.000+00:00,30.0,30,30,50,5c368bf23ae3e8002383bfb0,30,30.0,30,32.7,30,1,30.0
2019-01-10T00:00:00.000+00:00,28.0,28,28,31,5c37dd4b3ae3e800238560f0,28,28.0,28,32.3,28,1,28.0
2019-01-13T00:00:00.000+00:00,38.0,38,28,38,5c3bd1aa3ae3e800238a7ee9,38,38.0,38,31.4,38,1,38.0
2019-01-14T00:00:00.000+00:00,30.0,30,28,38,5c3d23233ae3e800248e556d,30,30.0,30,31.2,30,1,30.0
2019-01-17T00:00:00.000+00:00,30.0,30,28,38,5c4117d93ae3e80024939b08,30,30.0,30,31.2,30,1,30.0
2019-01-19T00:00:00.000+00:00,30.0,30,30,38,5c43baa93ae3e8002394b8b7,30,30.0,30,31.2,30,1,30.0
2019-01-22T00:00:00.000+00:00,50.0,50,30,50,5c47af2f3ae3e8002399ea91,50,50.0,50,35.6,50,1,50.0
2019-01-23T00:00:00.000+00:00,32.5,35,30,50,5c4900f13ae3e800239bb460,35,30.0,30,34.5,30,3,31.667
2019-01-25T00:00:00.000+00:00,30.0,30,30,50,5c4ba38b3ae3e80024a1c1b9,30,30.0,30,34.5,30,2,30.0
2019-01-28T00:00:00.000+00:00,32.0,30,15,50,5c4f986f3ae3e80024a72d0e,49,30.0,15,34.9,49,3,31.333
