datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,11.5,10,8,15.0,5be37d1bfb166600220e91c3,15.0,13.0,8,12.3,12.0,16,12.688
2018-11-08T00:00:00.000+00:00,10.5,11,7,15.0,5be4ce6bfb166600220fd2c6,14.0,10.0,7,11.7,10.0,14,10.357
2018-11-09T00:00:00.000+00:00,12.5,11,7,15.0,5be61fb6fb1666002211120d,15.0,11.5,10,11.7,15.0,10,12.1
2018-11-10T00:00:00.000+00:00,10.5,10,7,15.0,5be77166fb16660023151a33,13.0,9.0,8,11.3,10.0,8,9.5
2018-11-11T00:00:00.000+00:00,10.5,10,7,15.0,5be8c2a9fb16660023167b46,12.0,10.0,9,11.1,10.0,11,10.364
2018-11-12T00:00:00.000+00:00,10.5,8,8,15.0,5bea1474fb1666002317ed0b,13.0,10.0,8,10.9,10.0,16,10.438
2018-11-13T00:00:00.000+00:00,10.0,8,5,15.0,5beb65bdfb16660023194efe,15.0,10.0,5,10.8,5.0,20,10.25
2018-11-14T00:00:00.000+00:00,10.5,7,5,15.0,5becb7bafb166600231aba51,15.0,10.0,6,10.4,10.0,17,10.176
2018-11-15T00:00:00.000+00:00,9.5,9,5,15.0,5bee08fcfb166600231c1c8b,10.0,10.0,9,10.2,9.0,12,9.583
2018-11-16T00:00:00.000+00:00,10.5,10,5,15.0,5bef5ac5fb166600221aa6d8,12.0,10.0,9,10.2,10.0,19,9.947
2018-11-17T00:00:00.000+00:00,9.5,10,5,15.0,5bf0ac47fb166600221c1ded,14.0,10.0,5,10.0,12.0,31,9.935
2018-11-18T00:00:00.000+00:00,9.5,10,5,14.0,5bf1fd3dfb166600221d85be,10.0,10.0,9,9.9,10.0,11,9.727
2018-11-19T00:00:00.000+00:00,10.5,10,5,14.0,5bf34f39fb1666002321e674,12.0,10.0,9,9.9,10.0,12,10.25
2018-11-20T00:00:00.000+00:00,10.0,10,5,15.0,5bf4a09bfb166600222068ad,15.0,10.0,5,10.0,10.0,12,10.083
2018-11-21T00:00:00.000+00:00,10.0,9,5,15.0,5bf5f1dcfb1666002324bb5b,15.0,10.0,5,9.9,8.0,15,9.733
2018-11-22T00:00:00.000+00:00,10.5,9,5,15.0,5bf74330fb1666002223249e,12.0,10.0,9,10.1,9.0,18,9.778
2018-11-23T00:00:00.000+00:00,14.5,10,5,20.0,5bf894c5fb16660022248cc8,20.0,10.0,9,11.1,10.0,14,11.429
2018-11-24T00:00:00.000+00:00,10.0,10,5,20.0,5bf9e644fb1666002225f3d9,15.0,10.0,5,11.0,10.0,28,10.071
2018-11-25T00:00:00.000+00:00,10.0,15,5,20.0,5bfb380bfb166600232a9ace,15.0,10.0,5,11.0,10.0,24,10.917
2018-11-26T00:00:00.000+00:00,14.0,15,5,20.0,5bfc8941fb1666002228b868,16.0,14.5,12,11.8,13.0,17,14.353
2018-11-27T00:00:00.000+00:00,15.5,14,5,17.0,5bfddaa8fb166600222a0d46,17.0,15.0,14,12.8,15.0,6,15.167
2018-11-28T00:00:00.000+00:00,12.0,10,5,17.0,5bff2c28fb166600232ef21d,15.0,13.0,9,12.3,10.0,15,12.4
2018-11-29T00:00:00.000+00:00,14.5,15,9,17.0,5c007e0efb1666002330766d,15.0,15.0,14,13.2,14.0,3,14.667
2018-11-30T00:00:00.000+00:00,12.5,10,9,17.0,5c01cf5bfb1666002331ed0e,16.0,13.5,9,13.7,12.0,16,12.812
2018-12-01T00:00:00.000+00:00,10.0,10,5,16.0,5c0320dafb166600222f7acc,15.0,10.0,5,12.9,5.0,19,10.0
2018-12-02T00:00:00.000+00:00,11.5,14,5,16.0,5c04728efb1666002230f04e,15.0,12.0,8,12.1,10.0,24,11.667
2018-12-03T00:00:00.000+00:00,13.5,14,5,16.0,5c05c407fb166600233648c9,15.0,14.5,12,12.4,15.0,11,13.727
2018-12-04T00:00:00.000+00:00,14.0,14,5,15.0,5c071529fb16660022339752,15.0,14.0,13,12.3,14.0,14,14.286
2018-12-05T00:00:00.000+00:00,11.0,14,5,17.0,5c0866a7fb1666002338f790,17.0,11.5,5,12.0,12.0,13,11.615
2018-12-06T00:00:00.000+00:00,13.5,12,5,17.0,5c09b8983ae3e800244e3c69,15.0,13.0,12,12.7,14.0,6,13.333
2018-12-07T00:00:00.000+00:00,13.0,8,5,20.0,5c0b09ca3ae3e800244fa539,20.0,14.5,6,13.0,16.0,12,13.417
2018-12-08T00:00:00.000+00:00,15.0,14,5,20.0,5c0c5b353ae3e8002350f534,20.0,15.0,10,13.3,14.0,15,14.8
2018-12-09T00:00:00.000+00:00,16.0,10,6,25.0,5c0dacb43ae3e8002452ac96,25.0,16.0,7,13.7,7.0,23,15.609
2018-12-10T00:00:00.000+00:00,14.0,15,6,25.0,5c0efe2a3ae3e8002353d0cb,20.0,14.0,8,14.3,15.0,15,13.733
2018-12-11T00:00:00.000+00:00,14.0,20,7,25.0,5c104fac3ae3e80023553c33,20.0,12.0,8,14.4,10.0,14,11.643
2018-12-12T00:00:00.000+00:00,13.5,7,7,25.0,5c11a13a3ae3e8002356b8e8,20.0,15.0,7,14.5,10.0,22,13.727
2018-12-13T00:00:00.000+00:00,14.5,15,7,20.0,5c12f2aa3ae3e8002458f586,15.0,15.0,14,14.4,15.0,6,14.833
2018-12-14T00:00:00.000+00:00,13.5,14,7,20.0,5c1444da3ae3e8002359b536,15.0,13.0,12,13.9,13.0,10,13.2
2018-12-15T00:00:00.000+00:00,14.5,13,7,20.0,5c1595b33ae3e800245c0776,18.0,15.0,11,14.0,15.0,18,14.167
2018-12-16T00:00:00.000+00:00,12.5,13,10,18.0,5c16e7333ae3e800235cdfb3,15.0,12.0,10,13.7,14.0,20,12.5
2018-12-17T00:00:00.000+00:00,12.5,15,10,18.0,5c1839093ae3e800245f3228,15.0,13.0,10,13.5,15.0,19,12.842
2018-12-18T00:00:00.000+00:00,12.5,10,10,18.0,5c198a623ae3e800235fe3a0,15.0,11.0,10,13.1,10.0,12,11.667
2018-12-19T00:00:00.000+00:00,12.0,10,10,15.0,5c1adbb03ae3e8002361721c,14.0,10.0,10,12.8,10.0,9,11.0
2018-12-20T00:00:00.000+00:00,11.5,14,8,15.0,5c1c2d6b3ae3e8002362fbe6,15.0,11.5,8,12.2,14.0,11,11.455
2018-12-21T00:00:00.000+00:00,13.5,14,8,15.0,5c1d7f413ae3e8002364a22a,15.0,14.0,12,12.4,15.0,17,14.118
2018-12-22T00:00:00.000+00:00,14.0,14,8,15.0,5c1ed05c3ae3e80024674a33,15.0,14.0,13,12.7,15.0,10,14.3
2018-12-23T00:00:00.000+00:00,10.0,10,8,15.0,5c2021ba3ae3e8002468e471,11.0,10.0,9,12.2,10.0,7,10.0
2018-12-24T00:00:00.000+00:00,11.0,9,9,15.0,5c2173383ae3e800246a88ff,13.0,10.0,9,12.0,10.0,9,10.667
2018-12-25T00:00:00.000+00:00,13.5,15,9,15.0,5c22c4cd3ae3e800246c2387,15.0,14.0,12,12.4,15.0,18,13.889
2018-12-26T00:00:00.000+00:00,13.5,14,9,15.0,5c2416363ae3e800236c86dd,15.0,15.0,12,12.4,15.0,10,14.5
2018-12-27T00:00:00.000+00:00,11.0,12,7,15.0,5c2568413ae3e800246f7779,15.0,12.0,7,11.8,12.0,9,12.333
2018-12-28T00:00:00.000+00:00,11.0,7,7,15.0,5c26b9363ae3e800247113dd,15.0,12.0,7,12.0,14.0,26,11.731
2018-12-29T00:00:00.000+00:00,15.0,12,7,20.0,5c280b4a3ae3e80023717a26,20.0,10.0,10,12.8,10.0,23,12.0
2018-12-30T00:00:00.000+00:00,10.0,8,5,20.0,5c295c343ae3e8002373131d,15.0,12.0,5,12.1,10.0,23,11.783
2018-12-31T00:00:00.000+00:00,12.5,15,5,20.0,5c2aadb13ae3e800247627e0,15.0,13.5,10,11.9,15.0,16,13.25
2019-01-01T00:00:00.000+00:00,13.5,14,5,20.0,5c2bff873ae3e8002376612e,17.0,14.0,10,12.4,15.0,18,13.333
2019-01-02T00:00:00.000+00:00,15.0,10,5,20.0,5c2d50d93ae3e8002377ef9a,20.0,15.0,10,13.2,15.0,18,14.889
2019-01-03T00:00:00.000+00:00,14.5,14,10,20.0,5c2ea2743ae3e800247b2eea,15.0,15.0,14,13.1,14.0,10,14.7
2019-01-04T00:00:00.000+00:00,13.5,15,10,20.0,5c2ff4323ae3e800237b4633,15.0,15.0,12,13.8,15.0,15,14.333
2019-01-05T00:00:00.000+00:00,18.0,15,9,27.0,5c3145363ae3e800247e8e37,27.0,15.0,9,14.9,15.0,29,14.172
2019-01-06T00:00:00.000+00:00,14.0,10,9,27.0,5c3296d83ae3e80024804a55,18.0,14.0,10,15.0,14.0,18,13.889
2019-01-07T00:00:00.000+00:00,12.5,12,9,27.0,5c33e8b43ae3e800238059fa,15.0,13.0,10,14.5,10.0,9,12.444
2019-01-08T00:00:00.000+00:00,12.5,15,7,27.0,5c3539b33ae3e8002483b5ee,18.0,12.0,7,14.1,15.0,16,12.625
2019-01-09T00:00:00.000+00:00,12.5,10,6,19.0,5c368b863ae3e800248567a5,19.0,13.0,6,13.9,18.0,12,12.667
