datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-17T00:00:00.000+00:00,5.0,5,5,5,5bf0ac46fb166600231f0523,5,5.0,5,0,,5,2,5.0
2018-11-23T00:00:00.000+00:00,4.0,4,4,5,5bf894d6fb16660022248f66,4,4.0,4,0,,4,2,4.0
2018-12-02T00:00:00.000+00:00,4.0,4,4,5,5c04729afb1666002334df47,4,4.0,4,0,,4,2,4.0
2018-12-08T00:00:00.000+00:00,4.0,4,4,5,5c0c5b303ae3e80024512440,4,4.0,4,0,,4,1,4.0
2018-12-10T00:00:00.000+00:00,4.0,4,4,4,5c0efe253ae3e80024543414,4,4.0,4,0,4.2,4,1,4.0
2018-12-16T00:00:00.000+00:00,4.0,4,4,4,5c16e72e3ae3e800245d9342,4,4.0,4,0,4.0,4,1,4.0
2018-12-25T00:00:00.000+00:00,10.0,10,4,10,5c22c4cd3ae3e800236af62c,10,10.0,10,0,5.2,10,1,10.0
2018-12-26T00:00:00.000+00:00,10.0,10,4,10,5c24162f3ae3e800246dc228,10,10.0,10,0,6.4,10,1,10.0
2018-12-29T00:00:00.000+00:00,5.0,5,4,10,5c280b413ae3e8002472d13d,5,5.0,5,0,6.6,5,1,5.0
2018-12-31T00:00:00.000+00:00,4.0,4,4,10,5c2aadab3ae3e8002374ae1d,4,4.0,4,0,6.6,4,1,4.0
2019-01-02T00:00:00.000+00:00,9.0,10,4,10,5c2d50ec3ae3e80024797f15,10,9.0,8,0,7.6,8,2,9.0
2019-01-11T00:00:00.000+00:00,6.0,6,4,10,5c392eca3ae3e80023870ed8,6,6.0,6,0,6.8,6,1,6.0
2019-01-12T00:00:00.000+00:00,9.0,9,4,10,5c3a803a3ae3e8002388c740,9,9.0,9,0,6.6,9,1,9.0
2019-01-21T00:00:00.000+00:00,5.0,5,5,10,5c465d353ae3e80023981642,5,5.0,5,0,6.6,5,1,5.0
2019-01-22T00:00:00.000+00:00,5.0,5,5,9,5c47aee53ae3e800249c76eb,5,5.0,5,0,6.8,5,2,5.0
2019-01-27T00:00:00.000+00:00,5.0,5,5,9,5c4e46563ae3e80023a29230,5,5.0,5,0,6.0,5,1,5.0
2019-02-03T00:00:00.000+00:00,5.0,5,5,5,5c5780c23ae3e80023aea2d5,5,5.0,5,0,5.8,5,1,5.0
