datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,16.0,16,15,16,5be4ce45fb16660023123470,16,16.0,16,0,15.4,16,1,16.0
2018-11-09T00:00:00.000+00:00,16.0,16,16,16,5be61fa7fb166600231399e1,16,16.0,16,0,15.8,16,1,16.0
2018-11-10T00:00:00.000+00:00,20.0,20,20,23,5be77144fb1666002315149a,20,20.0,20,3,,20,1,20.0
2018-11-10T00:00:00.000+00:00,15.0,15,15,16,5be77144fb16660023151499,15,15.0,15,0,15.8,15,3,15.0
2018-11-11T00:00:00.000+00:00,15.0,15,15,23,5be8c29efb1666002213cb1e,15,15.0,15,3,,15,1,15.0
2018-11-11T00:00:00.000+00:00,16.0,16,15,16,5be8c29efb1666002213cb1d,16,16.0,16,0,15.8,16,2,16.0
2018-11-12T00:00:00.000+00:00,15.5,16,15,16,5bea1441fb166600221524ed,16,15.5,15,0,15.7,15,2,15.5
2018-11-13T00:00:00.000+00:00,14.0,13,13,16,5beb65aefb16660022167730,15,13.0,13,0,15.3,15,3,13.667
2018-11-14T00:00:00.000+00:00,16.0,16,13,16,5becb7bafb1666002217e696,16,16.0,16,0,15.3,16,1,16.0
2018-11-15T00:00:00.000+00:00,15.5,16,13,16,5bee08f1fb16660022193a8d,16,15.5,15,0,15.4,15,2,15.5
2018-11-17T00:00:00.000+00:00,10.0,10,10,23,5bf0ac3ffb166600231f0409,10,10.0,10,3,,10,1,10.0
2018-11-17T00:00:00.000+00:00,15.0,15,13,16,5bf0ac3ffb166600231f0408,15,15.0,15,0,15.2,15,1,15.0
2018-11-18T00:00:00.000+00:00,16.0,16,15,16,5bf1fd26fb166600221d82ad,16,16.0,16,0,15.3,16,1,16.0
2018-11-19T00:00:00.000+00:00,14.0,14,14,16,5bf34f30fb166600221efbe2,14,14.0,14,0,15.3,14,1,14.0
2018-11-20T00:00:00.000+00:00,15.0,15,10,20,5bf4a092fb16660023234ed7,15,15.0,15,3,16.6,15,1,15.0
2018-11-21T00:00:00.000+00:00,15.0,15,14,16,5bf5f1bbfb1666002221c5ff,15,15.0,15,0,15.1,15,2,15.0
2018-11-23T00:00:00.000+00:00,15.0,15,14,16,5bf894b3fb166600222489db,15,15.0,15,0,15.0,15,1,15.0
2018-11-24T00:00:00.000+00:00,13.5,14,12,15,5bf9e632fb16660023290c46,15,13.5,12,0,14.7,15,4,13.5
2018-11-25T00:00:00.000+00:00,14.5,15,10,15,5bfb37f6fb166600232a97d2,15,14.5,14,3,14.9,14,2,14.5
2018-11-25T00:00:00.000+00:00,14.0,14,12,15,5bfb37f6fb166600232a97d1,14,14.0,14,0,14.3,14,1,14.0
2018-11-27T00:00:00.000+00:00,15.0,15,10,15,5bfdda9cfb166600232d7666,15,15.0,15,3,13.9,15,1,15.0
2018-11-27T00:00:00.000+00:00,14.0,14,12,15,5bfdda9cfb166600232d7665,14,14.0,14,0,14.3,14,1,14.0
2018-11-28T00:00:00.000+00:00,10.0,10,10,15,5bff2c1cfb166600222b5fc0,10,10.0,10,0,13.3,10,1,10.0
2018-11-29T00:00:00.000+00:00,15.0,15,14,15,5c007dfcfb1666002330738a,15,15.0,15,3,13.9,15,1,15.0
2018-11-29T00:00:00.000+00:00,15.0,15,10,15,5c007dfcfb16660023307389,15,15.0,15,0,13.3,15,1,15.0
2018-11-30T00:00:00.000+00:00,15.0,15,10,15,5c01cf3bfb166600222e0d28,15,15.0,15,0,13.6,15,1,15.0
2018-12-01T00:00:00.000+00:00,14.5,14,10,15,5c0320cffb16660023336525,15,14.5,14,0,13.7,15,2,14.5
2018-12-02T00:00:00.000+00:00,15.0,15,14,15,5c047294fb1666002334de44,15,15.0,15,0,13.9,15,2,15.0
2018-12-03T00:00:00.000+00:00,16.0,16,14,16,5c05c409fb1666002232430f,16,16.0,16,0,15.1,16,1,16.0
2018-12-07T00:00:00.000+00:00,17.0,17,14,17,5c0b09a13ae3e800244f9ea7,17,17.0,17,0,15.5,17,1,17.0
2018-12-09T00:00:00.000+00:00,16.0,15,15,17,5c0daca73ae3e80023526329,17,16.0,15,0,15.7,17,3,15.667
2018-12-12T00:00:00.000+00:00,15.0,15,15,17,5c11a12b3ae3e80024574c28,15,15.0,15,0,15.8,15,1,15.0
2018-12-14T00:00:00.000+00:00,15.0,15,15,17,5c1444b73ae3e800245a8891,15,15.0,15,0,15.8,15,1,15.0
2018-12-15T00:00:00.000+00:00,14.0,13,13,17,5c1595a63ae3e800235b475e,15,14.0,13,0,15.4,15,2,14.0
2018-12-16T00:00:00.000+00:00,10.0,10,10,15,5c16e7253ae3e800245d9220,10,10.0,10,0,14.0,10,1,10.0
2018-12-17T00:00:00.000+00:00,14.0,14,10,15,5c1839093ae3e800235e6bd7,14,14.0,14,0,13.6,14,1,14.0
2018-12-18T00:00:00.000+00:00,20.0,20,10,20,5c198a4c3ae3e8002460c374,20,20.0,20,0,14.6,20,1,20.0
2018-12-19T00:00:00.000+00:00,13.0,13,13,15,5c1adba33ae3e800246258b4,13,13.0,13,3,14.5,13,1,13.0
2018-12-21T00:00:00.000+00:00,18.5,17,10,20,5c1d7f413ae3e8002465a739,20,18.5,17,0,15.3,20,2,18.5
2018-12-22T00:00:00.000+00:00,14.5,15,14,20,5c1ed0463ae3e800246746c2,15,14.5,14,0,15.4,14,2,14.5
2018-12-23T00:00:00.000+00:00,15.0,15,14,20,5c2021ad3ae3e8002367c4b0,15,15.0,15,0,16.4,15,1,15.0
2018-12-24T00:00:00.000+00:00,17.5,20,14,20,5c2173293ae3e80023696673,20,17.5,15,0,17.1,15,2,17.5
2018-12-25T00:00:00.000+00:00,12.5,10,10,20,5c22c4a83ae3e800236af188,15,12.5,10,0,15.6,15,2,12.5
2018-12-26T00:00:00.000+00:00,20.0,20,13,20,5c2416283ae3e800246dc102,20,20.0,20,3,15.5,20,1,20.0
2018-12-27T00:00:00.000+00:00,15.0,15,13,20,5c2568313ae3e800236e30e4,15,15.0,15,3,15.6,15,2,15.0
2018-12-28T00:00:00.000+00:00,14.0,14,10,20,5c26b9213ae3e800236fbd74,14,14.0,14,0,14.7,14,1,14.0
2018-12-29T00:00:00.000+00:00,15.0,15,13,20,5c280b393ae3e8002472d013,15,15.0,15,3,15.6,15,1,15.0
2018-12-29T00:00:00.000+00:00,18.0,18,10,20,5c280b393ae3e8002472d012,18,18.0,18,0,15.4,18,1,18.0
2018-12-30T00:00:00.000+00:00,15.0,15,10,18,5c295c253ae3e800247477b7,15,15.0,15,0,15.4,15,1,15.0
2018-12-31T00:00:00.000+00:00,20.0,20,15,20,5c2aada43ae3e8002374acee,20,20.0,20,3,16.6,20,1,20.0
2018-12-31T00:00:00.000+00:00,16.5,20,13,20,5c2aada43ae3e8002374aced,20,17.0,13,0,15.2,17,3,16.667
2019-01-02T00:00:00.000+00:00,20.0,20,15,20,5c2d50c53ae3e80024797a38,20,20.0,20,3,18.0,20,1,20.0
2019-01-02T00:00:00.000+00:00,17.5,20,13,20,5c2d50c53ae3e80024797a37,20,17.5,15,0,16.2,15,2,17.5
2019-01-04T00:00:00.000+00:00,11.5,13,10,20,5c2ff4213ae3e800247ce590,13,11.5,10,0,15.7,10,2,11.5
2019-01-05T00:00:00.000+00:00,13.5,12,10,20,5c3145283ae3e800237ceedd,15,13.5,12,0,14.8,15,3,13.0
2019-01-06T00:00:00.000+00:00,16.5,15,10,20,5c3296c23ae3e800248046ba,20,15.0,13,0,15.1,13,3,16.0
2019-01-07T00:00:00.000+00:00,18.5,20,10,20,5c33e8a93ae3e80024820e9b,20,18.5,17,0,15.5,17,2,18.5
2019-01-09T00:00:00.000+00:00,17.0,19,12,20,5c368b883ae3e8002383b1cc,19,17.0,15,0,15.4,15,2,17.0
2019-01-10T00:00:00.000+00:00,20.0,20,15,20,5c37dcbc3ae3e80023854af5,20,20.0,20,3,18.0,20,1,20.0
2019-01-11T00:00:00.000+00:00,15.0,15,13,20,5c392ec23ae3e80023870d89,15,15.0,15,0,16.1,15,1,15.0
2019-01-12T00:00:00.000+00:00,15.0,10,10,20,5c3a80323ae3e8002388c5f8,20,15.0,10,0,16.4,20,4,15.0
2019-01-13T00:00:00.000+00:00,15.0,15,10,20,5c3bd1283ae3e800238a6cb4,15,15.0,15,0,16.1,15,1,15.0
2019-01-15T00:00:00.000+00:00,20.0,20,10,20,5c3e74273ae3e800248ffd79,20,20.0,20,0,16.4,20,1,20.0
2019-01-17T00:00:00.000+00:00,15.0,15,10,20,5c4117273ae3e8002391179d,15,15.0,15,0,16.0,15,1,15.0
2019-01-18T00:00:00.000+00:00,17.5,20,15,20,5c4268a33ae3e8002495418a,20,17.5,15,0,16.5,15,2,17.5
2019-01-19T00:00:00.000+00:00,15.0,15,15,20,5c43ba443ae3e80024970973,15,15.0,15,0,16.5,15,2,15.0
2019-01-20T00:00:00.000+00:00,14.0,14,14,20,5c450bb03ae3e8002498ec51,14,14.0,14,3,17.8,14,1,14.0
2019-01-21T00:00:00.000+00:00,15.0,15,15,20,5c465d2c3ae3e800239814fe,15,15.0,15,0,16.5,15,1,15.0
2019-01-23T00:00:00.000+00:00,35.0,35,14,35,5c4900b33ae3e800249e4483,35,35.0,35,3,21.8,35,1,35.0
2019-01-24T00:00:00.000+00:00,17.5,20,15,20,5c4a51a63ae3e800239d5411,20,15.0,15,0,16.0,15,7,18.571
2019-01-25T00:00:00.000+00:00,15.0,15,15,20,5c4ba3313ae3e800239f0b19,15,15.0,15,0,16.0,15,1,15.0
2019-01-26T00:00:00.000+00:00,15.0,15,15,20,5c4cf4c33ae3e80024a38579,15,15.0,15,0,15.5,15,1,15.0
2019-01-27T00:00:00.000+00:00,16.0,16,14,35,5c4e46223ae3e80024a54e8d,16,16.0,16,3,21.0,16,1,16.0
2019-01-28T00:00:00.000+00:00,20.0,20,15,20,5c4f98303ae3e80024a724a7,20,20.0,20,0,16.5,20,1,20.0
2019-01-29T00:00:00.000+00:00,15.0,15,15,20,5c50e9523ae3e80024a8e0d8,15,15.0,15,0,16.5,15,4,15.0
2019-01-30T00:00:00.000+00:00,25.0,25,15,25,5c523aa73ae3e80023a7961a,25,25.0,25,0,18.0,25,1,25.0
2019-01-31T00:00:00.000+00:00,20.0,20,14,35,5c538c273ae3e80024ac782a,20,20.0,20,3,21.0,20,1,20.0
2019-01-31T00:00:00.000+00:00,20.0,20,15,25,5c538c273ae3e80024ac7829,20,20.0,20,0,19.0,20,1,20.0
2019-02-02T00:00:00.000+00:00,20.0,20,16,35,5c562faf3ae3e80023acd7da,20,20.0,20,3,21.0,20,1,20.0
2019-02-02T00:00:00.000+00:00,15.0,15,15,25,5c562faf3ae3e80023acd7d9,15,15.0,15,0,19.0,15,1,15.0
2019-02-03T00:00:00.000+00:00,15.0,15,15,25,5c5780a53ae3e80023ae9ed7,15,15.0,15,0,18.0,15,2,15.0
