datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,12.0,8,8,17,5be37d66fb166600220e9d8d,16,12.0,8,12.0,13,113,12.31
2018-11-08T00:00:00.000+00:00,11.5,14,8,17,5be4ceccfb166600231247b7,15,12.0,8,12.1,12,74,11.595
2018-11-09T00:00:00.000+00:00,14.0,14,8,16,5be6201efb16660022111df3,16,15.0,12,12.4,15,54,14.111
2018-11-10T00:00:00.000+00:00,13.0,10,8,18,5be771cafb1666002212822a,18,13.5,8,12.5,16,165,12.952
2018-11-11T00:00:00.000+00:00,15.0,14,8,20,5be8c33dfb1666002213e200,20,15.0,10,13.1,10,191,14.77
2018-11-12T00:00:00.000+00:00,14.5,12,8,20,5bea1522fb16660022153c64,19,14.0,10,13.6,13,135,13.037
2018-11-13T00:00:00.000+00:00,12.0,11,8,20,5beb6638fb16660023195ae9,16,13.0,8,13.7,14,118,12.754
2018-11-14T00:00:00.000+00:00,13.5,14,7,20,5becb818fb166600231ac6d4,20,14.0,7,13.6,20,142,12.986
2018-11-15T00:00:00.000+00:00,15.0,20,7,20,5bee0997fb16660022194c2b,20,15.0,10,14.0,20,92,14.293
2018-11-16T00:00:00.000+00:00,12.0,13,7,20,5bef5b2dfb166600221ab329,17,12.0,7,13.4,14,150,12.013
2018-11-17T00:00:00.000+00:00,12.0,10,7,20,5bf0acaffb166600221c2a6a,17,12.0,7,12.9,13,175,11.949
2018-11-18T00:00:00.000+00:00,12.0,15,7,20,5bf1fe1dfb16660023208725,17,12.0,7,12.9,12,159,12.314
2018-11-19T00:00:00.000+00:00,14.0,16,7,17,5bf34f98fb1666002321f2bd,16,14.0,12,13.0,15,98,14.102
2018-11-20T00:00:00.000+00:00,14.0,13,7,17,5bf4a0edfb166600222074ae,16,14.0,12,12.8,14,91,13.901
2018-11-21T00:00:00.000+00:00,11.5,13,7,17,5bf5f272fb1666002221ddfb,15,12.0,8,12.7,11,112,11.554
2018-11-22T00:00:00.000+00:00,11.5,9,8,16,5bf74387fb1666002326360f,15,13.0,8,12.6,14,106,12.689
2018-11-23T00:00:00.000+00:00,12.0,10,7,17,5bf89567fb1666002327a998,17,12.0,7,12.6,12,125,12.016
2018-11-24T00:00:00.000+00:00,11.5,14,7,17,5bf9e6d9fb16660023292487,16,12.0,7,12.1,10,125,11.624
2018-11-25T00:00:00.000+00:00,11.0,10,7,17,5bfb386cfb166600232aa99c,13,10.5,9,11.5,10,92,10.978
2018-11-26T00:00:00.000+00:00,10.0,11,7,17,5bfc89ddfb166600232c19a5,12,10.0,8,11.2,9,73,10.055
2018-11-27T00:00:00.000+00:00,9.0,8,7,16,5bfddaf1fb166600232d8449,11,9.0,7,10.7,8,78,9.038
2018-11-28T00:00:00.000+00:00,10.0,8,7,13,5bff2cbcfb166600232f072d,12,10.0,8,10.3,10,76,10.039
2018-11-29T00:00:00.000+00:00,10.0,11,7,12,5c007e57fb16660023308287,12,10.0,8,10.0,10,67,9.866
2018-11-30T00:00:00.000+00:00,10.0,12,7,12,5c01cfd0fb1666002331fcb6,12,10.0,8,9.8,9,113,9.655
2018-12-01T00:00:00.000+00:00,10.0,9,8,12,5c032163fb166600222f8e3e,12,10.0,8,9.8,10,131,9.473
2018-12-02T00:00:00.000+00:00,8.5,7,7,12,5c0472dffb1666002334ead9,10,9.0,7,9.7,10,96,9.146
2018-12-03T00:00:00.000+00:00,12.5,9,5,20,5c05c454fb16660022324f48,20,10.0,5,10.2,5,95,9.558
2018-12-04T00:00:00.000+00:00,10.0,9,5,20,5c07157dfb1666002337ab63,12,10.0,8,10.2,10,63,9.524
2018-12-05T00:00:00.000+00:00,10.0,10,5,20,5c08672cfb166600223516c7,11,10.0,9,10.2,9,60,9.867
2018-12-06T00:00:00.000+00:00,10.0,10,5,20,5c09b8ea3ae3e800244e48a4,12,10.0,8,10.2,9,62,9.823
2018-12-07T00:00:00.000+00:00,10.0,8,8,12,5c0b0a553ae3e800234fa1b5,12,10.0,8,10.5,11,72,10.042
2018-12-08T00:00:00.000+00:00,10.0,10,8,12,5c0c5b8d3ae3e800235101cb,12,10.0,8,10.0,9,88,9.648
2018-12-09T00:00:00.000+00:00,10.0,9,8,12,5c0dad2d3ae3e8002452be51,12,10.0,8,10.0,10,86,10.035
2018-12-10T00:00:00.000+00:00,11.0,12,7,15,5c0efe7f3ae3e8002353dd8c,15,10.0,7,10.2,8,94,10.138
2018-12-11T00:00:00.000+00:00,12.5,10,5,20,5c10506f3ae3e80023555616,20,10.0,5,10.7,8,76,10.197
2018-12-12T00:00:00.000+00:00,10.0,9,5,20,5c11a1c13ae3e8002356cb36,12,10.0,8,10.7,10,51,9.784
2018-12-13T00:00:00.000+00:00,9.5,9,5,20,5c12f3513ae3e80023583701,10,10.0,9,10.6,10,51,9.51
2018-12-14T00:00:00.000+00:00,9.0,9,5,20,5c1445303ae3e800245a982f,11,9.0,7,10.4,8,81,9.173
2018-12-15T00:00:00.000+00:00,8.0,8,5,12,5c15961f3ae3e800245c16ff,11,8.0,5,9.8,9,111,8.342
2018-12-16T00:00:00.000+00:00,9.0,7,5,11,5c16e7953ae3e800235ced24,11,10.0,7,9.1,7,118,9.102
2018-12-17T00:00:00.000+00:00,9.5,9,5,11,5c1839933ae3e800245f479c,10,10.0,9,9.0,10,43,9.698
2018-12-18T00:00:00.000+00:00,8.5,8,5,12,5c198b4a3ae3e800235ffa74,12,8.0,5,8.8,5,72,8.25
2018-12-19T00:00:00.000+00:00,8.0,9,5,12,5c1adc0e3ae3e80023617fe3,10,9.0,6,8.6,8,51,8.471
2018-12-20T00:00:00.000+00:00,9.0,9,5,12,5c1c2e1a3ae3e80024642164,11,9.0,7,8.8,10,80,8.963
2018-12-21T00:00:00.000+00:00,8.5,9,5,12,5c1d7fa33ae3e8002364b0c1,10,9.0,7,8.7,8,71,8.972
2018-12-22T00:00:00.000+00:00,9.0,8,6,11,5c1ed10b3ae3e80023663cb9,11,9.0,7,8.6,9,98,8.918
2018-12-23T00:00:00.000+00:00,8.0,6,6,11,5c20221e3ae3e8002367d4e7,10,8.0,6,8.5,9,113,8.372
2018-12-24T00:00:00.000+00:00,8.5,9,6,11,5c21738e3ae3e8002369766a,10,9.0,7,8.6,8,77,8.948
2018-12-25T00:00:00.000+00:00,8.5,8,6,11,5c22c57d3ae3e800236b0d17,10,8.0,7,8.5,8,78,8.654
2018-12-26T00:00:00.000+00:00,8.5,9,6,10,5c2416ac3ae3e800246dd2fe,10,9.0,7,8.5,10,74,8.851
2018-12-27T00:00:00.000+00:00,8.5,10,7,10,5c2568a63ae3e800246f856a,10,9.0,7,8.4,10,85,9.165
2018-12-28T00:00:00.000+00:00,8.0,9,6,10,5c26b9963ae3e800236fcdc2,10,8.0,6,8.4,9,91,8.231
2018-12-29T00:00:00.000+00:00,9.0,7,6,11,5c280bab3ae3e8002472e05b,11,9.0,7,8.5,9,104,8.837
2018-12-30T00:00:00.000+00:00,8.5,8,6,11,5c295caa3ae3e80023732404,10,9.0,7,8.5,10,100,8.99
2018-12-31T00:00:00.000+00:00,9.0,8,6,11,5c2aae093ae3e8002374bd23,11,9.0,7,8.6,10,85,9.176
2019-01-01T00:00:00.000+00:00,8.0,8,6,11,5c2c00083ae3e80023767460,10,8.0,6,8.5,6,66,8.288
2019-01-02T00:00:00.000+00:00,8.0,7,6,11,5c2d519d3ae3e80023780a78,10,9.0,6,8.5,9,81,8.346
2019-01-03T00:00:00.000+00:00,8.0,8,6,11,5c2ea3243ae3e8002379a8f1,10,9.0,6,8.3,9,87,8.264
2019-01-04T00:00:00.000+00:00,8.0,9,6,10,5c2ff4a73ae3e800247cf7ea,10,8.0,6,8.2,8,98,8.429
2019-01-05T00:00:00.000+00:00,8.0,9,6,10,5c31459b3ae3e800247e9d16,10,8.0,6,8.0,9,98,8.306
2019-01-06T00:00:00.000+00:00,8.5,7,6,10,5c3297953ae3e80024806303,10,9.0,7,8.1,8,83,8.747
2019-01-07T00:00:00.000+00:00,8.0,8,6,10,5c33e90c3ae3e80023806866,10,8.0,6,8.1,8,76,8.526
2019-01-08T00:00:00.000+00:00,8.5,9,6,10,5c353a1a3ae3e8002483c60c,10,9.0,7,8.2,8,76,8.789
2019-01-09T00:00:00.000+00:00,8.5,8,6,10,5c368c223ae3e8002383c67c,10,9.0,7,8.3,9,66,8.818
2019-01-10T00:00:00.000+00:00,8.5,8,6,10,5c37dd903ae3e80024873aa7,10,9.0,7,8.4,9,57,9.07
2019-01-11T00:00:00.000+00:00,8.0,10,6,10,5c392f3b3ae3e8002488fd30,10,8.0,6,8.3,6,74,8.365
2019-01-12T00:00:00.000+00:00,7.0,8,3,11,5c3a80bb3ae3e800248acd30,11,8.0,3,8.1,4,101,7.564
2019-01-13T00:00:00.000+00:00,8.5,8,3,11,5c3bd1f33ae3e800248c9400,10,9.0,7,8.1,7,76,8.789
2019-01-14T00:00:00.000+00:00,8.0,10,3,11,5c3d23783ae3e800238c2ea9,10,8.0,6,8.0,8,61,8.59
2019-01-15T00:00:00.000+00:00,8.5,7,3,11,5c3e74933ae3e800238dcfbd,10,9.0,7,8.0,10,52,8.885
2019-01-16T00:00:00.000+00:00,8.0,8,6,10,5c3fc60e3ae3e8002491caf4,10,8.0,6,8.0,8,57,8.474
2019-01-17T00:00:00.000+00:00,8.0,10,6,10,5c4118073ae3e80023913851,10,8.0,6,8.2,10,50,8.1
2019-01-18T00:00:00.000+00:00,7.0,7,5,10,5c4269a43ae3e8002392f5f6,9,7.0,5,7.9,8,46,7.0
2019-01-19T00:00:00.000+00:00,8.0,6,5,10,5c43baef3ae3e800249720ef,10,8.0,6,7.9,6,82,8.122
2019-01-20T00:00:00.000+00:00,8.5,8,5,10,5c450c873ae3e80024990712,10,9.0,7,7.9,10,84,8.738
2019-01-21T00:00:00.000+00:00,9.0,8,5,11,5c465dcf3ae3e80023982c76,11,9.0,7,8.1,9,52,9.0
2019-01-22T00:00:00.000+00:00,8.0,9,6,11,5c47af8e3ae3e8002399f66f,10,8.0,6,8.1,6,61,8.016
2019-01-23T00:00:00.000+00:00,8.0,8,6,11,5c49011f3ae3e800239bbb39,10,8.0,6,8.3,7,57,8.123
2019-01-24T00:00:00.000+00:00,8.0,8,6,11,5c4a524c3ae3e800239d6cd5,10,9.0,6,8.3,10,49,8.347
2019-01-25T00:00:00.000+00:00,8.0,7,6,10,5c4ba3da3ae3e80024a1c8a1,10,8.0,6,8.2,7,74,8.297
2019-01-26T00:00:00.000+00:00,8.0,8,6,10,5c4cf5863ae3e80024a3a02b,10,8.0,6,8.0,6,74,8.23
2019-01-27T00:00:00.000+00:00,8.0,7,6,10,5c4e47033ae3e80023a2ab95,10,9.0,6,8.0,8,93,8.634
2019-01-28T00:00:00.000+00:00,8.5,8,6,10,5c4f989e3ae3e80024a734a3,10,9.0,7,8.1,7,57,8.825
2019-01-29T00:00:00.000+00:00,7.0,9,4,10,5c50e9f43ae3e80023a60d44,10,8.0,4,7.9,8,66,7.667
2019-01-30T00:00:00.000+00:00,6.5,5,3,10,5c523b4a3ae3e80024aabe9f,10,8.0,3,7.6,6,63,7.476
2019-01-31T00:00:00.000+00:00,8.5,9,3,10,5c538cf63ae3e80024ac94a0,10,9.0,7,7.7,9,48,9.062
