datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,5.0,5,3,8,5be37d67fb166600220e9d94,7,5.0,3,5.6,5,74,5.284
2018-11-08T00:00:00.000+00:00,6.5,6,3,8,5be4ceccfb166600231247bd,8,6.0,5,5.7,8,53,6.34
2018-11-09T00:00:00.000+00:00,7.0,5,3,9,5be6201ffb16660022111df8,9,7.0,5,5.9,5,62,6.468
2018-11-10T00:00:00.000+00:00,7.0,6,3,9,5be771cafb1666002212822f,9,7.0,5,6.2,6,94,6.915
2018-11-11T00:00:00.000+00:00,7.0,5,5,9,5be8c33efb1666002213e206,9,7.0,5,6.5,8,120,7.025
2018-11-12T00:00:00.000+00:00,7.0,9,5,9,5bea1522fb16660022153c6a,9,7.0,5,6.9,7,123,7.122
2018-11-13T00:00:00.000+00:00,8.0,8,5,10,5beb6638fb16660023195aef,10,8.0,6,7.2,9,64,8.172
2018-11-14T00:00:00.000+00:00,8.5,10,5,10,5becb818fb166600231ac6da,10,9.0,7,7.5,9,68,8.838
2018-11-15T00:00:00.000+00:00,6.5,8,3,10,5bee0997fb16660022194c32,10,7.0,3,7.4,6,90,6.844
2018-11-16T00:00:00.000+00:00,7.0,6,3,10,5bef5b2dfb166600221ab330,9,7.0,5,7.4,5,96,6.906
2018-11-17T00:00:00.000+00:00,8.0,9,3,10,5bf0acaffb166600221c2a70,10,8.0,6,7.6,8,111,8.252
2018-11-18T00:00:00.000+00:00,8.0,7,3,10,5bf1fe1dfb1666002320872b,10,8.0,6,7.6,6,99,7.99
2018-11-19T00:00:00.000+00:00,6.0,8,4,10,5bf34f98fb1666002321f2c2,8,6.0,4,7.1,7,78,6.179
2018-11-20T00:00:00.000+00:00,6.0,6,4,10,5bf4a0edfb166600222074b5,8,6.0,4,7.0,5,79,6.114
2018-11-21T00:00:00.000+00:00,5.0,5,3,10,5bf5f273fb1666002221de02,7,5.0,3,6.6,6,72,5.333
2018-11-22T00:00:00.000+00:00,4.5,5,1,8,5bf74387fb16660023263615,8,5.0,1,5.9,8,62,4.661
2018-11-23T00:00:00.000+00:00,5.0,5,1,8,5bf89567fb1666002327a99f,7,5.0,3,5.3,5,65,5.031
2018-11-24T00:00:00.000+00:00,8.5,5,1,15,5bf9e6d9fb1666002329248d,15,5.0,2,5.8,5,77,5.013
2018-11-25T00:00:00.000+00:00,5.0,4,1,15,5bfb386cfb166600232aa9a2,7,5.0,3,5.6,3,78,4.513
2018-11-26T00:00:00.000+00:00,4.5,5,2,15,5bfc89ddfb166600232c19aa,6,4.0,3,5.5,5,58,4.414
2018-11-27T00:00:00.000+00:00,5.0,6,2,15,5bfddaf1fb166600232d844e,7,5.0,3,5.6,7,72,4.819
2018-11-28T00:00:00.000+00:00,3.5,5,2,7,5bff2cbcfb166600232f0734,5,4.0,2,5.3,5,48,4.312
2018-11-29T00:00:00.000+00:00,4.5,3,2,7,5c007e58fb1666002330828c,7,5.0,2,4.5,2,59,4.61
2018-11-30T00:00:00.000+00:00,5.0,4,2,7,5c01cfd0fb1666002331fcbc,6,5.0,4,4.5,4,64,4.688
2018-12-01T00:00:00.000+00:00,5.0,6,2,7,5c032163fb166600222f8e44,7,5.0,3,4.6,4,72,5.097
2018-12-02T00:00:00.000+00:00,4.5,5,1,8,5c0472e0fb1666002334eae0,8,5.0,1,4.5,5,82,5.073
2018-12-03T00:00:00.000+00:00,7.0,5,1,10,5c05c454fb16660022324f4d,10,5.0,4,5.2,5,38,5.211
2018-12-04T00:00:00.000+00:00,5.0,5,1,10,5c07157dfb1666002337ab6a,7,5.0,3,5.3,6,48,4.896
2018-12-05T00:00:00.000+00:00,5.0,4,1,10,5c08672cfb166600223516ce,7,5.0,3,5.3,5,35,4.857
2018-12-06T00:00:00.000+00:00,5.0,4,3,10,5c09b8ea3ae3e800244e48a9,7,5.0,3,5.3,4,50,4.62
2018-12-07T00:00:00.000+00:00,5.0,4,3,7,5c0b0a553ae3e800234fa1bc,6,5.0,4,5.4,6,47,4.66
2018-12-08T00:00:00.000+00:00,4.5,4,1,8,5c0c5b8d3ae3e800235101d1,8,5.0,1,4.9,5,75,4.933
2018-12-09T00:00:00.000+00:00,5.0,5,1,8,5c0dad2d3ae3e8002452be57,7,5.0,3,4.9,3,76,4.882
2018-12-10T00:00:00.000+00:00,5.0,4,1,8,5c0efe7f3ae3e8002353dd92,7,5.0,3,4.9,7,57,4.789
2018-12-11T00:00:00.000+00:00,5.0,4,1,8,5c10506f3ae3e8002355561d,7,5.0,3,4.9,5,46,4.522
2018-12-12T00:00:00.000+00:00,4.0,4,2,7,5c11a1c13ae3e8002356cb3c,6,4.0,2,4.7,5,49,4.041
2018-12-13T00:00:00.000+00:00,4.0,5,2,7,5c12f3513ae3e80023583708,5,5.0,3,4.6,4,38,4.526
2018-12-14T00:00:00.000+00:00,6.5,5,2,10,5c1445313ae3e800245a9835,10,5.0,3,4.9,6,57,4.86
2018-12-15T00:00:00.000+00:00,5.0,6,2,10,5c15961f3ae3e800245c1706,6,5.0,4,4.9,5,59,5.102
2018-12-16T00:00:00.000+00:00,5.5,5,3,10,5c16e7953ae3e800235ced2d,8,5.0,3,5.0,8,74,4.986
2018-12-17T00:00:00.000+00:00,5.0,4,3,10,5c1839933ae3e800245f47a3,7,5.0,3,5.2,5,46,4.652
2018-12-18T00:00:00.000+00:00,5.0,5,3,8,5c198b4b3ae3e800235ffa7c,7,5.0,3,5.4,4,49,4.694
2018-12-19T00:00:00.000+00:00,3.5,2,2,8,5c1adc0e3ae3e80023617fec,5,4.0,2,4.8,4,45,3.978
2018-12-20T00:00:00.000+00:00,4.5,4,2,7,5c1c2e1a3ae3e8002464216e,6,4.0,3,4.7,4,43,4.372
2018-12-21T00:00:00.000+00:00,4.5,5,2,7,5c1d7fa33ae3e8002364b0cb,5,5.0,4,4.5,5,49,4.612
2018-12-22T00:00:00.000+00:00,3.5,4,2,6,5c1ed10b3ae3e80023663cc2,5,4.0,2,4.2,2,47,4.106
2018-12-23T00:00:00.000+00:00,5.0,3,2,7,5c20221e3ae3e8002367d4f3,7,5.0,3,4.2,4,54,4.519
2018-12-24T00:00:00.000+00:00,4.0,4,2,7,5c21738e3ae3e80023697674,6,4.0,2,4.3,5,48,4.0
2018-12-25T00:00:00.000+00:00,4.0,2,2,7,5c22c57d3ae3e800236b0d20,6,4.0,2,4.2,4,36,4.194
2018-12-26T00:00:00.000+00:00,4.0,3,2,7,5c2416ac3ae3e800246dd306,6,4.0,2,4.1,4,51,4.176
2018-12-27T00:00:00.000+00:00,4.0,2,2,6,5c2568a63ae3e800246f8570,6,4.0,2,4.2,5,70,3.929
2018-12-28T00:00:00.000+00:00,4.0,3,2,6,5c26b9963ae3e800236fcdc9,6,4.0,2,4.0,5,62,3.968
2018-12-29T00:00:00.000+00:00,4.0,5,2,6,5c280bab3ae3e8002472e063,6,4.0,2,4.0,4,54,4.019
2018-12-30T00:00:00.000+00:00,4.0,2,2,6,5c295caa3ae3e8002373240d,6,4.0,2,4.0,2,48,3.75
2018-12-31T00:00:00.000+00:00,3.5,4,2,6,5c2aae093ae3e8002374bd29,5,4.0,2,3.9,3,41,3.878
2019-01-01T00:00:00.000+00:00,3.0,2,1,6,5c2c00083ae3e80023767468,5,3.0,1,3.7,5,52,3.5
2019-01-02T00:00:00.000+00:00,3.0,3,1,6,5c2d519e3ae3e80023780a7f,4,3.0,2,3.5,4,30,3.367
2019-01-03T00:00:00.000+00:00,3.5,3,1,5,5c2ea3243ae3e8002379a8f7,5,4.0,2,3.4,3,49,3.673
2019-01-04T00:00:00.000+00:00,3.5,3,1,5,5c2ff4a83ae3e800247cf7f1,5,3.0,2,3.3,5,46,3.239
2019-01-05T00:00:00.000+00:00,3.0,3,1,5,5c31459b3ae3e800247e9d1d,5,3.0,1,3.2,4,51,3.255
2019-01-06T00:00:00.000+00:00,3.0,2,1,5,5c3297953ae3e8002480630d,5,3.0,1,3.2,3,40,3.0
2019-01-07T00:00:00.000+00:00,3.0,3,1,5,5c33e90c3ae3e8002380686e,5,3.0,1,3.2,3,35,2.6
2019-01-08T00:00:00.000+00:00,3.0,5,1,5,5c353a1b3ae3e8002483c614,5,3.0,1,3.1,3,38,2.711
2019-01-09T00:00:00.000+00:00,3.5,2,1,5,5c368c223ae3e8002383c684,5,3.0,2,3.1,3,25,2.92
2019-01-10T00:00:00.000+00:00,3.0,3,1,5,5c37dd903ae3e80024873aaf,5,3.0,1,3.1,2,28,2.929
2019-01-11T00:00:00.000+00:00,3.0,5,1,5,5c392f3b3ae3e8002488fd37,5,3.0,1,3.1,3,49,3.143
2019-01-12T00:00:00.000+00:00,3.0,3,1,5,5c3a80bb3ae3e800248acd38,5,3.0,1,3.1,3,56,3.214
2019-01-13T00:00:00.000+00:00,3.0,3,1,5,5c3bd1f33ae3e800248c9408,5,3.0,1,3.1,3,45,3.267
2019-01-14T00:00:00.000+00:00,3.5,2,1,5,5c3d23783ae3e800238c2eb2,5,3.0,2,3.1,4,28,2.929
2019-01-15T00:00:00.000+00:00,3.5,5,1,5,5c3e74943ae3e800238dcfc5,5,3.0,2,3.2,2,18,3.444
2019-01-16T00:00:00.000+00:00,3.0,4,1,5,5c3fc60e3ae3e8002491cafd,5,3.0,1,3.2,3,32,2.906
2019-01-17T00:00:00.000+00:00,3.0,3,1,5,5c4118073ae3e8002391385b,5,3.0,1,3.2,4,25,3.6
2019-01-18T00:00:00.000+00:00,2.5,2,1,5,5c4269a43ae3e8002392f5fe,4,2.0,1,3.1,2,29,2.483
2019-01-19T00:00:00.000+00:00,2.5,4,1,5,5c43baef3ae3e800249720f6,4,2.0,1,2.9,2,51,2.412
2019-01-20T00:00:00.000+00:00,3.0,2,1,5,5c450c883ae3e8002499071b,5,3.0,1,2.8,1,30,2.733
2019-01-21T00:00:00.000+00:00,3.0,3,1,5,5c465dcf3ae3e80023982c7e,4,3.0,2,2.8,3,31,2.71
2019-01-22T00:00:00.000+00:00,3.0,3,1,5,5c47af8e3ae3e8002399f679,5,3.0,1,2.8,3,42,2.619
