datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,20.0,20,15,20,5be37d38fb1666002310db30,20,20.0,20,3,,20,1,20.0
2018-11-08T00:00:00.000+00:00,15.0,15,10,19,5be4ce9ffb166600220fdaf8,15,15.0,15,0,15.3,15,1,15.0
2018-11-09T00:00:00.000+00:00,14.0,14,14,20,5be61fdefb16660023139f90,14,14.0,14,3,,14,1,14.0
2018-11-09T00:00:00.000+00:00,15.0,15,10,19,5be61fdefb16660023139f8f,15,15.0,15,0,14.9,15,2,15.0
2018-11-10T00:00:00.000+00:00,13.5,14,13,15,5be77194fb166600221279e2,14,14.0,13,0,14.6,13,3,13.667
2018-11-11T00:00:00.000+00:00,15.0,16,13,16,5be8c2eefb1666002213d687,16,15.0,14,0,14.7,15,7,14.714
2018-11-12T00:00:00.000+00:00,10.5,10,6,16,5bea14ebfb16660022153555,15,12.5,6,0,13.8,15,4,11.5
2018-11-13T00:00:00.000+00:00,14.5,14,6,16,5beb65e4fb16660022167cf2,15,14.5,14,0,13.7,15,3,14.667
2018-11-14T00:00:00.000+00:00,14.5,15,6,16,5becb7e4fb1666002217ec41,15,14.5,14,0,13.6,14,3,14.333
2018-11-16T00:00:00.000+00:00,17.5,17,6,20,5bef5ae3fb166600231d957d,20,17.0,15,0,14.4,15,3,17.333
2018-11-17T00:00:00.000+00:00,8.5,10,7,20,5bf0ac6dfb166600231f0a0f,10,8.5,7,3,,7,2,8.5
2018-11-17T00:00:00.000+00:00,11.5,13,10,20,5bf0ac6dfb166600231f0a0e,13,12.0,10,0,13.7,12,7,11.286
2018-11-18T00:00:00.000+00:00,14.0,15,10,20,5bf1fdc1fb166600221d946c,15,15.0,13,0,14.4,13,3,14.333
2018-11-19T00:00:00.000+00:00,15.0,15,10,20,5bf34f5bfb166600221f01d5,15,15.0,15,0,14.5,15,3,15.0
2018-11-20T00:00:00.000+00:00,14.0,15,10,15,5bf4a0b7fb166600232354a2,15,15.0,13,0,14.4,13,3,14.333
2018-11-21T00:00:00.000+00:00,16.0,15,13,17,5bf5f239fb1666002221d618,17,15.0,15,0,14.1,17,6,16.0
2018-11-22T00:00:00.000+00:00,14.5,14,7,20,5bf7434cfb166600222328c8,15,14.5,14,3,14.4,15,2,14.5
2018-11-22T00:00:00.000+00:00,15.5,15,13,17,5bf7434cfb166600222328c7,16,15.0,15,0,14.9,16,8,15.125
2018-11-23T00:00:00.000+00:00,14.5,14,13,17,5bf8953cfb1666002327a2f0,15,14.5,14,0,15.0,15,2,14.5
2018-11-24T00:00:00.000+00:00,16.0,16,7,16,5bf9e688fb166600232917e9,16,16.0,16,3,14.6,16,1,16.0
2018-11-24T00:00:00.000+00:00,16.0,15,14,17,5bf9e688fb166600232917e8,17,15.0,15,0,15.2,17,4,15.5
2018-11-25T00:00:00.000+00:00,14.5,14,14,17,5bfb3840fb166600232aa2e4,15,14.5,14,0,15.3,15,2,14.5
2018-11-27T00:00:00.000+00:00,15.0,15,14,17,5bfddac0fb166600222a1155,15,15.0,15,0,15.1,15,1,15.0
2018-11-28T00:00:00.000+00:00,15.0,15,7,16,5bff2c6cfb166600222b6ade,15,15.0,15,3,13.6,15,2,15.0
2018-11-28T00:00:00.000+00:00,15.0,15,10,20,5bff2c6cfb166600222b6add,20,15.0,10,0,15.0,20,3,15.0
2018-11-29T00:00:00.000+00:00,15.0,15,10,20,5c007e27fb166600222cc841,15,15.0,15,0,15.1,15,2,15.0
2018-12-01T00:00:00.000+00:00,14.0,15,10,20,5c03210afb166600222f823e,15,14.0,13,0,14.7,13,3,14.0
2018-12-02T00:00:00.000+00:00,17.0,17,14,17,5c0472b4fb1666002334e41f,17,17.0,17,3,14.2,17,1,17.0
2018-12-02T00:00:00.000+00:00,15.0,15,10,20,5c0472b4fb1666002334e41e,15,15.0,15,0,14.8,15,5,15.0
2018-12-03T00:00:00.000+00:00,10.5,6,6,15,5c05c42afb166600223248be,15,12.0,6,0,13.9,15,4,11.25
2018-12-04T00:00:00.000+00:00,15.0,15,15,17,5c071545fb16660022339b53,15,15.0,15,3,15.5,15,2,15.0
2018-12-04T00:00:00.000+00:00,15.0,15,6,15,5c071545fb16660022339b52,15,15.0,15,0,13.9,15,4,15.0
2018-12-05T00:00:00.000+00:00,14.5,15,6,15,5c0866d5fb1666002338fdb0,15,15.0,14,0,13.8,15,3,14.667
2018-12-06T00:00:00.000+00:00,14.5,14,6,15,5c09b8b23ae3e800234e3ca6,15,14.5,14,0,13.9,15,3,14.333
2018-12-07T00:00:00.000+00:00,15.0,15,14,15,5c0b09eb3ae3e800234f93d0,15,15.0,15,0,13.9,15,3,15.0
2018-12-08T00:00:00.000+00:00,14.5,15,14,15,5c0c5b523ae3e80024512943,15,14.5,14,0,14.7,14,2,14.5
2018-12-09T00:00:00.000+00:00,10.0,5,5,15,5c0dacd13ae3e8002452b0f0,15,10.0,5,0,13.7,15,2,10.0
2018-12-10T00:00:00.000+00:00,15.0,15,15,17,5c0efe483ae3e80024543943,15,15.0,15,3,15.6,15,1,15.0
2018-12-10T00:00:00.000+00:00,5.5,10,1,15,5c0efe483ae3e80024543942,10,5.5,1,0,11.9,1,2,5.5
2018-12-11T00:00:00.000+00:00,10.0,10,1,15,5c104ff93ae3e8002455cb04,10,10.0,10,0,11.0,10,1,10.0
2018-12-12T00:00:00.000+00:00,15.0,15,15,17,5c11a1583ae3e80024575261,15,15.0,15,3,15.4,15,1,15.0
2018-12-12T00:00:00.000+00:00,16.5,15,1,18,5c11a1583ae3e80024575260,18,15.0,15,0,11.3,15,5,15.6
2018-12-13T00:00:00.000+00:00,18.0,18,15,18,5c12f2ed3ae3e8002358276d,18,18.0,18,3,16.0,18,1,18.0
2018-12-13T00:00:00.000+00:00,14.5,14,1,18,5c12f2ed3ae3e8002358276c,15,14.0,14,0,11.3,15,3,14.333
2018-12-14T00:00:00.000+00:00,13.5,15,10,18,5c1444f73ae3e8002359b9a6,15,15.0,12,0,12.0,15,5,14.4
2018-12-15T00:00:00.000+00:00,13.5,12,12,18,5c1595d33ae3e800235b4e01,15,13.5,12,0,13.6,15,2,13.5
2018-12-16T00:00:00.000+00:00,17.5,20,12,20,5c16e7543ae3e800245d98d1,20,15.0,15,0,15.1,15,3,16.667
2018-12-17T00:00:00.000+00:00,15.0,15,15,18,5c1839553ae3e800245f3e0d,15,15.0,15,3,15.6,15,1,15.0
2018-12-17T00:00:00.000+00:00,14.5,13,12,20,5c1839553ae3e800245f3e0c,16,14.0,13,0,14.7,14,3,14.333
2018-12-18T00:00:00.000+00:00,19.5,14,12,25,5c198aac3ae3e8002460cd5e,25,17.0,14,0,15.7,14,5,17.8
2018-12-19T00:00:00.000+00:00,20.0,20,15,20,5c1adbcf3ae3e80024625f69,20,20.0,20,3,16.6,20,1,20.0
2018-12-19T00:00:00.000+00:00,15.0,15,13,25,5c1adbcf3ae3e80024625f68,15,15.0,15,0,16.0,15,1,15.0
2018-12-20T00:00:00.000+00:00,15.0,15,13,25,5c1c2db13ae3e80023630608,15,15.0,15,0,16.3,15,2,15.0
2018-12-21T00:00:00.000+00:00,16.0,17,14,25,5c1d7f6d3ae3e8002465ae1f,17,15.0,15,0,16.0,15,3,15.667
2018-12-22T00:00:00.000+00:00,14.5,15,14,17,5c1ed0b03ae3e80024675663,15,14.5,14,0,16.0,14,4,14.5
2018-12-23T00:00:00.000+00:00,17.5,15,14,20,5c2021db3ae3e8002468e923,20,17.0,15,0,15.6,15,6,16.667
2018-12-24T00:00:00.000+00:00,10.0,10,10,20,5c2173543ae3e800246a8db9,10,10.0,10,3,15.6,10,1,10.0
2018-12-24T00:00:00.000+00:00,14.5,15,14,20,5c2173543ae3e800246a8db8,15,15.0,14,0,15.5,14,5,14.8
2018-12-25T00:00:00.000+00:00,16.5,16,14,20,5c22c4f13ae3e800236afba9,18,16.5,15,0,15.8,18,4,16.5
2018-12-26T00:00:00.000+00:00,15.0,15,10,20,5c2416533ae3e800236c8b98,20,14.5,10,0,15.6,14,4,14.75
2018-12-27T00:00:00.000+00:00,15.0,15,10,20,5c2568613ae3e800236e37a5,15,15.0,15,0,15.7,15,1,15.0
2018-12-28T00:00:00.000+00:00,20.0,20,10,20,5c26b9563ae3e800247118b8,20,20.0,20,3,16.6,20,1,20.0
2018-12-28T00:00:00.000+00:00,14.0,14,10,20,5c26b9563ae3e800247118b7,14,14.0,14,0,15.0,14,1,14.0
2018-12-29T00:00:00.000+00:00,17.0,15,10,20,5c280b683ae3e80023717ee2,19,15.0,15,3,16.4,19,3,16.333
2018-12-29T00:00:00.000+00:00,14.0,15,10,20,5c280b683ae3e80023717ee1,15,15.0,13,0,14.9,15,5,14.6
2018-12-30T00:00:00.000+00:00,19.5,19,13,20,5c295c543ae3e80024747e92,20,20.0,19,0,15.5,20,4,19.75
2018-12-31T00:00:00.000+00:00,15.0,15,10,20,5c2aadcd3ae3e80024762caa,15,15.0,15,3,16.4,15,1,15.0
2018-12-31T00:00:00.000+00:00,15.0,15,13,20,5c2aadcd3ae3e80024762ca9,15,15.0,15,0,15.5,15,1,15.0
2019-01-01T00:00:00.000+00:00,18.0,15,12,24,5c2bffd23ae3e8002477d6c3,24,15.0,12,0,16.1,24,7,16.571
2019-01-02T00:00:00.000+00:00,17.5,15,12,24,5c2d51393ae3e80024798a36,20,20.0,15,0,16.8,15,5,18.0
2019-01-05T00:00:00.000+00:00,20.0,20,15,20,5c3145553ae3e800237cf61f,20,20.0,20,3,16.4,20,1,20.0
2019-01-05T00:00:00.000+00:00,13.5,18,5,24,5c3145553ae3e800237cf61e,22,15.0,5,0,16.7,5,7,15.0
2019-01-06T00:00:00.000+00:00,17.5,20,5,24,5c3297263ae3e800248055d5,20,15.0,15,0,16.3,15,6,16.667
2019-01-07T00:00:00.000+00:00,10.0,10,5,22,5c33e8d13ae3e8002482159c,10,10.0,10,0,15.3,10,1,10.0
2019-01-08T00:00:00.000+00:00,17.5,20,5,22,5c3539d03ae3e8002483bada,20,19.0,15,0,15.2,15,4,18.25
2019-01-09T00:00:00.000+00:00,25.0,25,15,25,5c368be43ae3e800248572e6,25,25.0,25,3,19.4,25,1,25.0
2019-01-09T00:00:00.000+00:00,11.5,9,9,20,5c368be43ae3e800248572e5,14,11.5,9,0,14.0,14,2,11.5
2019-01-10T00:00:00.000+00:00,20.0,20,15,25,5c37dd103ae3e80024872a5a,20,20.0,20,3,19.4,20,1,20.0
2019-01-10T00:00:00.000+00:00,15.0,15,9,20,5c37dd103ae3e80024872a59,15,15.0,15,0,14.3,15,2,15.0
2019-01-11T00:00:00.000+00:00,15.0,15,9,20,5c392ef23ae3e800238714ed,15,15.0,15,0,13.8,15,1,15.0
2019-01-12T00:00:00.000+00:00,17.5,15,9,20,5c3a80743ae3e8002388ceec,20,15.0,15,0,15.3,20,4,16.25
2019-01-15T00:00:00.000+00:00,25.0,25,15,25,5c3e74523ae3e800249004a7,25,25.0,25,0,16.8,25,2,25.0
2019-01-16T00:00:00.000+00:00,20.5,20,20,25,5c3fc5cd3ae3e800238f7607,21,20.5,20,3,20.1,21,2,20.5
2019-01-16T00:00:00.000+00:00,19.0,19,15,25,5c3fc5cd3ae3e800238f7606,19,19.0,19,0,18.3,19,1,19.0
2019-01-18T00:00:00.000+00:00,17.5,15,10,25,5c4269263ae3e8002392e52e,25,17.5,10,0,18.8,10,4,17.5
2019-01-19T00:00:00.000+00:00,20.0,20,20,25,5c43ba933ae3e8002394b4ed,20,20.0,20,3,21.1,20,1,20.0
2019-01-19T00:00:00.000+00:00,9.0,10,8,25,5c43ba933ae3e8002394b4ec,10,10.0,8,0,17.6,10,3,9.333
2019-01-20T00:00:00.000+00:00,20.0,20,20,21,5c450c143ae3e8002396653e,20,20.0,20,3,21.1,20,1,20.0
2019-01-20T00:00:00.000+00:00,17.5,25,8,25,5c450c143ae3e8002396653d,25,15.0,10,0,17.6,10,3,16.667
2019-01-21T00:00:00.000+00:00,17.5,20,8,25,5c465d5a3ae3e800249abde1,20,17.5,15,0,16.1,15,2,17.5
2019-01-22T00:00:00.000+00:00,20.0,20,8,25,5c47af243ae3e800249c805c,20,20.0,20,0,16.3,20,1,20.0
2019-01-23T00:00:00.000+00:00,17.5,20,10,25,5c4900df3ae3e800249e4bdc,20,15.0,15,0,16.3,15,3,16.667
2019-01-24T00:00:00.000+00:00,17.0,24,10,24,5c4a51e83ae3e800239d5e02,24,15.0,10,0,17.9,10,3,16.333
2019-01-25T00:00:00.000+00:00,14.5,15,10,24,5c4ba3703ae3e800239f1282,15,14.5,14,0,17.3,14,2,14.5
2019-01-26T00:00:00.000+00:00,10.0,10,10,24,5c4cf5263ae3e80024a39347,10,10.0,10,0,15.8,10,1,10.0
2019-01-27T00:00:00.000+00:00,14.5,14,10,24,5c4e468e3ae3e80023a29c8c,15,15.0,14,0,14.7,15,3,14.667
2019-01-28T00:00:00.000+00:00,15.0,20,10,20,5c4f986b3ae3e80023a45198,20,15.0,10,0,14.2,15,6,15.0
2019-01-29T00:00:00.000+00:00,17.0,14,10,20,5c50e9913ae3e80024a8eaea,20,17.0,14,0,14.2,20,2,17.0
2019-01-30T00:00:00.000+00:00,22.5,20,10,25,5c523ad33ae3e80024aaac81,25,22.0,20,0,15.8,25,4,22.25
2019-01-31T00:00:00.000+00:00,20.0,20,10,25,5c538c763ae3e80023a94c2a,20,20.0,20,0,17.8,20,1,20.0
2019-02-01T00:00:00.000+00:00,15.0,15,14,25,5c54de503ae3e80024ae4f9a,15,15.0,15,0,17.9,15,4,15.0
2019-02-02T00:00:00.000+00:00,15.0,20,10,25,5c562fe93ae3e80023ace0c3,20,14.0,10,0,17.9,14,6,14.0
2019-02-03T00:00:00.000+00:00,19.0,20,10,20,5c5780e43ae3e80023aea915,20,19.0,18,0,18.3,18,2,19.0
