datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-09T00:00:00.000+00:00,5.0,5,5,5,5be61f85fb16660022110d25,5,5,5,0,,5,1,5.0
2018-11-10T00:00:00.000+00:00,30.0,30,5,30,5be7712ffb16660022126a49,30,30,30,0,,30,1,30.0
2018-11-12T00:00:00.000+00:00,4.0,4,4,30,5bea1404fb1666002317e1a3,4,4,4,0,,4,1,4.0
2018-12-04T00:00:00.000+00:00,3.0,3,3,30,5c071502fb16660022339262,3,3,3,0,,3,1,3.0
2018-12-13T00:00:00.000+00:00,4.0,4,3,30,5c12f2833ae3e8002458f007,4,4,4,0,9.2,4,1,4.0
2018-12-14T00:00:00.000+00:00,5.0,5,3,5,5c1444953ae3e8002359adfd,5,5,5,0,9.2,5,1,5.0
2018-12-16T00:00:00.000+00:00,4.0,4,3,5,5c16e7043ae3e800235cda02,4,4,4,0,4.0,4,1,4.0
2018-12-19T00:00:00.000+00:00,5.0,5,4,5,5c1adb833ae3e80023616c3f,5,5,5,0,4.2,5,1,5.0
2019-01-01T00:00:00.000+00:00,5.0,5,4,5,5c2bff603ae3e80023765b33,5,5,5,0,4.6,5,1,5.0
2019-01-10T00:00:00.000+00:00,10.0,10,4,10,5c37dc853ae3e80023854297,10,10,10,0,5.8,10,1,10.0
2019-01-11T00:00:00.000+00:00,2.0,2,2,10,5c392ea13ae3e8002488e823,2,2,2,0,5.2,2,1,2.0
2019-01-15T00:00:00.000+00:00,5.0,5,2,10,5c3e74053ae3e800238dbad5,5,5,5,0,5.4,5,1,5.0
2019-01-17T00:00:00.000+00:00,80.0,80,80,80,5c4117043ae3e80024937de4,80,80,80,5,,80,1,80.0
2019-01-17T00:00:00.000+00:00,3.0,3,2,10,5c4117043ae3e80024937de3,3,3,3,0,5.0,3,1,3.0
2019-01-18T00:00:00.000+00:00,5.0,5,2,5,5c4268843ae3e8002392d1a8,5,5,5,0,5.0,5,1,5.0
