datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,4.0,5,1,10,5be37d1bfb166600220e91d4,5,4.0,3,5.1,3,6,4.0
2018-11-08T00:00:00.000+00:00,4.5,4,3,10,5be4ce6bfb166600220fd2d7,5,5.0,4,5.1,5,4,4.75
2018-11-09T00:00:00.000+00:00,4.0,5,3,10,5be61fb6fb1666002211121e,5,4.0,3,4.8,3,4,4.25
2018-11-10T00:00:00.000+00:00,3.5,5,2,5,5be77166fb16660023151a44,5,4.0,2,4.5,4,5,4.0
2018-11-11T00:00:00.000+00:00,3.5,4,2,5,5be8c2aafb16660023167b58,4,4.0,3,3.9,3,4,3.75
2018-11-13T00:00:00.000+00:00,5.0,5,2,5,5beb65befb16660023194f11,5,5.0,5,4.1,5,2,5.0
2018-11-14T00:00:00.000+00:00,4.5,4,2,5,5becb7bafb166600231aba62,5,4.5,4,4.1,5,2,4.5
2018-11-15T00:00:00.000+00:00,3.5,4,3,5,5bee08fdfb166600231c1c9d,4,4.0,3,4.0,4,5,3.8
2018-11-16T00:00:00.000+00:00,3.5,4,3,5,5bef5ac6fb166600221aa6ea,4,4.0,3,4.0,4,15,3.733
2018-11-17T00:00:00.000+00:00,7.0,5,3,10,5bf0ac47fb166600221c1dfe,10,5.0,4,4.7,4,15,5.667
2018-11-18T00:00:00.000+00:00,3.5,2,2,10,5bf1fd3efb166600221d85cf,5,4.0,2,4.4,5,13,4.308
2018-11-19T00:00:00.000+00:00,5.0,5,2,10,5bf34f39fb1666002321e686,5,5.0,5,4.5,5,2,5.0
2018-11-20T00:00:00.000+00:00,4.5,5,2,10,5bf4a09cfb166600222068be,5,4.0,4,4.7,4,3,4.333
2018-11-21T00:00:00.000+00:00,5.5,6,2,6,5bf5f1ddfb1666002324bb6d,6,5.5,5,5.1,5,2,5.5
2018-11-22T00:00:00.000+00:00,4.5,4,4,6,5bf74330fb166600222324b0,5,4.5,4,4.6,5,2,4.5
2018-11-23T00:00:00.000+00:00,3.5,2,2,6,5bf894c6fb16660022248cd9,5,3.0,2,4.6,3,5,3.0
2018-11-24T00:00:00.000+00:00,4.5,5,2,6,5bf9e645fb1666002225f3eb,5,5.0,4,4.5,5,3,4.667
2018-11-25T00:00:00.000+00:00,4.5,3,2,6,5bfb380bfb166600232a9adf,6,4.0,3,4.5,4,8,4.25
2018-11-26T00:00:00.000+00:00,4.0,3,2,6,5bfc8942fb1666002228b879,5,4.0,3,4.2,4,6,3.833
2018-11-27T00:00:00.000+00:00,4.0,4,3,6,5bfddaa9fb166600222a0d59,4,4.0,4,4.1,4,1,4.0
2018-11-28T00:00:00.000+00:00,3.0,2,2,6,5bff2c29fb166600232ef22f,4,3.0,2,4.0,3,10,3.4
2018-11-29T00:00:00.000+00:00,4.5,5,2,5,5c007e0ffb1666002330767f,5,5.0,4,4.0,4,3,4.667
2018-11-30T00:00:00.000+00:00,7.0,5,2,10,5c01cf5bfb1666002331ed1f,10,5.0,4,4.5,10,19,5.474
2018-12-01T00:00:00.000+00:00,4.5,5,2,10,5c0320dbfb166600222f7adf,5,5.0,4,4.6,5,13,4.615
2018-12-02T00:00:00.000+00:00,6.5,5,3,10,5c04728efb1666002230f061,10,5.0,3,5.1,5,7,5.571
2018-12-03T00:00:00.000+00:00,4.0,4,3,10,5c05c407fb166600233648da,4,4.0,4,5.3,4,1,4.0
2018-12-04T00:00:00.000+00:00,5.0,5,3,10,5c07152afb16660022339763,5,5.0,5,5.4,5,1,5.0
