datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,2.0,2,1,9,5be37d59fb1666002310e0a5,3,2.0,1.0,0,,1.0,4,2.0
2018-11-08T00:00:00.000+00:00,2.0,2,1,9,5be4cebefb166600220fe03b,2,2.0,2.0,0,2.9,2.0,1,2.0
2018-11-10T00:00:00.000+00:00,2.0,2,1,9,5be771bafb166600231527f5,2,2.0,2.0,0,2.8,2.0,3,2.0
2018-11-11T00:00:00.000+00:00,2.5,2,1,3,5be8c323fb16660023168c0f,3,3.0,2.0,0,2.9,3.0,4,2.75
2018-11-12T00:00:00.000+00:00,3.5,2,2,5,5bea1516fb16660022153ac3,5,2.0,2.0,0,2.4,2.0,5,3.2
2018-11-13T00:00:00.000+00:00,3.0,4,2,5,5beb6617fb1666002216825b,4,3.0,2.0,0,2.6,3.0,5,2.8
2018-11-14T00:00:00.000+00:00,3.0,3,2,5,5becb80cfb166600231ac523,3,3.0,3.0,0,2.8,3.0,1,3.0
2018-11-15T00:00:00.000+00:00,10.0,10,10,10,5bee0986fb166600231c2c33,10,10.0,10.0,5,,10.0,1,10.0
2018-11-15T00:00:00.000+00:00,3.5,2,2,5,5bee0986fb166600231c2c32,5,2.0,2.0,0,3.1,2.0,9,2.444
2018-11-16T00:00:00.000+00:00,5.0,5,5,10,5bef5b13fb166600231d9b2e,5,5.0,5.0,5,,5.0,1,5.0
2018-11-16T00:00:00.000+00:00,3.0,3,2,5,5bef5b13fb166600231d9b2d,3,3.0,3.0,0,3.2,3.0,4,3.0
2018-11-17T00:00:00.000+00:00,2.5,2,2,5,5bf0ac99fb166600231f0fac,3,3.0,2.0,0,3.0,3.0,3,2.667
2018-11-18T00:00:00.000+00:00,10.0,10,5,10,5bf1fe03fb166600221d9c68,10,10.0,10.0,5,,10.0,1,10.0
2018-11-18T00:00:00.000+00:00,3.5,2,2,5,5bf1fe03fb166600221d9c67,5,3.0,2.0,0,3.1,4.0,9,4.222
2018-11-19T00:00:00.000+00:00,2.5,2,2,5,5bf34f84fb166600221f075d,3,2.0,2.0,0,3.0,2.0,6,2.167
2018-11-20T00:00:00.000+00:00,9.0,9,5,10,5bf4a0dbfb16660023235a16,9,9.0,9.0,5,8.8,9.0,3,9.0
2018-11-20T00:00:00.000+00:00,2.5,2,2,5,5bf4a0dbfb16660023235a15,3,3.0,2.0,0,2.8,3.0,7,2.714
2018-11-21T00:00:00.000+00:00,2.0,3,1,5,5bf5f25dfb1666002221dba0,3,3.0,1.0,0,2.6,1.0,3,2.333
2018-11-22T00:00:00.000+00:00,3.0,3,1,3,5bf74372fb16660022232e5c,3,3.0,3.0,0,2.7,3.0,2,3.0
2018-11-23T00:00:00.000+00:00,10.0,10,5,10,5bf89557fb1666002224a189,10,10.0,10.0,5,8.8,10.0,1,10.0
2018-11-23T00:00:00.000+00:00,2.5,2,1,3,5bf89557fb1666002224a188,3,2.0,2.0,0,2.5,2.0,5,2.2
2018-11-24T00:00:00.000+00:00,9.0,9,9,10,5bf9e6aafb16660023291d6c,9,9.0,9.0,5,8.6,9.0,1,9.0
2018-11-24T00:00:00.000+00:00,2.0,3,1,3,5bf9e6aafb16660023291d6b,3,3.0,1.0,0,2.4,3.0,5,2.6
2018-11-25T00:00:00.000+00:00,2.5,3,1,3,5bfb385cfb16660022276b37,3,2.5,2.0,0,2.4,2.0,5,2.6
2018-11-26T00:00:00.000+00:00,2.5,2,1,3,5bfc89ccfb1666002228cb8c,3,3.0,2.0,0,2.5,3.0,6,2.667
2018-11-27T00:00:00.000+00:00,2.5,3,1,3,5bfddae0fb166600222a16bf,3,3.0,2.0,0,2.4,2.0,5,2.6
2018-11-29T00:00:00.000+00:00,3.0,3,2,3,5c007e46fb166600222ccd90,3,3.0,3.0,0,2.5,3.0,3,3.0
2018-11-30T00:00:00.000+00:00,3.0,3,2,3,5c01cfb6fb166600222e1e2b,3,3.0,3.0,0,2.7,3.0,5,3.0
2018-12-01T00:00:00.000+00:00,2.0,1,1,3,5c032137fb16660023337316,3,2.5,1.0,0,2.6,2.0,4,2.25
2018-12-02T00:00:00.000+00:00,3.5,2,1,5,5c0472d0fb1666002230fb56,5,2.0,2.0,0,2.8,5.0,7,2.571
2018-12-03T00:00:00.000+00:00,2.0,2,1,5,5c05c448fb1666002336539b,2,2.0,2.0,0,2.7,2.0,3,2.0
2018-12-04T00:00:00.000+00:00,9.5,9,9,10,5c07156bfb1666002233a0a3,10,9.5,9.0,5,9.5,10.0,2,9.5
2018-12-04T00:00:00.000+00:00,2.5,3,1,5,5c07156bfb1666002233a0a2,3,2.0,2.0,0,2.6,2.0,4,2.25
2018-12-05T00:00:00.000+00:00,2.0,2,2,5,5c0866f8fb1666002339030f,2,2.0,2.0,0,2.4,2.0,2,2.0
2018-12-06T00:00:00.000+00:00,2.5,2,2,3,5c09b8d73ae3e800234e4213,3,2.0,2.0,0,2.5,3.0,4,2.25
2018-12-07T00:00:00.000+00:00,3.0,5,1,5,5c0b0a3a3ae3e800244fb4f1,5,3.0,1.0,0,2.4,3.0,6,2.333
2018-12-08T00:00:00.000+00:00,3.0,2,1,5,5c0c5b763ae3e80024512f28,5,2.0,1.0,0,2.6,2.0,7,2.714
2018-12-09T00:00:00.000+00:00,13.0,13,9,13,5c0dacf63ae3e8002452b6da,13,13.0,13.0,5,10.1,13.0,1,13.0
2018-12-09T00:00:00.000+00:00,2.5,3,1,5,5c0dacf63ae3e8002452b6d9,3,3.0,2.0,0,2.6,3.0,5,2.6
2018-12-10T00:00:00.000+00:00,2.0,2,1,5,5c0efe6c3ae3e80024543f0d,2,2.0,2.0,0,2.6,2.0,1,2.0
2018-12-11T00:00:00.000+00:00,3.5,3,1,5,5c1050373ae3e8002455d32d,4,3.0,3.0,0,2.8,4.0,4,3.25
2018-12-12T00:00:00.000+00:00,2.0,2,2,4,5c11a17c3ae3e8002457583a,2,2.0,2.0,0,2.6,2.0,1,2.0
2018-12-13T00:00:00.000+00:00,2.5,3,2,4,5c12f31d3ae3e80023582f79,3,3.0,2.0,0,2.5,2.0,3,2.667
2018-12-14T00:00:00.000+00:00,12.0,12,9,13,5c14451a3ae3e8002359bf85,12,12.0,12.0,5,10.7,12.0,1,12.0
2018-12-14T00:00:00.000+00:00,2.0,2,2,4,5c14451a3ae3e8002359bf84,2,2.0,2.0,0,2.4,2.0,2,2.0
2018-12-15T00:00:00.000+00:00,3.0,3,2,3,5c1595fa3ae3e800235b542f,3,3.0,3.0,0,2.6,3.0,1,3.0
2018-12-16T00:00:00.000+00:00,2.5,2,2,3,5c16e77e3ae3e800245d9ef6,3,2.0,2.0,0,2.4,2.0,5,2.4
2018-12-17T00:00:00.000+00:00,3.0,3,2,4,5c18397e3ae3e800235e7a1d,4,2.5,2.0,0,2.6,2.0,4,2.75
2018-12-18T00:00:00.000+00:00,2.0,2,2,4,5c198b333ae3e8002460dafd,2,2.0,2.0,0,2.5,2.0,1,2.0
2018-12-19T00:00:00.000+00:00,2.5,2,2,4,5c1adbf63ae3e800246265d1,3,3.0,2.0,0,2.6,2.0,10,2.5
2018-12-20T00:00:00.000+00:00,11.0,11,9,13,5c1c2e053ae3e80023631167,11,11.0,11.0,5,10.9,11.0,1,11.0
2018-12-20T00:00:00.000+00:00,2.0,2,1,4,5c1c2e053ae3e80023631166,3,2.5,1.0,0,2.4,3.0,4,2.25
2018-12-21T00:00:00.000+00:00,10.0,10,10,13,5c1d7f963ae3e8002364aed9,10,10.0,10.0,5,11.1,10.0,1,10.0
2018-12-21T00:00:00.000+00:00,3.0,4,1,4,5c1d7f963ae3e8002364aed8,4,3.0,2.0,0,2.5,2.0,4,3.0
2018-12-22T00:00:00.000+00:00,12.5,10,10,15,5c1ed0e23ae3e800236636d1,15,12.5,10.0,5,11.7,15.0,2,12.5
2018-12-22T00:00:00.000+00:00,3.0,3,1,4,5c1ed0e23ae3e800236636d0,3,3.0,3.0,0,2.5,3.0,5,3.0
2018-12-23T00:00:00.000+00:00,2.0,2,1,4,5c2022063ae3e8002468ef8d,2,2.0,2.0,0,2.5,2.0,3,2.0
2018-12-24T00:00:00.000+00:00,3.0,3,2,4,5c2173773ae3e800246a9409,3,3.0,3.0,0,2.6,3.0,2,3.0
2018-12-25T00:00:00.000+00:00,2.5,2,2,3,5c22c54b3ae3e800236b074d,3,2.0,2.0,0,2.7,2.0,4,2.25
2018-12-26T00:00:00.000+00:00,9.0,9,9,15,5c24167b3ae3e800236c91f3,9,9.0,9.0,5,10.9,9.0,1,9.0
2018-12-26T00:00:00.000+00:00,4.0,3,2,5,5c24167b3ae3e800236c91f2,5,3.0,3.0,0,2.9,3.0,4,3.5
2018-12-27T00:00:00.000+00:00,3.5,3,2,5,5c25688e3ae3e800236e3df4,4,3.0,3.0,0,3.0,3.0,12,3.083
2018-12-28T00:00:00.000+00:00,2.5,3,2,5,5c26b97f3ae3e80024711f18,3,3.0,2.0,0,3.1,2.0,4,2.75
2018-12-29T00:00:00.000+00:00,15.0,15,9,15,5c280b8f3ae3e80023718571,15,15.0,15.0,5,11.5,15.0,1,15.0
2018-12-29T00:00:00.000+00:00,2.5,2,2,5,5c280b8f3ae3e80023718570,3,3.0,2.0,0,3.0,3.0,5,2.6
2018-12-30T00:00:00.000+00:00,3.0,3,2,4,5c295c7e3ae3e800247484fe,3,3.0,3.0,0,3.1,3.0,11,3.0
2018-12-31T00:00:00.000+00:00,14.0,14,9,15,5c2aadf23ae3e80024763338,14,14.0,14.0,5,12.1,14.0,1,14.0
2018-12-31T00:00:00.000+00:00,4.0,3,2,5,5c2aadf23ae3e80024763337,5,3.0,3.0,0,3.1,5.0,4,3.5
