datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,4.0,4,2,4,5be7716cfb16660023151b6c,4,4.0,4,0,,4,1,4.0
2018-11-21T00:00:00.000+00:00,2.0,2,2,4,5bf5f1e5fb1666002324bcac,2,2.0,2,0,3.0,2,1,2.0
2018-11-28T00:00:00.000+00:00,2.0,2,2,4,5bff2c32fb166600232ef362,2,2.0,2,0,2.8,2,1,2.0
2018-11-29T00:00:00.000+00:00,2.0,2,2,4,5c007e16fb166600233077ae,2,2.0,2,0,2.6,2,1,2.0
2018-12-01T00:00:00.000+00:00,3.0,3,2,3,5c0320e3fb166600222f7c16,3,3.0,3,0,2.6,3,1,3.0
2018-12-02T00:00:00.000+00:00,2.0,2,2,3,5c047295fb1666002230f199,2,2.0,2,0,2.2,2,1,2.0
2018-12-04T00:00:00.000+00:00,2.5,3,2,3,5c071534fb16660022339897,3,2.5,2,0,2.3,2,2,2.5
2018-12-06T00:00:00.000+00:00,3.0,3,2,3,5c09b8a13ae3e800244e3db2,3,3.0,3,0,2.5,3,1,3.0
2018-12-09T00:00:00.000+00:00,2.0,2,2,3,5c0dacbe3ae3e8002452adf1,2,2.0,2,0,2.5,2,1,2.0
2018-12-10T00:00:00.000+00:00,3.0,3,2,3,5c0efe333ae3e8002353d232,3,3.0,3,0,2.5,3,2,3.0
2018-12-12T00:00:00.000+00:00,2.0,2,2,3,5c11a1453ae3e8002356ba44,2,2.0,2,0,2.5,2,1,2.0
2018-12-13T00:00:00.000+00:00,2.5,2,2,3,5c12f2b33ae3e8002458f6f2,3,2.5,2,0,2.5,3,2,2.5
2018-12-14T00:00:00.000+00:00,2.0,2,2,3,5c1444e53ae3e8002359b6a0,2,2.0,2,0,2.3,2,2,2.0
2018-12-15T00:00:00.000+00:00,5.0,5,2,5,5c1595be3ae3e800245c08e8,5,5.0,5,0,2.9,5,1,5.0
2018-12-17T00:00:00.000+00:00,3.0,3,2,5,5c1839143ae3e800245f3399,3,3.0,3,0,2.9,3,1,3.0
2018-12-19T00:00:00.000+00:00,3.0,3,2,5,5c1adbba3ae3e80023617390,3,3.0,3,0,3.1,3,2,3.0
2018-12-20T00:00:00.000+00:00,3.0,3,3,5,5c1c2d753ae3e8002362fd5e,3,3.0,3,0,3.2,3,3,3.0
2018-12-23T00:00:00.000+00:00,4.0,4,3,4,5c2021c73ae3e8002468e5ea,4,4.0,4,0,3.6,4,1,4.0
2018-12-25T00:00:00.000+00:00,3.0,3,3,4,5c22c4d73ae3e800246c2503,3,3.0,3,0,3.2,3,1,3.0
2018-12-26T00:00:00.000+00:00,3.5,2,2,5,5c2416413ae3e800236c8852,5,3.5,2,0,3.3,5,3,3.0
2018-12-27T00:00:00.000+00:00,5.0,5,2,5,5c25684c3ae3e800246f78f9,5,5.0,5,0,3.7,5,1,5.0
2018-12-30T00:00:00.000+00:00,4.0,3,2,5,5c295c3f3ae3e800237314aa,5,4.0,3,0,3.9,5,2,4.0
2019-01-03T00:00:00.000+00:00,2.0,2,2,5,5c2ea27f3ae3e800247b307e,2,2.0,2,0,3.5,2,2,2.0
2019-01-05T00:00:00.000+00:00,2.0,2,2,5,5c3145413ae3e800247e8fcf,2,2.0,2,0,3.3,2,1,2.0
2019-01-08T00:00:00.000+00:00,3.0,3,2,5,5c3539bd3ae3e8002483b77a,3,3.0,3,0,3.2,3,1,3.0
2019-01-09T00:00:00.000+00:00,4.0,4,2,4,5c368b903ae3e80024856933,4,4.0,4,0,3.0,4,1,4.0
2019-01-11T00:00:00.000+00:00,1.0,1,1,4,5c392edc3ae3e8002488eff3,1,1.0,1,0,2.4,1,1,1.0
2019-01-12T00:00:00.000+00:00,12.0,12,12,12,5c3a80463ae3e800248abe06,12,12.0,12,5,,12,1,12.0
2019-01-12T00:00:00.000+00:00,2.0,2,1,4,5c3a80463ae3e800248abe05,2,2.0,2,0,2.4,2,1,2.0
2019-01-16T00:00:00.000+00:00,14.0,14,12,14,5c3fc5ba3ae3e8002491bdac,14,14.0,14,5,,14,1,14.0
2019-01-16T00:00:00.000+00:00,3.0,3,1,4,5c3fc5ba3ae3e8002491bdab,3,3.0,3,0,2.6,3,1,3.0
2019-01-17T00:00:00.000+00:00,5.0,5,1,5,5c41173d3ae3e800249385bf,5,5.0,5,0,3.0,5,1,5.0
2019-01-18T00:00:00.000+00:00,5.0,5,2,5,5c4268c83ae3e800249546dd,5,5.0,5,0,3.2,5,1,5.0
2019-01-19T00:00:00.000+00:00,5.0,5,3,5,5c43ba643ae3e8002394ad27,5,5.0,5,0,4.0,5,1,5.0
2019-01-22T00:00:00.000+00:00,3.0,3,3,5,5c47aedb3ae3e800249c755c,3,3.0,3,0,4.2,3,1,3.0
2019-01-24T00:00:00.000+00:00,7.0,7,3,7,5c4a51c03ae3e800249ff5ff,7,7.0,7,0,5.0,7,1,7.0
2019-01-25T00:00:00.000+00:00,5.0,5,3,7,5c4ba3523ae3e80024a1bb3a,5,5.0,5,0,5.0,5,1,5.0
2019-01-26T00:00:00.000+00:00,5.0,5,3,7,5c4cf4df3ae3e80023a0d4f4,5,5.0,5,0,5.0,5,1,5.0
2019-01-27T00:00:00.000+00:00,5.0,5,5,7,5c4e46433ae3e80024a553f2,5,5.0,5,0,5.0,5,1,5.0
2019-01-28T00:00:00.000+00:00,5.0,5,5,5,5c4f98403ae3e80023a44a36,5,5.0,5,0,5.4,5,1,5.0
2019-01-29T00:00:00.000+00:00,8.0,8,5,8,5c50e9523ae3e80023a5f4f0,8,8.0,8,0,5.6,8,1,8.0
2019-02-03T00:00:00.000+00:00,3.0,3,3,8,5c5780bc3ae3e80024b1c482,3,3.0,3,0,5.2,3,2,3.0
