datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,60.0,60,40,60,5be37d52fb166600220e9a35,60,60.0,60,0,47.8,60,1,60.0
2018-11-10T00:00:00.000+00:00,35.0,35,35,60,5be771b5fb16660022127ed5,35,35.0,35,0,45.8,35,1,35.0
2018-11-11T00:00:00.000+00:00,35.0,35,35,60,5be8c329fb1666002213de9e,35,35.0,35,0,43.8,35,1,35.0
2018-11-12T00:00:00.000+00:00,35.0,35,35,60,5bea1505fb1666002317fb78,35,35.0,35,0,41.0,35,1,35.0
2018-11-13T00:00:00.000+00:00,20.0,20,20,35,5beb6617fb166600231957a9,20,20.0,20,0,37.0,20,1,20.0
2018-11-14T00:00:00.000+00:00,45.0,45,20,45,5becb7fffb1666002217ef95,45,45.0,45,0,34.0,45,1,45.0
2018-11-15T00:00:00.000+00:00,62.0,62,20,62,5bee097efb166600221948dd,62,62.0,62,0,39.4,62,1,62.0
2018-11-17T00:00:00.000+00:00,40.0,40,20,62,5bf0ac93fb166600221c2701,40,40.0,40,0,40.4,40,2,40.0
2018-11-21T00:00:00.000+00:00,45.0,45,40,62,5bf5f251fb1666002324cb94,45,45.0,45,0,42.4,45,1,45.0
2018-11-23T00:00:00.000+00:00,34.0,15,15,62,5bf89552fb1666002327a64f,53,25.0,15,0,45.2,25,3,31.0
2018-11-24T00:00:00.000+00:00,42.5,35,15,53,5bf9e6b7fb16660023291f4f,50,42.5,35,0,44.7,50,2,42.5
2018-11-25T00:00:00.000+00:00,30.0,30,15,53,5bfb3857fb166600232aa63b,30,30.0,30,0,38.3,30,1,30.0
2018-11-26T00:00:00.000+00:00,45.0,45,15,53,5bfc89c9fb166600232c165a,45,45.0,45,0,39.3,45,1,45.0
2018-11-28T00:00:00.000+00:00,48.0,48,48,48,5bff2c95fb166600222b7076,48,48.0,48,3,,48,1,48.0
2018-11-28T00:00:00.000+00:00,45.0,45,30,50,5bff2c95fb166600222b7075,45,45.0,45,0,39.3,45,1,45.0
2018-11-29T00:00:00.000+00:00,35.0,45,25,45,5c007e45fb16660023307f3f,45,30.0,25,0,39.5,25,3,33.333
2018-11-30T00:00:00.000+00:00,55.0,55,48,55,5c01cfc2fb166600222e2003,55,55.0,55,3,,55,1,55.0
2018-11-30T00:00:00.000+00:00,49.5,50,25,50,5c01cfc2fb166600222e2002,50,49.5,49,0,40.9,49,2,49.5
2018-12-02T00:00:00.000+00:00,38.5,22,22,55,5c0472cbfb1666002334e782,55,45.0,22,0,42.6,45,3,40.667
2018-12-03T00:00:00.000+00:00,50.0,55,22,55,5c05c43ffb16660022324c12,55,50.0,45,0,43.6,45,2,50.0
2018-12-04T00:00:00.000+00:00,45.0,45,22,55,5c07156afb1666002337a819,45,45.0,45,0,43.6,45,1,45.0
2018-12-07T00:00:00.000+00:00,50.0,50,22,55,5c0b0a393ae3e800234f9e54,50,50.0,50,0,46.6,50,1,50.0
2018-12-08T00:00:00.000+00:00,42.5,45,35,55,5c0c5b743ae3e8002350fe4a,50,45.0,35,0,45.2,40,8,43.75
2018-12-09T00:00:00.000+00:00,47.5,40,35,55,5c0dad063ae3e8002452b8d5,55,47.5,40,0,47.0,55,2,47.5
2018-12-10T00:00:00.000+00:00,45.0,40,35,55,5c0efe693ae3e8002353da2c,50,45.0,40,0,46.0,50,2,45.0
2018-12-11T00:00:00.000+00:00,45.0,50,35,55,5c10502e3ae3e80023554e45,55,50.0,35,0,46.0,55,6,48.333
